lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.4982653	35.6130757	000000	金程３丁目	0	0	1	KM_Office	130 
139.5048585	35.5997720	000000	上麻生３丁目	0	0	1	KM_Office	619 
139.5046357	35.5951479	000000	上麻生４丁目	0	0	1	KM_Office	684 
139.5059483	35.6038705	000000	万福寺１丁目	0	0	1	KM_Office	5814 
139.5042421	35.6079317	000000	万福寺５丁目	0	0	1	KM_Office	334 
139.5093822	35.6084352	000000	万福寺４丁目	0	0	1	KM_Office	225 
139.5093187	35.6067949	000000	万福寺３丁目	0	0	1	KM_Office	520 
139.5055895	35.6061167	000000	万福寺６丁目	0	0	1	KM_Office	353 
139.5000519	35.5905537	000000	上麻生５丁目	0	0	1	KM_Office	1335 
139.5079260	35.6022953	000000	上麻生１丁目	0	0	1	KM_Office	7930 
139.5010249	35.5811718	000000	上麻生７丁目	0	0	1	KM_Office	808 
139.5117446	35.6003265	000000	上麻生２丁目	0	0	1	KM_Office	197 
139.4980709	35.5859716	000000	上麻生６丁目	0	0	1	KM_Office	2165 
139.5061029	35.5820601	000000	下麻生１丁目	0	0	1	KM_Office	78 
139.5089698	35.5815295	000000	下麻生２丁目	0	0	1	KM_Office	405 
139.5082612	35.6102721	000000	千代ケ丘１丁目	0	0	1	KM_Office	153 
139.5072969	35.6146600	000000	千代ケ丘５丁目	0	0	1	KM_Office	80 
139.5062569	35.6187449	000000	千代ケ丘８丁目	0	0	1	KM_Office	222 
139.5105323	35.6159623	000000	千代ケ丘６丁目	0	0	1	KM_Office	68 
139.5053815	35.6119812	000000	千代ケ丘４丁目	0	0	1	KM_Office	139 
139.5004654	35.6160796	000000	向原１丁目	0	0	1	KM_Office	27 
139.5006940	35.6195329	000000	向原３丁目	0	0	1	KM_Office	40 
139.4965138	35.6157718	000000	向原２丁目	0	0	1	KM_Office	59 
139.5238918	35.6185385	000000	多摩美１丁目	0	0	1	KM_Office	72 
139.5217027	35.6202180	000000	多摩美２丁目	0	0	1	KM_Office	23 
139.5192036	35.5731476	000000	早野	0	0	1	KM_Office	164 
139.5280155	35.6021346	000000	東百合丘１丁目	0	0	1	KM_Office	156 
139.5229701	35.5980653	000000	東百合丘４丁目	0	0	1	KM_Office	227 
139.5215056	35.5939619	000000	王禅寺東１丁目	0	0	1	KM_Office	49 
139.5167205	35.5867333	000000	王禅寺東３丁目	0	0	1	KM_Office	449 
139.5183699	35.5920871	000000	王禅寺東２丁目	0	0	1	KM_Office	114 
139.5144110	35.5823544	000000	王禅寺東５丁目	0	0	1	KM_Office	268 
139.5127125	35.5781654	000000	王禅寺東６丁目	0	0	1	KM_Office	74 
139.5105384	35.5856289	000000	王禅寺東４丁目	0	0	1	KM_Office	190 
139.5143508	35.5995287	000000	王禅寺西１丁目	0	0	1	KM_Office	414 
139.5151508	35.5960390	000000	王禅寺西３丁目	0	0	1	KM_Office	192 
139.5174685	35.5985965	000000	王禅寺西２丁目	0	0	1	KM_Office	42 
139.5033663	35.5845943	000000	王禅寺西８丁目	0	0	1	KM_Office	67 
139.5043198	35.5906005	000000	王禅寺西６丁目	0	0	1	KM_Office	23 
139.5117918	35.5933943	000000	王禅寺西４丁目	0	0	1	KM_Office	106 
139.5075588	35.5875884	000000	白山５丁目	0	0	1	KM_Office	121 
139.5098925	35.5909064	000000	白山４丁目	0	0	1	KM_Office	214 
139.5177917	35.6073221	000000	百合丘１丁目	0	0	1	KM_Office	1387 
139.5190062	35.6019667	000000	百合丘３丁目	0	0	1	KM_Office	163 
139.5146830	35.6049866	000000	百合丘２丁目	0	0	1	KM_Office	632 
139.5203598	35.6186885	000000	細山１丁目	0	0	1	KM_Office	34 
139.5140709	35.6231931	000000	細山７丁目	0	0	1	KM_Office	19 
139.5142031	35.6165750	000000	細山３丁目	0	0	1	KM_Office	75 
139.5171054	35.6192152	000000	細山５丁目	0	0	1	KM_Office	38 
139.5106870	35.6202051	000000	細山８丁目	0	0	1	KM_Office	34 
139.5136999	35.6193060	000000	細山４丁目	0	0	1	KM_Office	41 
139.5219982	35.5807471	000000	虹ケ丘１丁目	0	0	1	KM_Office	102 
139.5235577	35.5768584	000000	虹ケ丘３丁目	0	0	1	KM_Office	48 
139.5250801	35.5805408	000000	虹ケ丘２丁目	0	0	1	KM_Office	39 
139.5019417	35.6093527	000000	金程１丁目	0	0	1	KM_Office	130 
139.4999192	35.6102391	000000	金程２丁目	0	0	1	KM_Office	86 
139.5024565	35.6139426	000000	金程４丁目	0	0	1	KM_Office	95 
139.5204087	35.6136560	000000	高石３丁目	0	0	1	KM_Office	298 
139.5153171	35.6130151	000000	高石２丁目	0	0	1	KM_Office	93 
139.5228577	35.6024219	000000	高石６丁目	0	0	1	KM_Office	19 
139.5218200	35.6102603	000000	高石４丁目	0	0	1	KM_Office	210 
139.4684729	35.6171747	000000	はるひ野１丁目	0	0	1	KM_Office	177 
139.4582291	35.6187414	000000	はるひ野３丁目	0	0	1	KM_Office	12 
139.4652926	35.6155701	000000	はるひ野２丁目	0	0	1	KM_Office	64 
139.4638610	35.6212287	000000	はるひ野５丁目	0	0	1	KM_Office	136 
139.4623232	35.6191329	000000	はるひ野４丁目	0	0	1	KM_Office	577 
139.4955821	35.5977287	000000	五力田１丁目	0	0	1	KM_Office	70 
139.4964533	35.6009303	000000	五力田３丁目	0	0	1	KM_Office	62 
139.4907189	35.5999805	000000	五力田２丁目	0	0	1	KM_Office	336 
139.4713349	35.6142343	000000	南黒川	0	0	1	KM_Office	991 
139.4971645	35.6035078	000000	古沢	0	0	1	KM_Office	2144 
139.4812840	35.6049386	000000	栗平１丁目	0	0	1	KM_Office	119 
139.4817654	35.6086272	000000	栗平２丁目	0	0	1	KM_Office	513 
139.4735948	35.6055651	000000	栗木１丁目	0	0	1	KM_Office	13 
