lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6929173	35.5207255	000000	池田２丁目	0	0	1	KM_Office	470 
139.6918002	35.5215310	000000	池田１丁目	0	0	1	KM_Office	523 
139.6900209	35.5231379	000000	下並木	0	0	1	KM_Office	433 
139.7165494	35.5299890	000000	中島１丁目	0	0	1	KM_Office	158 
139.7163172	35.5268913	000000	中島３丁目	0	0	1	KM_Office	1134 
139.7165000	35.5286665	000000	中島２丁目	0	0	1	KM_Office	467 
139.7287681	35.5398419	000000	中瀬１丁目	0	0	1	KM_Office	354 
139.7320721	35.5391729	000000	中瀬３丁目	0	0	1	KM_Office	957 
139.7278335	35.5376368	000000	中瀬２丁目	0	0	1	KM_Office	151 
139.6938646	35.5178189	000000	京町１丁目	0	0	1	KM_Office	791 
139.6969505	35.5088370	000000	京町３丁目	0	0	1	KM_Office	528 
139.6953626	35.5135413	000000	京町２丁目	0	0	1	KM_Office	938 
139.7216771	35.5319685	000000	伊勢町	0	0	1	KM_Office	261 
139.6993407	35.5237542	000000	元木１丁目	0	0	1	KM_Office	280 
139.6960813	35.5222124	000000	元木２丁目	0	0	1	KM_Office	612 
139.7399019	35.5336785	000000	出来野	0	0	1	KM_Office	489 
139.7164516	35.5083574	000000	南渡田町	0	0	1	KM_Office	2667 
139.6989984	35.5257170	000000	南町	0	0	1	KM_Office	3906 
139.7329380	35.5301260	000000	台町	0	0	1	KM_Office	269 
139.7346008	35.5274934	000000	四谷上町	0	0	1	KM_Office	912 
139.7381394	35.5254620	000000	四谷下町	0	0	1	KM_Office	446 
139.7060619	35.5330643	000000	堀之内町	0	0	1	KM_Office	449 
139.6887189	35.5249933	000000	堤根	0	0	1	KM_Office	680 
139.7410264	35.5285229	000000	塩浜１丁目	0	0	1	KM_Office	814 
139.7411998	35.5216173	000000	塩浜３丁目	0	0	1	KM_Office	1889 
139.7377030	35.5234860	000000	塩浜２丁目	0	0	1	KM_Office	902 
139.7465136	35.5291171	000000	塩浜４丁目	0	0	1	KM_Office	955 
139.7087130	35.5250935	000000	境町	0	0	1	KM_Office	560 
139.7534879	35.5282412	000000	夜光１丁目	0	0	1	KM_Office	2176 
139.7416851	35.5175108	000000	夜光３丁目	0	0	1	KM_Office	552 
139.7478866	35.5222178	000000	夜光２丁目	0	0	1	KM_Office	386 
139.7119195	35.5241828	000000	大島１丁目	0	0	1	KM_Office	570 
139.7182693	35.5206439	000000	大島３丁目	0	0	1	KM_Office	762 
139.7102434	35.5207436	000000	大島上町	0	0	1	KM_Office	481 
139.7147626	35.5214314	000000	大島２丁目	0	0	1	KM_Office	322 
139.7176310	35.5238572	000000	大島５丁目	0	0	1	KM_Office	520 
139.7148483	35.5242993	000000	大島４丁目	0	0	1	KM_Office	1179 
139.7302243	35.5357078	000000	大師本町	0	0	1	KM_Office	167 
139.7386948	35.5399412	000000	大師河原１丁目	0	0	1	KM_Office	284 
139.7399440	35.5359972	000000	大師河原２丁目	0	0	1	KM_Office	162 
139.7306612	35.5338309	000000	大師町	0	0	1	KM_Office	594 
139.7269628	35.5346890	000000	大師駅前１丁目	0	0	1	KM_Office	876 
139.7233122	35.5340661	000000	大師駅前２丁目	0	0	1	KM_Office	355 
139.7056517	35.5281942	000000	宮前町	0	0	1	KM_Office	1688 
139.7042048	35.5309928	000000	宮本町	0	0	1	KM_Office	1964 
139.7109474	35.5315993	000000	富士見１丁目	0	0	1	KM_Office	1327 
139.7109632	35.5277167	000000	富士見２丁目	0	0	1	KM_Office	376 
139.7572744	35.5334658	000000	小島町	0	0	1	KM_Office	2417 
139.6975806	35.5273825	000000	小川町	0	0	1	KM_Office	3256 
139.6990800	35.5158280	000000	小田１丁目	0	0	1	KM_Office	341 
139.7086656	35.5090819	000000	小田７丁目	0	0	1	KM_Office	131 
