lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6549400	35.5690920	000000	木月伊勢町	0	0	1	KM_Office	320 
139.6304020	35.5796710	000000	下新城３丁目	0	0	1	KM_Office	226 
139.6560400	35.5851320	000000	小杉陣屋町２丁目	0	0	1	KM_Office	296 
139.6639540	35.5617630	000000	苅宿	0	0	1	KM_Office	1618 
139.6508500	35.5681790	000000	木月祗園町	0	0	1	KM_Office	422 
139.6462650	35.5693010	000000	井田三舞町	0	0	1	KM_Office	305 
139.6547610	35.5725010	000000	今井南町	0	0	1	KM_Office	988 
139.6635700	35.5869280	000000	上丸子天神町	0	0	1	KM_Office	92 
139.6598230	35.5601170	000000	西加瀬	0	0	1	KM_Office	336 
139.6498840	35.5784380	000000	今井上町	0	0	1	KM_Office	3188 
139.6631770	35.5800860	000000	新丸子東１丁目	0	0	1	KM_Office	899 
139.6305660	35.5931120	000000	上小田中１丁目	0	0	1	KM_Office	538 
139.6363800	35.5884250	000000	上小田中２丁目	0	0	1	KM_Office	1082 
139.6427920	35.5695290	000000	井田杉山町	0	0	1	KM_Office	546 
139.6402580	35.5835370	000000	上小田中４丁目	0	0	1	KM_Office	7900 
139.6623740	35.5777590	000000	新丸子東２丁目	0	0	1	KM_Office	1682 
139.6503400	35.5711520	000000	木月大町	0	0	1	KM_Office	352 
139.6335320	35.5832540	000000	新城中町	0	0	1	KM_Office	234 
139.6679630	35.5825990	000000	上丸子八幡町	0	0	1	KM_Office	650 
139.6367550	35.5627370	000000	井田３丁目	0	0	1	KM_Office	714 
139.6326750	35.5774610	000000	下新城２丁目	0	0	1	KM_Office	441 
139.6572520	35.5746860	000000	小杉町３丁目	0	0	1	KM_Office	6398 
139.6449870	35.5948090	000000	宮内１丁目	0	0	1	KM_Office	1023 
139.6444650	35.5860600	000000	宮内４丁目	0	0	1	KM_Office	831 
139.6659730	35.5567740	000000	大倉町	0	0	1	KM_Office	7036 
139.6586070	35.5793570	000000	小杉町１丁目	0	0	1	KM_Office	7676 
139.6483800	35.5753970	000000	今井西町	0	0	1	KM_Office	346 
139.6316400	35.5828110	000000	新城２丁目	0	0	1	KM_Office	146 
139.6308130	35.5872200	000000	上新城２丁目	0	0	1	KM_Office	1307 
139.6433850	35.5629320	000000	井田１丁目	0	0	1	KM_Office	419 
139.6612000	35.5747280	000000	新丸子東３丁目	0	0	1	KM_Office	5034 
139.6366210	35.5827580	000000	上小田中５丁目	0	0	1	KM_Office	454 
139.6606030	35.5793810	000000	新丸子町	0	0	1	KM_Office	2337 
139.6289850	35.5862160	000000	新城５丁目	0	0	1	KM_Office	615 
139.6528180	35.5654290	000000	木月１丁目	0	0	1	KM_Office	1681 
139.6775710	35.5599460	000000	上平間	0	0	1	KM_Office	1800 
139.6341100	35.5740750	000000	下小田中５丁目	0	0	1	KM_Office	259 
139.6277240	35.5879620	000000	新城	0	0	1	KM_Office	89 
139.6531750	35.5891800	000000	等々力	0	0	1	KM_Office	313 
139.6715670	35.5625750	000000	北谷町	0	0	1	KM_Office	617 
139.6561750	35.5794550	000000	小杉町２丁目	0	0	1	KM_Office	813 
139.6434860	35.5776230	000000	下小田中２丁目	0	0	1	KM_Office	3076 
139.6524370	35.5839620	000000	小杉御殿町１丁目	0	0	1	KM_Office	143 
139.6334844	35.5800564	000000	下新城１丁目	0	0	1	KM_Office	464 
139.6315420	35.5852600	000000	新城１丁目	0	0	1	KM_Office	1341 
139.6642980	35.5747640	000000	上丸子	0	0	1	KM_Office	9 
139.6645500	35.5829990	000000	丸子通１丁目	0	0	1	KM_Office	325 
139.6378060	35.5797840	000000	下小田中１丁目	0	0	1	KM_Office	1061 
139.6301590	35.5853980	000000	新城３丁目	0	0	1	KM_Office	1084 
139.6544250	35.5590270	000000	木月４丁目	0	0	1	KM_Office	1254 
139.6688590	35.5685180	000000	中丸子	0	0	1	KM_Office	4197 
139.6372880	35.5712200	000000	下小田中６丁目	0	0	1	KM_Office	617 
139.6288850	35.5905710	000000	上新城１丁目	0	0	1	KM_Office	191 
139.6453750	35.5821780	000000	上小田中６丁目	0	0	1	KM_Office	4070 
139.6721650	35.5594880	000000	田尻町	0	0	1	KM_Office	678 
139.6408930	35.5611140	000000	井田２丁目	0	0	1	KM_Office	952 
139.6683650	35.5789820	000000	上丸子山王町１丁目	0	0	1	KM_Office	315 
139.6533910	35.5794230	000000	小杉御殿町２丁目	0	0	1	KM_Office	799 
139.6514790	35.5744570	000000	今井仲町	0	0	1	KM_Office	455 
139.6300590	35.5827920	000000	新城４丁目	0	0	1	KM_Office	142 
139.6584070	35.5850310	000000	小杉陣屋町１丁目	0	0	1	KM_Office	219 
139.6644810	35.5674220	000000	市ノ坪	0	0	1	KM_Office	1764 
139.6504280	35.5628160	000000	木月３丁目	0	0	1	KM_Office	1295 
139.6432020	35.5731540	000000	下小田中３丁目	0	0	1	KM_Office	627 
139.6589190	35.5658490	000000	木月住吉町	0	0	1	KM_Office	2520 
139.6388140	35.5909080	000000	宮内２丁目	0	0	1	KM_Office	2090 
139.6554700	35.5640230	000000	木月２丁目	0	0	1	KM_Office	1385 
139.6615940	35.5832800	000000	丸子通２丁目	0	0	1	KM_Office	482 
139.6438760	35.5652890	000000	井田中ノ町	0	0	1	KM_Office	887 
139.6437230	35.5908120	000000	宮内３丁目	0	0	1	KM_Office	269 
139.6331670	35.5869450	000000	上小田中３丁目	0	0	1	KM_Office	519 
139.6665790	35.5761420	000000	上丸子山王町２丁目	0	0	1	KM_Office	676 
139.6488450	35.5810330	000000	上小田中７丁目	0	0	1	KM_Office	399 
139.6379970	35.5761850	000000	下小田中４丁目	0	0	1	KM_Office	243 
