lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6803594	35.5506100	000000	下平間	0	0	1	KM_Office	2235 
139.6932204	35.5370471	000000	中幸町１丁目	0	0	1	KM_Office	163 
139.6939679	35.5335733	000000	中幸町３丁目	0	0	1	KM_Office	345 
139.6953502	35.5371216	000000	中幸町２丁目	0	0	1	KM_Office	158 
139.6925200	35.5337445	000000	中幸町４丁目	0	0	1	KM_Office	525 
139.6702695	35.5496686	000000	新川崎	0	0	1	KM_Office	1690 
139.6673948	35.5501895	000000	北加瀬１丁目	0	0	1	KM_Office	760 
139.6615649	35.5559860	000000	北加瀬３丁目	0	0	1	KM_Office	371 
139.6619874	35.5524839	000000	北加瀬２丁目	0	0	1	KM_Office	703 
139.6661673	35.5478910	000000	南加瀬１丁目	0	0	1	KM_Office	446 
139.6638880	35.5432863	000000	南加瀬３丁目	0	0	1	KM_Office	1411 
139.6618808	35.5478865	000000	南加瀬２丁目	0	0	1	KM_Office	1029 
139.6590803	35.5394021	000000	南加瀬５丁目	0	0	1	KM_Office	849 
139.6581182	35.5450932	000000	南加瀬４丁目	0	0	1	KM_Office	1378 
139.6898990	35.5355172	000000	南幸町１丁目	0	0	1	KM_Office	645 
139.6865313	35.5331237	000000	南幸町３丁目	0	0	1	KM_Office	1566 
139.6906074	35.5331836	000000	南幸町２丁目	0	0	1	KM_Office	766 
139.6828720	35.5460836	000000	古川町	0	0	1	KM_Office	574 
139.6898824	35.5563805	000000	古市場	0	0	1	KM_Office	195 
139.6858605	35.5536705	000000	古市場１丁目	0	0	1	KM_Office	394 
139.6823618	35.5548718	000000	古市場２丁目	0	0	1	KM_Office	395 
139.6978937	35.5340092	000000	堀川町	0	0	1	KM_Office	25599 
139.6777808	35.5421551	000000	塚越３丁目	0	0	1	KM_Office	2538 
139.6806193	35.5450059	000000	塚越２丁目	0	0	1	KM_Office	697 
139.6816503	35.5416493	000000	塚越４丁目	0	0	1	KM_Office	473 
139.6934161	35.5299976	000000	大宮町	0	0	1	KM_Office	8589 
139.6966980	35.5504143	000000	小向仲野町	0	0	1	KM_Office	606 
139.6903155	35.5501467	000000	小向東芝町	0	0	1	KM_Office	4765 
139.6952767	35.5475607	000000	小向町	0	0	1	KM_Office	682 
139.6914254	35.5480299	000000	小向西町１丁目	0	0	1	KM_Office	100 
139.6877854	35.5480035	000000	小向西町３丁目	0	0	1	KM_Office	236 
139.6909795	35.5465901	000000	小向西町２丁目	0	0	1	KM_Office	110 
139.6876597	35.5461370	000000	小向西町４丁目	0	0	1	KM_Office	764 
139.6981122	35.5349861	000000	幸町１丁目	0	0	1	KM_Office	166 
139.6975226	35.5376966	000000	幸町３丁目	0	0	1	KM_Office	51 
139.6990169	35.5370976	000000	幸町２丁目	0	0	1	KM_Office	215 
139.6961397	35.5355470	000000	幸町４丁目	0	0	1	KM_Office	136 
139.6907830	35.5453774	000000	戸手１丁目	0	0	1	KM_Office	243 
139.6951178	35.5455610	000000	戸手３丁目	0	0	1	KM_Office	34 
139.6928605	35.5453084	000000	戸手２丁目	0	0	1	KM_Office	339 
139.6962207	35.5420328	000000	戸手４丁目	0	0	1	KM_Office	158 
139.6871772	35.5431920	000000	戸手本町１丁目	0	0	1	KM_Office	845 
139.6863062	35.5397717	000000	戸手本町２丁目	0	0	1	KM_Office	264 
139.6769640	35.5494042	000000	新塚越	0	0	1	KM_Office	712 
139.6906676	35.5523919	000000	東古市場	0	0	1	KM_Office	357 
139.6889876	35.5291914	000000	柳町	0	0	1	KM_Office	1927 
139.6941208	35.5398668	000000	河原町	0	0	1	KM_Office	454 
139.6588268	35.5538713	000000	矢上	0	0	1	KM_Office	470 
139.6893824	35.5395395	000000	神明町１丁目	0	0	1	KM_Office	675 
139.6888577	35.5378426	000000	神明町２丁目	0	0	1	KM_Office	392 
139.6899633	35.5423811	000000	紺屋町	0	0	1	KM_Office	200 
139.6923886	35.5423134	000000	遠藤町	0	0	1	KM_Office	467 
139.6895075	35.5369305	000000	都町	0	0	1	KM_Office	361 
139.6707550	35.5414350	000000	小倉３丁目	0	0	1	KM_Office	563 
139.6716420	35.5547040	000000	鹿島田２丁目	0	0	1	KM_Office	252 
139.6741343	35.5481976	000000	小倉	0	0	1	KM_Office	436 
139.6785270	35.5465020	000000	塚越１丁目	0	0	1	KM_Office	212 
139.6757544	35.5442281	000000	東小倉	0	0	1	KM_Office	488 
139.6739850	35.5408720	000000	新小倉	0	0	1	KM_Office	962 
139.6655650	35.5370850	000000	小倉５丁目	0	0	1	KM_Office	1173 
139.6709010	35.5376544	000000	小倉４丁目	0	0	1	KM_Office	447 
139.6671433	35.5414262	000000	小倉２丁目	0	0	1	KM_Office	649 
139.6701695	35.5451522	000000	小倉１丁目	0	0	1	KM_Office	189 
139.6693591	35.5591694	000000	鹿島田３丁目	0	0	1	KM_Office	272 
139.6732600	35.5509805	000000	鹿島田１丁目	0	0	1	KM_Office	2890 
139.7016066	35.5504851	000000	小向	0	0	1	KM_Office	-
