lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6208738	35.5663762	000000	久末	0	0	1	KM_Office	1860 
139.6228447	35.5779867	000000	千年	0	0	1	KM_Office	3204 
139.6316175	35.5651289	000000	蟹ケ谷	0	0	1	KM_Office	379 
139.6288304	35.5719091	000000	子母口	0	0	1	KM_Office	2948 
139.5940953	35.6006910	000000	上作延	0	0	1	KM_Office	1454 
139.6138797	35.5681441	000000	東野川２丁目	0	0	1	KM_Office	574 
139.6182760	35.5720790	000000	東野川１丁目	0	0	1	KM_Office	567 
139.6201710	35.5797260	000000	北野川	0	0	1	KM_Office	22 
139.5945710	35.6040260	000000	下作延	0	0	1	KM_Office	17 
139.6040043	35.6142322	000000	宇奈根	0	0	1	KM_Office	1801 
139.5946880	35.5938770	000000	向ケ丘	0	0	1	KM_Office	646 
139.6173430	35.5959940	000000	久本３丁目	0	0	1	KM_Office	5599 
139.6139680	35.5949930	000000	久本２丁目	0	0	1	KM_Office	1946 
139.6113144	35.5971663	000000	久本１丁目	0	0	1	KM_Office	1567 
139.6124970	35.6083410	000000	溝口６丁目	0	0	1	KM_Office	675 
139.6147680	35.6070572	000000	溝口５丁目	0	0	1	KM_Office	1337 
139.6155880	35.6046655	000000	溝口４丁目	0	0	1	KM_Office	899 
139.6128512	35.6036704	000000	溝口３丁目	0	0	1	KM_Office	1741 
139.6107168	35.6022518	000000	溝口２丁目	0	0	1	KM_Office	2967 
139.6131876	35.5997928	000000	溝口１丁目	0	0	1	KM_Office	7334 
139.5980466	35.6098493	000000	久地４丁目	0	0	1	KM_Office	1323 
139.6041036	35.6100158	000000	久地３丁目	0	0	1	KM_Office	1445 
139.6123440	35.6118660	000000	久地２丁目	0	0	1	KM_Office	1032 
139.6069890	35.6066780	000000	久地１丁目	0	0	1	KM_Office	502 
139.6022120	35.6121970	000000	久地	0	0	1	KM_Office	535 
139.6250135	35.6071957	000000	瀬田	0	0	1	KM_Office	29 
139.6400580	35.5956590	000000	下野毛３丁目	0	0	1	KM_Office	626 
139.6359250	35.5953956	000000	下野毛２丁目	0	0	1	KM_Office	1237 
139.6374298	35.5989364	000000	下野毛１丁目	0	0	1	KM_Office	616 
139.6258322	35.6023147	000000	諏訪３丁目	0	0	1	KM_Office	148 
139.6290710	35.6044219	000000	諏訪２丁目	0	0	1	KM_Office	131 
139.6245514	35.6056207	000000	諏訪１丁目	0	0	1	KM_Office	422 
139.6321180	35.5978370	000000	北見方３丁目	0	0	1	KM_Office	1900 
139.6317217	35.6014023	000000	北見方２丁目	0	0	1	KM_Office	1001 
139.6277325	35.5981863	000000	北見方１丁目	0	0	1	KM_Office	296 
139.6282160	35.5819970	000000	千年新町	0	0	1	KM_Office	253 
139.6366588	35.5678808	000000	明津	0	0	1	KM_Office	606 
139.6101870	35.5834040	000000	梶ケ谷６丁目	0	0	1	KM_Office	286 
139.6059540	35.5839360	000000	梶ケ谷５丁目	0	0	1	KM_Office	276 
139.6027735	35.5867551	000000	梶ケ谷４丁目	0	0	1	KM_Office	180 
139.6061830	35.5877650	000000	梶ケ谷３丁目	0	0	1	KM_Office	429 
139.6024041	35.5894142	000000	梶ケ谷２丁目	0	0	1	KM_Office	584 
139.5994580	35.5897730	000000	梶ケ谷１丁目	0	0	1	KM_Office	661 
139.6233129	35.5940977	000000	坂戸３丁目	0	0	1	KM_Office	2587 
139.6262705	35.5961274	000000	坂戸２丁目	0	0	1	KM_Office	217 
139.6215560	35.5979280	000000	坂戸１丁目	0	0	1	KM_Office	2519 
139.6221700	35.6000940	000000	二子６丁目	0	0	1	KM_Office	558 
139.6180856	35.6014558	000000	二子５丁目	0	0	1	KM_Office	1973 
139.6187985	35.6032297	000000	二子４丁目	0	0	1	KM_Office	407 
139.6218890	35.6035710	000000	二子３丁目	0	0	1	KM_Office	132 
139.6199410	35.6058116	000000	二子２丁目	0	0	1	KM_Office	404 
139.6202550	35.6088304	000000	二子１丁目	0	0	1	KM_Office	253 
139.6251899	35.5857002	000000	新作６丁目	0	0	1	KM_Office	255 
139.6245880	35.5876280	000000	新作５丁目	0	0	1	KM_Office	424 
139.6203293	35.5866889	000000	新作４丁目	0	0	1	KM_Office	603 
139.6156866	35.5861756	000000	新作３丁目	0	0	1	KM_Office	467 
139.6143317	35.5832653	000000	新作２丁目	0	0	1	KM_Office	82 
139.6100620	35.5863380	000000	新作１丁目	0	0	1	KM_Office	537 
139.6041438	35.6040939	000000	下作延７丁目	0	0	1	KM_Office	185 
139.5990780	35.6070850	000000	下作延６丁目	0	0	1	KM_Office	494 
139.5980060	35.6040430	000000	下作延５丁目	0	0	1	KM_Office	835 
139.6024680	35.5989500	000000	下作延４丁目	0	0	1	KM_Office	550 
139.6010918	35.5939164	000000	下作延３丁目	0	0	1	KM_Office	550 
139.6066355	35.5983635	000000	下作延２丁目	0	0	1	KM_Office	1795 
139.6074480	35.6018897	000000	下作延１丁目	0	0	1	KM_Office	338 
139.6254360	35.5909030	000000	末長４丁目	0	0	1	KM_Office	606 
139.6202077	35.5903447	000000	末長３丁目	0	0	1	KM_Office	2689 
139.6131980	35.5899390	000000	末長２丁目	0	0	1	KM_Office	418 
139.6066042	35.5927137	000000	末長１丁目	0	0	1	KM_Office	1857 
