lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5649097	35.6199349	000000	登戸	0	0	1	KM_Office	12560 
139.5635201	35.6245657	000000	登戸新町	0	0	1	KM_Office	1123 
139.5619586	35.6276063	000000	中野島	0	0	1	KM_Office	254 
139.5475352	35.6340413	000000	布田	0	0	1	KM_Office	381 
139.5393497	35.6111806	000000	栗谷４丁目	0	0	1	KM_Office	98 
139.5368358	35.6124066	000000	栗谷３丁目	0	0	1	KM_Office	350 
139.5350441	35.6093178	000000	栗谷２丁目	0	0	1	KM_Office	154 
139.5337057	35.6125462	000000	栗谷１丁目	0	0	1	KM_Office	45 
139.5451185	35.6197918	000000	生田４丁目	0	0	1	KM_Office	133 
139.5374876	35.6176965	000000	生田６丁目	0	0	1	KM_Office	73 
139.5424363	35.6164929	000000	生田７丁目	0	0	1	KM_Office	1193 
139.5465709	35.6095778	000000	三田３丁目	0	0	1	KM_Office	215 
139.5463765	35.6072570	000000	三田５丁目	0	0	1	KM_Office	358 
139.5467050	35.6132156	000000	三田２丁目	0	0	1	KM_Office	144 
139.5430505	35.6085981	000000	三田４丁目	0	0	1	KM_Office	635 
139.5427434	35.6126803	000000	三田１丁目	0	0	1	KM_Office	709 
139.5489943	35.6233349	000000	生田２丁目	0	0	1	KM_Office	673 
139.5478342	35.6170195	000000	生田８丁目	0	0	1	KM_Office	249 
139.5409235	35.6209409	000000	生田５丁目	0	0	1	KM_Office	21 
139.5376083	35.6211317	000000	寺尾台２丁目	0	0	1	KM_Office	14 
139.5351031	35.6196414	000000	寺尾台１丁目	0	0	1	KM_Office	171 
139.5257047	35.6073890	000000	西生田５丁目	0	0	1	KM_Office	381 
139.5255900	35.6117170	000000	西生田４丁目	0	0	1	KM_Office	274 
139.5296475	35.6118429	000000	西生田３丁目	0	0	1	KM_Office	724 
139.5329306	35.6160055	000000	西生田２丁目	0	0	1	KM_Office	624 
139.5287463	35.6161484	000000	西生田１丁目	0	0	1	KM_Office	165 
139.5314929	35.6396579	000000	菅野戸呂	0	0	1	KM_Office	65 
139.5240420	35.6345210	000000	菅城下	0	0	1	KM_Office	125 
139.5424290	35.6349190	000000	菅稲田堤３丁目	0	0	1	KM_Office	476 
139.5393640	35.6368030	000000	菅稲田堤２丁目	0	0	1	KM_Office	79 
139.5354441	35.6352056	000000	菅稲田堤１丁目	0	0	1	KM_Office	699 
139.5252384	35.6388695	000000	菅６丁目	0	0	1	KM_Office	101 
139.5297560	35.6372821	000000	菅５丁目	0	0	1	KM_Office	231 
139.5285458	35.6359051	000000	菅４丁目	0	0	1	KM_Office	381 
139.5255480	35.6360800	000000	菅３丁目	0	0	1	KM_Office	422 
139.5309620	35.6329910	000000	菅２丁目	0	0	1	KM_Office	1232 
139.5372947	35.6323277	000000	菅１丁目	0	0	1	KM_Office	876 
139.5192250	35.6263930	000000	菅仙谷４丁目	0	0	1	KM_Office	602 
139.5252240	35.6235800	000000	菅仙谷３丁目	0	0	1	KM_Office	188 
139.5265530	35.6288702	000000	菅仙谷２丁目	0	0	1	KM_Office	84 
139.5224370	35.6294890	000000	菅仙谷１丁目	0	0	1	KM_Office	31 
139.5339570	35.6271890	000000	菅北浦５丁目	0	0	1	KM_Office	48 
139.5293740	35.6268868	000000	菅北浦４丁目	0	0	1	KM_Office	188 
139.5311593	35.6308016	000000	菅北浦３丁目	0	0	1	KM_Office	220 
139.5351470	35.6296600	000000	菅北浦２丁目	0	0	1	KM_Office	275 
