@lon	@lat	name
139.6929173	35.5207255	池田二丁目
139.6918002	35.5215310	池田一丁目
139.6900209	35.5231379	下並木
139.7165494	35.5299890	中島一丁目
139.7163172	35.5268913	中島三丁目
139.7165000	35.5286665	中島二丁目
139.7287681	35.5398419	中瀬一丁目
139.7320721	35.5391729	中瀬三丁目
139.7278335	35.5376368	中瀬二丁目
139.6938646	35.5178189	京町一丁目
139.6969505	35.5088370	京町三丁目
139.6953626	35.5135413	京町二丁目
139.7216771	35.5319685	伊勢町
139.6993407	35.5237542	元木一丁目
139.6960813	35.5222124	元木二丁目
139.7399019	35.5336785	出来野
139.7164516	35.5083574	南渡田町
139.6989984	35.5257170	南町
139.7329380	35.5301260	台町
139.7346008	35.5274934	四谷上町
139.7381394	35.5254620	四谷下町
139.7060619	35.5330643	堀之内町
139.6887189	35.5249933	堤根
139.7410264	35.5285229	塩浜一丁目
139.7411998	35.5216173	塩浜三丁目
139.7377030	35.5234860	塩浜二丁目
139.7465136	35.5291171	塩浜四丁目
139.7087130	35.5250935	境町
139.7534879	35.5282412	夜光一丁目
139.7416851	35.5175108	夜光三丁目
139.7478866	35.5222178	夜光二丁目
139.7119195	35.5241828	大島一丁目
139.7182693	35.5206439	大島三丁目
139.7102434	35.5207436	大島上町
139.7147626	35.5214314	大島二丁目
139.7176310	35.5238572	大島五丁目
139.7148483	35.5242993	大島四丁目
139.7302243	35.5357078	大師本町
139.7386948	35.5399412	大師河原一丁目
139.7399440	35.5359972	大師河原二丁目
139.7306612	35.5338309	大師町
139.7269628	35.5346890	大師駅前一丁目
139.7233122	35.5340661	大師駅前二丁目
139.7056517	35.5281942	宮前町
139.7042048	35.5309928	宮本町
139.7109474	35.5315993	富士見一丁目
139.7109632	35.5277167	富士見二丁目
139.7572744	35.5334658	小島町
139.6975806	35.5273825	小川町
139.6990800	35.5158280	小田一丁目
139.7086656	35.5090819	小田七丁目
139.7039782	35.5135810	小田三丁目
139.6996067	35.5134504	小田二丁目
139.7060068	35.5111699	小田五丁目
139.7057322	35.5090872	小田六丁目
139.7004407	35.5106869	小田四丁目
139.7045119	35.5160531	小田栄一丁目
139.7088293	35.5135900	小田栄二丁目
139.7269072	35.5322289	川中島一丁目
139.7275362	35.5302450	川中島二丁目
139.7051989	35.5263670	新川通
139.7456984	35.5330305	日ノ出一丁目
139.7442016	35.5317597	日ノ出二丁目
139.6939041	35.5259814	日進町
139.7099266	35.5353126	旭町一丁目
139.7166435	35.5319252	旭町二丁目
139.7371203	35.5330960	昭和一丁目
139.7376674	35.5309376	昭和二丁目
139.7033488	35.5333067	本町一丁目
139.7058571	35.5351119	本町二丁目
139.7026910	35.5284619	東田町
139.7333703	35.5355198	東門前一丁目
139.7365255	35.5355198	東門前三丁目
139.7346956	35.5333941	東門前二丁目
139.7229601	35.5192136	桜本一丁目
139.7255724	35.5216793	桜本二丁目
139.7065610	35.5307057	榎町
139.7437888	35.5393374	殿町一丁目
139.7577665	35.5383838	殿町三丁目
139.7476991	35.5401004	殿町二丁目
139.7439886	35.5366207	江川一丁目
139.7475433	35.5362657	江川二丁目
139.7280385	35.5232330	池上新町一丁目
139.7338242	35.5218401	池上新町三丁目
139.7303306	35.5245006	池上新町二丁目
139.7316229	35.5170790	池上町
139.7049012	35.5069604	浅田一丁目
139.7000413	35.5073101	浅田三丁目
139.7026930	35.5071935	浅田二丁目
139.7004538	35.5044642	浅田四丁目
139.7258586	35.5130508	浅野町
139.7176000	35.5166986	浜町一丁目
139.7197979	35.5174272	浜町三丁目
139.7178622	35.5139050	浜町二丁目
139.7219920	35.5160100	浜町四丁目
139.7076546	35.5227965	渡田一丁目
139.7052074	35.5188516	渡田三丁目
139.7062624	35.5208523	渡田二丁目
139.7032513	35.5216799	渡田向町
139.7031789	35.5178891	渡田四丁目
139.6966543	35.5185581	渡田山王町
139.7002162	35.5221138	渡田新町一丁目
139.6989278	35.5196535	渡田新町三丁目
139.6994309	35.5210254	渡田新町二丁目
139.7078908	35.5181513	渡田東町
139.7141167	35.5351604	港町
139.7103720	35.5164443	田島町
139.7422215	35.5352679	田町一丁目
139.7495894	35.5347617	田町三丁目
139.7453675	35.5345273	田町二丁目
139.7072352	35.5047259	田辺新田
139.7097862	35.5006604	白石町
139.7015020	35.5319901	砂子一丁目
139.7004180	35.5293091	砂子二丁目
139.7210407	35.5293318	藤崎一丁目
139.7207566	35.5266851	藤崎二丁目
139.7241752	35.5278092	藤崎三丁目
139.7221908	35.5243892	藤崎四丁目
139.7264342	35.5274896	観音一丁目
139.7295768	35.5275147	観音2
139.7021859	35.5251579	貝塚一丁目
139.7042196	35.5242277	貝塚二丁目
139.7147033	35.5193105	追分町
139.7232345	35.5370812	鈴木町
139.7128273	35.5177706	鋼管通一丁目
139.7136322	35.5139562	鋼管通三丁目
139.7153502	35.5162635	鋼管通二丁目
139.7142699	35.5107562	鋼管通五丁目
139.7124081	35.5116173	鋼管通四丁目
139.6998962	35.5325821	駅前本町
139.7443334	35.5096405	水江町
139.7557351	35.5168068	千鳥町
139.7749768	35.5213019	浮島町
139.7238338	35.5004471	扇町
139.7147839	35.4952181	大川町
139.7314130	35.5317210	大師公園
139.7268530	35.4835700	扇島
139.7539550	35.4971900	東扇島
