四谷下町,446 
四谷上町,912 
旭町１丁目,119 
旭町２丁目,379 
伊勢町,261 
駅前本町,14474 
榎町,1889 
塩浜１丁目,814 
塩浜２丁目,902 
塩浜３丁目,1889 
塩浜４丁目,955 
下並木,433 
貝塚１丁目,1260 
貝塚２丁目,432 
観音１丁目,385 
観音２丁目,312 
宮前町,1688 
宮本町,1964 
京町１丁目,791 
京町２丁目,938 
京町３丁目,528 
境町,560 
元木１丁目,280 
元木２丁目,612 
江川１丁目,115 
江川２丁目,137 
港町,1308 
鋼管通１丁目,1696 
鋼管通２丁目,292 
鋼管通３丁目,266 
鋼管通４丁目,510 
鋼管通５丁目,249 
砂子１丁目,4245 
砂子２丁目,3668 
桜本１丁目,1090 
桜本２丁目,1842 
出来野,489 
小川町,3256 
小田１丁目,341 
小田２丁目,458 
小田３丁目,227 
小田４丁目,383 
小田５丁目,621 
小田６丁目,90 
小田７丁目,131 
小田栄１丁目,241 
小田栄２丁目,1564 
小島町,2417 
昭和１丁目,181 
昭和２丁目,529 
新川通,2722 
水江町,3732 
千鳥町,3351 
川中島１丁目,176 
川中島２丁目,294 
扇町,3754 
扇島,3662 
浅田１丁目,265 
浅田２丁目,498 
浅田３丁目,335 
浅田４丁目,361 
浅野町,2357 
台町,269 
大師駅前１丁目,876 
大師駅前２丁目,355 
大師河原１丁目,284 
大師河原２丁目,162 
大師公園,20 
大師町,594 
大師本町,167 
大川町,2422 
大島１丁目,570 
大島２丁目,322 
大島３丁目,762 
大島４丁目,1179 
大島５丁目,520 
大島上町,481 
池上新町１丁目,268 
池上新町２丁目,691 
池上新町３丁目,1519 
池上町,938 
池田１丁目,523 
池田２丁目,470 
中瀬１丁目,354 
中瀬２丁目,151 
中瀬３丁目,957 
中島１丁目,158 
中島２丁目,467 
中島３丁目,1134 
追分町,961 
堤根,680 
殿町１丁目,862 
殿町２丁目,329 
殿町３丁目,3130 
田町１丁目,205 
田町２丁目,1049 
田町３丁目,802 
田島町,1065 
田辺新田,1799 
渡田１丁目,670 
渡田２丁目,312 
渡田３丁目,348 
渡田４丁目,399 
渡田向町,663 
渡田山王町,426 
渡田新町１丁目,70 
渡田新町２丁目,342 
渡田新町３丁目,233 
渡田東町,446 
東扇島,11310 
東田町,5051 
東門前１丁目,264 
東門前２丁目,365 
東門前３丁目,335 
藤崎１丁目,693 
藤崎２丁目,257 
藤崎３丁目,574 
藤崎４丁目,758 
南町,3906 
南渡田町,2667 
日ノ出１丁目,593 
日ノ出２丁目,857 
日進町,9678 
白石町,2142 
浜町１丁目,420 
浜町２丁目,438 
浜町３丁目,233 
浜町４丁目,560 
富士見１丁目,1327 
富士見２丁目,376 
浮島町,6687 
堀之内町,449 
本町１丁目,1157 
本町２丁目,584 
夜光１丁目,2176 
夜光２丁目,386 
夜光３丁目,552 
鈴木町,1645 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
