lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6556645	35.7866641	000000	高島平三丁目	0	0	1	KM_Office	1777 
139.6698298	35.7838909	000000	高島平一丁目	0	0	1	KM_Office	4570 
139.6627054	35.7852516	000000	高島平二丁目	0	0	1	KM_Office	1908 
139.6503568	35.7879241	000000	高島平四丁目	0	0	1	KM_Office	514 
139.6463624	35.7888898	000000	高島平五丁目	0	0	1	KM_Office	319 
139.6490112	35.7933281	000000	高島平六丁目	0	0	1	KM_Office	2412 
139.6567972	35.7914760	000000	高島平七丁目	0	0	1	KM_Office	1554 
139.6625537	35.7905589	000000	高島平八丁目	0	0	1	KM_Office	1750 
139.6693598	35.7897936	000000	高島平九丁目	0	0	1	KM_Office	2317 
139.6659209	35.7717851	000000	徳丸一丁目	0	0	1	KM_Office	1051 
139.6617347	35.7720778	000000	徳丸二丁目	0	0	1	KM_Office	3265 
139.6578236	35.7725274	000000	徳丸三丁目	0	0	1	KM_Office	1899 
139.6534557	35.7725797	000000	徳丸四丁目	0	0	1	KM_Office	781 
139.6567248	35.7777827	000000	徳丸五丁目	0	0	1	KM_Office	351 
139.6612783	35.7781266	000000	徳丸六丁目	0	0	1	KM_Office	807 
139.6618073	35.7809845	000000	徳丸七丁目	0	0	1	KM_Office	412 
139.6573086	35.7817864	000000	徳丸八丁目	0	0	1	KM_Office	241 
139.6481588	35.7836937	000000	大門	0	0	1	KM_Office	342 
139.6519844	35.7776089	000000	四葉一丁目	0	0	1	KM_Office	239 
139.6520758	35.7821877	000000	四葉二丁目	0	0	1	KM_Office	964 
139.6407677	35.7891517	000000	三園一丁目	0	0	1	KM_Office	1235 
139.6677515	35.7960717	000000	新河岸一丁目	0	0	1	KM_Office	2615 
139.6621196	35.7966829	000000	新河岸二丁目	0	0	1	KM_Office	1748 
139.6523955	35.7967421	000000	新河岸三丁目	0	0	1	KM_Office	375 
139.6443280	35.7765370	000000	赤塚六丁目	0	0	1	KM_Office	793 
139.6486182	35.7767264	000000	赤塚七丁目	0	0	1	KM_Office	488 
139.6763960	35.7885949	000000	蓮根三丁目	0	0	1	KM_Office	2570 
139.6797394	35.7771571	000000	相生町	0	0	1	KM_Office	939 
139.6307728	35.7779895	000000	成増二丁目	0	0	1	KM_Office	3107 
139.6408934	35.7738897	000000	赤塚二丁目	0	0	1	KM_Office	1010 
139.6407218	35.7844499	000000	赤塚四丁目	0	0	1	KM_Office	362 
139.6320449	35.7800089	000000	成増三丁目	0	0	1	KM_Office	2880 
139.6692417	35.7787642	000000	西台二丁目	0	0	1	KM_Office	705 
139.6383346	35.7786359	000000	赤塚三丁目	0	0	1	KM_Office	703 
139.6770062	35.7788120	000000	蓮根一丁目	0	0	1	KM_Office	328 
139.6332572	35.7865442	000000	成増五丁目	0	0	1	KM_Office	544 
139.6387142	35.7727614	000000	赤塚新町二丁目	0	0	1	KM_Office	627 
139.6312040	35.7741988	000000	成増一丁目	0	0	1	KM_Office	3444 
139.6675332	35.7754881	000000	西台三丁目	0	0	1	KM_Office	789 
