lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7075109	35.7772158	000000	桐ケ丘一丁目	0	0	1	KM_Office	831 
139.7102302	35.7812516	000000	桐ケ丘二丁目	0	0	1	KM_Office	218 
139.7061186	35.7910055	000000	浮間一丁目	0	0	1	KM_Office	845 
139.7020311	35.7862749	000000	浮間三丁目	0	0	1	KM_Office	1452 
139.6974139	35.7946482	000000	浮間二丁目	0	0	1	KM_Office	1699 
139.6942546	35.7847188	000000	浮間五丁目	0	0	1	KM_Office	4650 
139.6939232	35.7889174	000000	浮間四丁目	0	0	1	KM_Office	1851 
139.7051370	35.7811962	000000	赤羽北三丁目	0	0	1	KM_Office	538 
139.7073209	35.7852134	000000	赤羽北二丁目	0	0	1	KM_Office	1256 
139.7135750	35.7879350	000000	赤羽北一丁目	0	0	1	KM_Office	528 
139.7233360	35.7855026	000000	岩淵町	0	0	1	KM_Office	416 
139.7303333	35.7857422	000000	志茂五丁目	0	0	1	KM_Office	455 
139.7348120	35.7828600	000000	志茂四丁目	0	0	1	KM_Office	271 
139.7352238	35.7782625	000000	志茂三丁目	0	0	1	KM_Office	1274 
139.7287730	35.7794680	000000	志茂二丁目	0	0	1	KM_Office	1055 
139.7296603	35.7763250	000000	志茂一丁目	0	0	1	KM_Office	765 
139.7238979	35.7735788	000000	赤羽南二丁目	0	0	1	KM_Office	2209 
139.7237923	35.7765099	000000	赤羽南一丁目	0	0	1	KM_Office	2553 
139.7183110	35.7867520	000000	赤羽三丁目	0	0	1	KM_Office	325 
139.7244803	35.7798362	000000	赤羽二丁目	0	0	1	KM_Office	5497 
139.7206438	35.7806673	000000	赤羽一丁目	0	0	1	KM_Office	7458 
139.7067220	35.7725107	000000	赤羽西六丁目	0	0	1	KM_Office	1582 
139.7105460	35.7733790	000000	赤羽西五丁目	0	0	1	KM_Office	281 
139.7157369	35.7734752	000000	赤羽西四丁目	0	0	1	KM_Office	305 
139.7187537	35.7702788	000000	赤羽西三丁目	0	0	1	KM_Office	116 
139.7198550	35.7730090	000000	赤羽西二丁目	0	0	1	KM_Office	253 
139.7189651	35.7774195	000000	赤羽西一丁目	0	0	1	KM_Office	3980 
139.7328563	35.7720736	000000	神谷三丁目	0	0	1	KM_Office	3345 
139.7278923	35.7723515	000000	神谷二丁目	0	0	1	KM_Office	1097 
139.7341073	35.7685793	000000	神谷一丁目	0	0	1	KM_Office	613 
139.7201600	35.7688050	000000	十条仲原四丁目	0	0	1	KM_Office	122 
139.7201538	35.7663676	000000	十条仲原三丁目	0	0	1	KM_Office	221 
139.7204105	35.7649907	000000	十条仲原二丁目	0	0	1	KM_Office	268 
139.7205130	35.7628530	000000	十条仲原一丁目	0	0	1	KM_Office	811 
139.7089691	35.7669351	000000	西が丘三丁目	0	0	1	KM_Office	1329 
139.7131980	35.7662430	000000	西が丘二丁目	0	0	1	KM_Office	373 
139.7131385	35.7701743	000000	西が丘一丁目	0	0	1	KM_Office	774 
139.7166145	35.7658266	000000	上十条五丁目	0	0	1	KM_Office	261 
139.7153729	35.7632891	000000	上十条四丁目	0	0	1	KM_Office	228 
139.7179510	35.7610260	000000	上十条三丁目	0	0	1	KM_Office	699 
139.7202637	35.7592366	000000	上十条二丁目	0	0	1	KM_Office	1311 
139.7241132	35.7596624	000000	上十条一丁目	0	0	1	KM_Office	450 
139.7244980	35.7708180	000000	東十条六丁目	0	0	1	KM_Office	696 
139.7260932	35.7685924	000000	東十条五丁目	0	0	1	KM_Office	429 
139.7278328	35.7669198	000000	東十条四丁目	0	0	1	KM_Office	896 
139.7287308	35.7649870	000000	東十条三丁目	0	0	1	KM_Office	4335 
139.7302690	35.7632340	000000	東十条二丁目	0	0	1	KM_Office	659 
139.7311443	35.7609612	000000	東十条一丁目	0	0	1	KM_Office	477 
139.7227410	35.7690300	000000	中十条四丁目	0	0	1	KM_Office	520 
139.7240209	35.7648309	000000	中十条三丁目	0	0	1	KM_Office	332 
139.7248567	35.7617352	000000	中十条二丁目	0	0	1	KM_Office	359 
139.7283394	35.7591158	000000	中十条一丁目	0	0	1	KM_Office	520 
139.7132774	35.7843025	000000	赤羽台四丁目	0	0	1	KM_Office	1351 
139.7133589	35.7801337	000000	赤羽台三丁目	0	0	1	KM_Office	330 
139.7135250	35.7762910	000000	赤羽台二丁目	0	0	1	KM_Office	197 
139.7155750	35.7782710	000000	赤羽台一丁目	0	0	1	KM_Office	627 
