lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7102809	35.6394716	000000	三田二丁目	0	0	1	KM_Office	579 
139.7138938	35.6404438	000000	三田一丁目	0	0	1	KM_Office	3027 
139.6838303	35.6290001	000000	鷹番三丁目	0	0	1	KM_Office	2898 
139.6878804	35.6289772	000000	鷹番二丁目	0	0	1	KM_Office	2079 
139.6873842	35.6256939	000000	鷹番一丁目	0	0	1	KM_Office	825 
139.6758789	35.6146700	000000	中根二丁目	0	0	1	KM_Office	1305 
139.6732557	35.6160481	000000	中根一丁目	0	0	1	KM_Office	1942 
139.6644258	35.6106447	000000	自由が丘三丁目	0	0	1	KM_Office	536 
139.6675412	35.6103296	000000	自由が丘二丁目	0	0	1	KM_Office	4659 
139.6703187	35.6100712	000000	自由が丘一丁目	0	0	1	KM_Office	6194 
139.6802039	35.6040546	000000	緑が丘三丁目	0	0	1	KM_Office	264 
139.6740255	35.6101780	000000	緑が丘二丁目	0	0	1	KM_Office	1489 
139.6780273	35.6093756	000000	緑が丘一丁目	0	0	1	KM_Office	432 
139.6826568	35.6068263	000000	大岡山二丁目	0	0	1	KM_Office	2963 
139.6819997	35.6110470	000000	大岡山一丁目	0	0	1	KM_Office	837 
139.6808933	35.6149404	000000	平町二丁目	0	0	1	KM_Office	303 
139.6792746	35.6180999	000000	平町一丁目	0	0	1	KM_Office	1099 
139.6677089	35.6228705	000000	八雲五丁目	0	0	1	KM_Office	436 
139.6713111	35.6240369	000000	八雲四丁目	0	0	1	KM_Office	203 
139.6667272	35.6170881	000000	八雲三丁目	0	0	1	KM_Office	1449 
139.6704528	35.6182143	000000	八雲二丁目	0	0	1	KM_Office	827 
139.6732584	35.6193994	000000	八雲一丁目	0	0	1	KM_Office	1218 
139.6645921	35.6281706	000000	東が丘二丁目	0	0	1	KM_Office	2295 
139.6691224	35.6286491	000000	東が丘一丁目	0	0	1	KM_Office	705 
139.6734475	35.6280059	000000	柿の木坂三丁目	0	0	1	KM_Office	305 
139.6758521	35.6249417	000000	柿の木坂二丁目	0	0	1	KM_Office	328 
139.6774077	35.6210804	000000	柿の木坂一丁目	0	0	1	KM_Office	1066 
139.6825844	35.6263828	000000	碑文谷六丁目	0	0	1	KM_Office	534 
139.6821767	35.6231474	000000	碑文谷五丁目	0	0	1	KM_Office	1364 
139.6836331	35.6203685	000000	碑文谷四丁目	0	0	1	KM_Office	1684 
139.6854812	35.6178033	000000	碑文谷三丁目	0	0	1	KM_Office	276 
139.6872944	35.6228269	000000	碑文谷二丁目	0	0	1	KM_Office	735 
139.6902367	35.6205332	000000	碑文谷一丁目	0	0	1	KM_Office	659 
139.6861356	35.6128035	000000	南三丁目	0	0	1	KM_Office	186 
139.6862188	35.6155880	000000	南二丁目	0	0	1	KM_Office	422 
139.6890244	35.6144956	000000	南一丁目	0	0	1	KM_Office	456 
139.6938765	35.6106436	000000	洗足二丁目	0	0	1	KM_Office	1038 
139.6948810	35.6144465	000000	洗足一丁目	0	0	1	KM_Office	323 
139.6915001	35.6155607	000000	原町二丁目	0	0	1	KM_Office	448 
139.6962811	35.6164416	000000	原町一丁目	0	0	1	KM_Office	1045 
139.6952887	35.6202759	000000	目黒本町六丁目	0	0	1	KM_Office	678 
139.6997049	35.6193329	000000	目黒本町五丁目	0	0	1	KM_Office	773 
139.6961778	35.6228879	000000	目黒本町四丁目	0	0	1	KM_Office	843 
139.7009817	35.6224933	000000	目黒本町三丁目	0	0	1	KM_Office	584 
139.6926159	35.6249297	000000	目黒本町二丁目	0	0	1	KM_Office	1280 
139.6961470	35.6267654	000000	目黒本町一丁目	0	0	1	KM_Office	1088 
139.6991068	35.6281270	000000	下目黒六丁目	0	0	1	KM_Office	774 
139.7035606	35.6280169	000000	下目黒五丁目	0	0	1	KM_Office	368 
139.7061422	35.6294154	000000	下目黒四丁目	0	0	1	KM_Office	414 
139.7091329	35.6294263	000000	下目黒三丁目	0	0	1	KM_Office	1581 
139.7115442	35.6309458	000000	下目黒二丁目	0	0	1	KM_Office	3380 
139.7138831	35.6320467	000000	下目黒一丁目	0	0	1	KM_Office	9464 
139.6893355	35.6315868	000000	中央町二丁目	0	0	1	KM_Office	1350 
139.6926802	35.6288137	000000	中央町一丁目	0	0	1	KM_Office	1028 
139.6942440	35.6333351	000000	中町二丁目	0	0	1	KM_Office	1215 
139.6973848	35.6313077	000000	中町一丁目	0	0	1	KM_Office	783 
139.6836989	35.6313818	000000	五本木三丁目	0	0	1	KM_Office	373 
139.6874566	35.6343107	000000	五本木二丁目	0	0	1	KM_Office	688 
139.6888487	35.6381680	000000	五本木一丁目	0	0	1	KM_Office	762 
139.6933240	35.6367707	000000	祐天寺二丁目	0	0	1	KM_Office	1743 
139.6942319	35.6390454	000000	祐天寺一丁目	0	0	1	KM_Office	392 
139.7016455	35.6327890	000000	目黒四丁目	0	0	1	KM_Office	612 
