lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7165651	35.6607745	000000	南青山六丁目	0	0	1	KM_Office	4006
139.7378931	35.6586313	000000	麻布永坂町	0	0	1	KM_Office	189
139.7394689	35.6588636	000000	麻布狸穴町	0	0	1	KM_Office	37
139.7544341	35.6615480	000000	新橋六丁目	0	0	1	KM_Office	10960
139.7553769	35.6630920	000000	新橋五丁目	0	0	1	KM_Office	11998
139.7559549	35.6644071	000000	新橋四丁目	0	0	1	KM_Office	6809
139.7563666	35.6655555	000000	新橋三丁目	0	0	1	KM_Office	6703
139.7574154	35.6668663	000000	新橋二丁目	0	0	1	KM_Office	10744
139.7584668	35.6680092	000000	新橋一丁目	0	0	1	KM_Office	10069
139.7486740	35.6629100	000000	愛宕二丁目	0	0	1	KM_Office	5069
139.7492199	35.6651241	000000	愛宕一丁目	0	0	1	KM_Office	691
139.7514850	35.6632870	000000	西新橋三丁目	0	0	1	KM_Office	12228
139.7524774	35.6661548	000000	西新橋二丁目	0	0	1	KM_Office	11846
139.7534296	35.6687435	000000	西新橋一丁目	0	0	1	KM_Office	21468
139.7439882	35.6625941	000000	虎ノ門五丁目	0	0	1	KM_Office	4703
139.7447580	35.6648408	000000	虎ノ門四丁目	0	0	1	KM_Office	27343
139.7474912	35.6643570	000000	虎ノ門三丁目	0	0	1	KM_Office	11669
139.7463848	35.6684515	000000	虎ノ門二丁目	0	0	1	KM_Office	16632
139.7501090	35.6683393	000000	虎ノ門一丁目	0	0	1	KM_Office	33634
139.7125930	35.6661330	000000	北青山三丁目	0	0	1	KM_Office	10158
139.7165734	35.6579326	000000	南青山七丁目	0	0	1	KM_Office	1444
139.7134915	35.6623456	000000	南青山五丁目	0	0	1	KM_Office	12438
139.7183382	35.6648299	000000	南青山四丁目	0	0	1	KM_Office	2932
139.7155917	35.6665612	000000	南青山三丁目	0	0	1	KM_Office	8386
139.7222596	35.6672683	000000	南青山二丁目	0	0	1	KM_Office	14907
139.7255534	35.6697677	000000	南青山一丁目	0	0	1	KM_Office	9820
139.7181290	35.6718736	000000	北青山二丁目	0	0	1	KM_Office	12723
139.7211707	35.6754459	000000	北青山一丁目	0	0	1	KM_Office	3784
139.7272968	35.6767946	000000	元赤坂二丁目	0	0	1	KM_Office	1316
