lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6693884	35.7514847	000000	氷川台三丁目	0	0	1	KM_Office	1935 
139.6721452	35.7556722	000000	氷川台一丁目	0	0	1	KM_Office	80 
139.6686128	35.7565363	000000	氷川台二丁目	0	0	1	KM_Office	522 
139.6650240	35.7541354	000000	氷川台四丁目	0	0	1	KM_Office	1374 
139.6430030	35.7279799	000000	中村南二丁目	0	0	1	KM_Office	676 
139.5669900	35.7634110	000000	西大泉町	0	0	1	KM_Office	7 
139.5951975	35.7760527	000000	大泉学園町九丁目	0	0	1	KM_Office	5594 
139.5935055	35.7722164	000000	大泉学園町八丁目	0	0	1	KM_Office	1065 
139.5889040	35.7729280	000000	大泉学園町七丁目	0	0	1	KM_Office	1928 
139.5828034	35.7708914	000000	大泉学園町六丁目	0	0	1	KM_Office	1293 
139.5817123	35.7659381	000000	大泉学園町五丁目	0	0	1	KM_Office	966 
139.5908570	35.7659840	000000	大泉学園町四丁目	0	0	1	KM_Office	918 
139.5834070	35.7613589	000000	大泉学園町三丁目	0	0	1	KM_Office	579 
139.5846020	35.7579000	000000	大泉学園町二丁目	0	0	1	KM_Office	875 
139.5906680	35.7601540	000000	大泉学園町一丁目	0	0	1	KM_Office	556 
139.5936975	35.7563371	000000	大泉町六丁目	0	0	1	KM_Office	476 
139.5952534	35.7598446	000000	大泉町五丁目	0	0	1	KM_Office	690 
139.5968940	35.7626580	000000	大泉町四丁目	0	0	1	KM_Office	883 
139.5984213	35.7669804	000000	大泉町三丁目	0	0	1	KM_Office	807 
139.6041210	35.7611710	000000	大泉町二丁目	0	0	1	KM_Office	1210 
139.6067142	35.7673437	000000	大泉町一丁目	0	0	1	KM_Office	866 
139.6141984	35.7675894	000000	土支田四丁目	0	0	1	KM_Office	689 
139.6091270	35.7605510	000000	土支田三丁目	0	0	1	KM_Office	803 
139.6142267	35.7615625	000000	土支田二丁目	0	0	1	KM_Office	1203 
139.6179166	35.7630159	000000	土支田一丁目	0	0	1	KM_Office	798 
139.6497722	35.7663370	000000	北町八丁目	0	0	1	KM_Office	546 
139.6526120	35.7619100	000000	北町七丁目	0	0	1	KM_Office	618 
139.6518929	35.7590977	000000	北町六丁目	0	0	1	KM_Office	1226 
139.6545963	35.7646603	000000	北町五丁目	0	0	1	KM_Office	333 
139.6599536	35.7632456	000000	北町四丁目	0	0	1	KM_Office	2490 
139.6533850	35.7680660	000000	北町三丁目	0	0	1	KM_Office	902 
139.6607920	35.7667320	000000	北町二丁目	0	0	1	KM_Office	1805 
139.6666486	35.7651329	000000	北町一丁目	0	0	1	KM_Office	1001 
139.6655456	35.7620542	000000	錦二丁目	0	0	1	KM_Office	796 
139.6701386	35.7600216	000000	錦一丁目	0	0	1	KM_Office	377 
139.6340680	35.7577910	000000	田柄五丁目	0	0	1	KM_Office	1027 
139.6373178	35.7646479	000000	田柄四丁目	0	0	1	KM_Office	997 
139.6389170	35.7594390	000000	田柄三丁目	0	0	1	KM_Office	1021 
139.6447870	35.7664620	000000	田柄二丁目	0	0	1	KM_Office	1623 
139.6458960	35.7604560	000000	田柄一丁目	0	0	1	KM_Office	751 
139.5992480	35.7474060	000000	石神井町八丁目	0	0	1	KM_Office	550 
139.5991663	35.7439631	000000	石神井町七丁目	0	0	1	KM_Office	798 
139.6007811	35.7407362	000000	石神井町六丁目	0	0	1	KM_Office	886 
139.6027660	35.7379430	000000	石神井町五丁目	0	0	1	KM_Office	547 
139.6041670	35.7470420	000000	石神井町四丁目	0	0	1	KM_Office	891 
139.6055179	35.7419306	000000	石神井町三丁目	0	0	1	KM_Office	3270 
139.6078180	35.7463657	000000	石神井町二丁目	0	0	1	KM_Office	2147 
139.6115570	35.7412490	000000	石神井町一丁目	0	0	1	KM_Office	305 
139.5796851	35.7358106	000000	石神井台八丁目	0	0	1	KM_Office	715 
139.5797220	35.7311179	000000	石神井台七丁目	0	0	1	KM_Office	707 
139.5849421	35.7397344	000000	石神井台六丁目	0	0	1	KM_Office	964 
139.5860095	35.7365978	000000	石神井台五丁目	0	0	1	KM_Office	509 
139.5862002	35.7323704	000000	石神井台四丁目	0	0	1	KM_Office	653 
139.5914330	35.7420750	000000	石神井台三丁目	0	0	1	KM_Office	814 
139.5917745	35.7364404	000000	石神井台二丁目	0	0	1	KM_Office	738 
139.5962256	35.7369759	000000	石神井台一丁目	0	0	1	KM_Office	404 
139.5729390	35.7336020	000000	関町北五丁目	0	0	1	KM_Office	965 
139.5723896	35.7295765	000000	関町北四丁目	0	0	1	KM_Office	1588 
139.5693670	35.7256770	000000	関町北三丁目	0	0	1	KM_Office	549 
139.5751550	35.7253740	000000	関町北二丁目	0	0	1	KM_Office	1439 
139.5789450	35.7253397	000000	関町北一丁目	0	0	1	KM_Office	1105 
139.5800880	35.7286290	000000	関町東二丁目	0	0	1	KM_Office	424 
139.5834104	35.7247332	000000	関町東一丁目	0	0	1	KM_Office	892 
139.5809489	35.7161614	000000	立野町	0	0	1	KM_Office	616 
139.5867530	35.7287550	000000	上石神井四丁目	0	0	1	KM_Office	1191 
139.5952185	35.7324474	000000	上石神井三丁目	0	0	1	KM_Office	1099 
139.5954390	35.7278730	000000	上石神井二丁目	0	0	1	KM_Office	1086 
139.5905380	35.7243388	000000	上石神井一丁目	0	0	1	KM_Office	1894 
139.6032770	35.7344580	000000	下石神井六丁目	0	0	1	KM_Office	308 
139.6021120	35.7310038	000000	下石神井五丁目	0	0	1	KM_Office	378 
139.6016500	35.7277520	000000	下石神井四丁目	0	0	1	KM_Office	992 
139.6076790	35.7361987	000000	下石神井三丁目	0	0	1	KM_Office	391 
139.6068670	35.7306700	000000	下石神井二丁目	0	0	1	KM_Office	546 
139.6116890	35.7310470	000000	下石神井一丁目	0	0	1	KM_Office	461 
139.5949643	35.7233304	000000	上石神井南町	0	0	1	KM_Office	493 
139.5728870	35.7209000	000000	関町南四丁目	0	0	1	KM_Office	1415 
139.5809776	35.7212735	000000	関町南三丁目	0	0	1	KM_Office	773 
139.5839340	35.7175500	000000	関町南二丁目	0	0	1	KM_Office	346 
139.5925820	35.7207310	000000	関町南一丁目	0	0	1	KM_Office	983 
139.6342164	35.7427183	000000	貫井五丁目	0	0	1	KM_Office	755 
139.6295570	35.7423367	000000	貫井四丁目	0	0	1	KM_Office	927 
139.6283166	35.7384901	000000	貫井三丁目	0	0	1	KM_Office	1646 
139.6359212	35.7400027	000000	貫井二丁目	0	0	1	KM_Office	1085 
139.6342820	35.7374100	000000	貫井一丁目	0	0	1	KM_Office	1060 
139.6766140	35.7431580	000000	小竹町二丁目	0	0	1	KM_Office	1207 
139.6760978	35.7397916	000000	小竹町一丁目	0	0	1	KM_Office	1100 
139.6493670	35.7425860	000000	練馬四丁目	0	0	1	KM_Office	1241 
139.6476152	35.7384404	000000	練馬三丁目	0	0	1	KM_Office	615 
139.6536287	35.7442761	000000	練馬二丁目	0	0	1	KM_Office	383 
139.6537580	35.7389540	000000	練馬一丁目	0	0	1	KM_Office	3789 
139.6361955	35.7348161	000000	中村北四丁目	0	0	1	KM_Office	925 
139.6396953	35.7357595	000000	中村北三丁目	0	0	1	KM_Office	748 
139.6432181	35.7357984	000000	中村北二丁目	0	0	1	KM_Office	811 
139.6472420	35.7358350	000000	中村北一丁目	0	0	1	KM_Office	980 
139.6380421	35.7426389	000000	向山四丁目	0	0	1	KM_Office	327 
139.6439020	35.7428330	000000	向山三丁目	0	0	1	KM_Office	226 
139.6428904	35.7402285	000000	向山二丁目	0	0	1	KM_Office	254 
139.6411103	35.7381308	000000	向山一丁目	0	0	1	KM_Office	435 
139.6390267	35.7320757	000000	中村三丁目	0	0	1	KM_Office	715 
139.6435767	35.7323295	000000	中村二丁目	0	0	1	KM_Office	390 
139.6475465	35.7327196	000000	中村一丁目	0	0	1	KM_Office	409 
139.6591350	35.7471710	000000	桜台六丁目	0	0	1	KM_Office	230 
139.6584217	35.7432704	000000	桜台五丁目	0	0	1	KM_Office	359 
139.6589620	35.7397764	000000	桜台四丁目	0	0	1	KM_Office	538 
139.6659770	35.7469920	000000	桜台三丁目	0	0	1	KM_Office	1235 
139.6649603	35.7434887	000000	桜台二丁目	0	0	1	KM_Office	719 
139.6644633	35.7399544	000000	桜台一丁目	0	0	1	KM_Office	1077 
139.6695040	35.7385391	000000	栄町	0	0	1	KM_Office	2351 
139.6614380	35.7371910	000000	豊玉上二丁目	0	0	1	KM_Office	1326 
139.6689270	35.7360904	000000	豊玉上一丁目	0	0	1	KM_Office	1316 
139.6775456	35.7358500	000000	旭丘二丁目	0	0	1	KM_Office	1222 
139.6751120	35.7340740	000000	旭丘一丁目	0	0	1	KM_Office	2228 
139.6506726	35.7318314	000000	豊玉中四丁目	0	0	1	KM_Office	299 
139.6546966	35.7317006	000000	豊玉中三丁目	0	0	1	KM_Office	578 
139.6589390	35.7312170	000000	豊玉中二丁目	0	0	1	KM_Office	663 
139.6626710	35.7301544	000000	豊玉中一丁目	0	0	1	KM_Office	457 
139.6397918	35.7282859	000000	中村南三丁目	0	0	1	KM_Office	699 
139.6467990	35.7282800	000000	中村南一丁目	0	0	1	KM_Office	285 
139.6513460	35.7352461	000000	豊玉北六丁目	0	0	1	KM_Office	4588 
139.6551160	35.7352750	000000	豊玉北五丁目	0	0	1	KM_Office	4922 
139.6587680	35.7350840	000000	豊玉北四丁目	0	0	1	KM_Office	1409 
139.6622320	35.7343540	000000	豊玉北三丁目	0	0	1	KM_Office	1270 
139.6655176	35.7340998	000000	豊玉北二丁目	0	0	1	KM_Office	838 
139.6689130	35.7331410	000000	豊玉北一丁目	0	0	1	KM_Office	858 
139.6516063	35.7285931	000000	豊玉南三丁目	0	0	1	KM_Office	1314 
139.6561930	35.7280680	000000	豊玉南二丁目	0	0	1	KM_Office	1001 
139.6605790	35.7275737	000000	豊玉南一丁目	0	0	1	KM_Office	470 
139.5699230	35.7619380	000000	西大泉六丁目	0	0	1	KM_Office	430 
139.5686111	35.7581722	000000	西大泉五丁目	0	0	1	KM_Office	899 
139.5750490	35.7636941	000000	西大泉四丁目	0	0	1	KM_Office	845 
139.5792530	35.7580830	000000	西大泉三丁目	0	0	1	KM_Office	824 
139.5744980	35.7572460	000000	西大泉二丁目	0	0	1	KM_Office	342 
139.5776355	35.7538774	000000	西大泉一丁目	0	0	1	KM_Office	344 
139.6266869	35.7757077	000000	旭町三丁目	0	0	1	KM_Office	990 
139.6272008	35.7711715	000000	旭町二丁目	0	0	1	KM_Office	486 
139.6223814	35.7643894	000000	旭町一丁目	0	0	1	KM_Office	1109 
139.5787818	35.7440275	000000	東大泉七丁目	0	0	1	KM_Office	903 
139.5834483	35.7447512	000000	東大泉六丁目	0	0	1	KM_Office	1586 
139.5902656	35.7460516	000000	東大泉五丁目	0	0	1	KM_Office	2087 
139.5840336	35.7531233	000000	東大泉四丁目	0	0	1	KM_Office	1391 
139.5893080	35.7539440	000000	東大泉三丁目	0	0	1	KM_Office	1167 
139.5951352	35.7527705	000000	東大泉二丁目	0	0	1	KM_Office	2578 
139.5918843	35.7487186	000000	東大泉一丁目	0	0	1	KM_Office	4211 
139.6006610	35.7535078	000000	三原台三丁目	0	0	1	KM_Office	343 
139.6051102	35.7562091	000000	三原台二丁目	0	0	1	KM_Office	769 
139.6045831	35.7528058	000000	三原台一丁目	0	0	1	KM_Office	477 
139.6239310	35.7560100	000000	光が丘七丁目	0	0	1	KM_Office	500 
139.6232060	35.7596320	000000	光が丘六丁目	0	0	1	KM_Office	202 
139.6271560	35.7614950	000000	光が丘五丁目	0	0	1	KM_Office	2661 
139.6294090	35.7662460	000000	光が丘四丁目	0	0	1	KM_Office	159 
139.6292670	35.7562370	000000	光が丘三丁目	0	0	1	KM_Office	870 
139.6322140	35.7615590	000000	光が丘二丁目	0	0	1	KM_Office	2503 
139.6382230	35.7683790	000000	光が丘一丁目	0	0	1	KM_Office	204 
139.5733020	35.7531480	000000	南大泉六丁目	0	0	1	KM_Office	85 
139.5744160	35.7503950	000000	南大泉五丁目	0	0	1	KM_Office	965 
139.5740124	35.7463719	000000	南大泉四丁目	0	0	1	KM_Office	744 
139.5703907	35.7436901	000000	南大泉三丁目	0	0	1	KM_Office	1004 
139.5702521	35.7373105	000000	南大泉二丁目	0	0	1	KM_Office	371 
139.5757650	35.7392900	000000	南大泉一丁目	0	0	1	KM_Office	914 
139.6566260	35.7584120	000000	平和台四丁目	0	0	1	KM_Office	678 
139.6607720	35.7556310	000000	平和台三丁目	0	0	1	KM_Office	583 
139.6612700	35.7605760	000000	平和台二丁目	0	0	1	KM_Office	516 
139.6645790	35.7586242	000000	平和台一丁目	0	0	1	KM_Office	654 
139.6733320	35.7514160	000000	羽沢三丁目	0	0	1	KM_Office	436 
139.6708570	35.7450148	000000	羽沢二丁目	0	0	1	KM_Office	333 
139.6712197	35.7416449	000000	羽沢一丁目	0	0	1	KM_Office	699 
139.6351990	35.7530710	000000	春日町六丁目	0	0	1	KM_Office	923 
139.6384244	35.7481800	000000	春日町五丁目	0	0	1	KM_Office	882 
139.6404940	35.7549910	000000	春日町四丁目	0	0	1	KM_Office	893 
139.6423919	35.7498926	000000	春日町三丁目	0	0	1	KM_Office	734 
139.6470270	35.7564870	000000	春日町二丁目	0	0	1	KM_Office	781 
139.6462170	35.7487230	000000	春日町一丁目	0	0	1	KM_Office	719 
139.6494769	35.7494691	000000	早宮四丁目	0	0	1	KM_Office	459 
139.6525980	35.7483960	000000	早宮三丁目	0	0	1	KM_Office	480 
139.6537670	35.7551820	000000	早宮二丁目	0	0	1	KM_Office	1786 
139.6588590	35.7515590	000000	早宮一丁目	0	0	1	KM_Office	463 
139.6100370	35.7556660	000000	谷原六丁目	0	0	1	KM_Office	271 
139.6106220	35.7520420	000000	谷原五丁目	0	0	1	KM_Office	882 
139.6143940	35.7554460	000000	谷原四丁目	0	0	1	KM_Office	746 
139.6180828	35.7535524	000000	谷原三丁目	0	0	1	KM_Office	606 
139.6162520	35.7509140	000000	谷原二丁目	0	0	1	KM_Office	644 
139.6214471	35.7502163	000000	谷原一丁目	0	0	1	KM_Office	700 
139.6115735	35.7480039	000000	高野台五丁目	0	0	1	KM_Office	970 
139.6167112	35.7471999	000000	高野台四丁目	0	0	1	KM_Office	412 
139.6139510	35.7444650	000000	高野台三丁目	0	0	1	KM_Office	1807 
139.6214035	35.7468386	000000	高野台二丁目	0	0	1	KM_Office	2429 
139.6172518	35.7424450	000000	高野台一丁目	0	0	1	KM_Office	1680 
139.6119310	35.7378920	000000	南田中五丁目	0	0	1	KM_Office	438 
139.6125827	35.7335157	000000	南田中四丁目	0	0	1	KM_Office	400 
139.6173212	35.7376225	000000	南田中三丁目	0	0	1	KM_Office	625 
139.6171431	35.7339294	000000	南田中二丁目	0	0	1	KM_Office	555 
139.6183180	35.7313730	000000	南田中一丁目	0	0	1	KM_Office	419 
139.6225337	35.7434011	000000	富士見台四丁目	0	0	1	KM_Office	552 
