lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6239677	35.6525977	000000	船橋三丁目	0	0	1	KM_Office	233
139.6219057	35.6499984	000000	船橋一丁目	0	0	1	KM_Office	1592
139.6183221	35.6511957	000000	船橋二丁目	0	0	1	KM_Office	573
139.6268946	35.6486570	000000	経堂四丁目	0	0	1	KM_Office	688
139.6479960	35.6329297	000000	新町三丁目	0	0	1	KM_Office	712
139.6489039	35.6297729	000000	新町二丁目	0	0	1	KM_Office	1095
139.6498561	35.6276212	000000	新町一丁目	0	0	1	KM_Office	674
139.6472061	35.5982687	000000	玉堤二丁目	0	0	1	KM_Office	400
139.6516800	35.5949972	000000	玉堤一丁目	0	0	1	KM_Office	1671
139.6746746	35.5958031	000000	東玉川二丁目	0	0	1	KM_Office	1107
139.6783566	35.5964907	000000	東玉川一丁目	0	0	1	KM_Office	307
139.6660835	35.6016099	000000	玉川田園調布二丁目	0	0	1	KM_Office	605
139.6641549	35.6000680	000000	玉川田園調布一丁目	0	0	1	KM_Office	327
139.6591070	35.6037057	000000	奥沢八丁目	0	0	1	KM_Office	431
139.6617785	35.6077880	000000	奥沢七丁目	0	0	1	KM_Office	916
139.6635354	35.6038409	000000	奥沢六丁目	0	0	1	KM_Office	1051
139.6688247	35.6044548	000000	奥沢五丁目	0	0	1	KM_Office	2066
139.6697259	35.6016295	000000	奥沢四丁目	0	0	1	KM_Office	447
139.6737210	35.6018661	000000	奥沢三丁目	0	0	1	KM_Office	1098
139.6751118	35.6061329	000000	奥沢二丁目	0	0	1	KM_Office	814
139.6784163	35.6019512	000000	奥沢一丁目	0	0	1	KM_Office	461
139.6553265	35.6042912	000000	尾山台三丁目	0	0	1	KM_Office	1049
139.6535146	35.6011639	000000	尾山台二丁目	0	0	1	KM_Office	299
139.6564543	35.5993592	000000	尾山台一丁目	0	0	1	KM_Office	457
139.6367683	35.6056444	000000	野毛三丁目	0	0	1	KM_Office	112
139.6401948	35.6024888	000000	野毛二丁目	0	0	1	KM_Office	522
139.6444809	35.6023448	000000	野毛一丁目	0	0	1	KM_Office	208
139.6384621	35.6177859	000000	上野毛四丁目	0	0	1	KM_Office	651
139.6364424	35.6120185	000000	上野毛三丁目	0	0	1	KM_Office	285
139.6369211	35.6082569	000000	上野毛二丁目	0	0	1	KM_Office	555
139.6398287	35.6111571	000000	上野毛一丁目	0	0	1	KM_Office	1008
139.6418779	35.6210183	000000	中町五丁目	0	0	1	KM_Office	581
139.6435623	35.6176703	000000	中町四丁目	0	0	1	KM_Office	443
139.6443039	35.6152631	000000	中町三丁目	0	0	1	KM_Office	535
139.6439069	35.6115802	000000	中町二丁目	0	0	1	KM_Office	1002
139.6438962	35.6083463	000000	中町一丁目	0	0	1	KM_Office	73
139.6513367	35.6149098	000000	等々力八丁目	0	0	1	KM_Office	776
139.6566313	35.6143168	000000	等々力七丁目	0	0	1	KM_Office	998
139.6586511	35.6117502	000000	等々力六丁目	0	0	1	KM_Office	1412
139.6562384	35.6087868	000000	等々力五丁目	0	0	1	KM_Office	672
139.6523626	35.6096427	000000	等々力四丁目	0	0	1	KM_Office	1440
139.6493237	35.6107722	000000	等々力三丁目	0	0	1	KM_Office	1336
139.6495087	35.6065875	000000	等々力二丁目	0	0	1	KM_Office	1277
139.6489656	35.6025684	000000	等々力一丁目	0	0	1	KM_Office	542
139.6523291	35.6233850	000000	深沢六丁目	0	0	1	KM_Office	246
139.6495798	35.6187365	000000	深沢五丁目	0	0	1	KM_Office	1139
139.6569546	35.6203489	000000	深沢四丁目	0	0	1	KM_Office	720
139.6573247	35.6173193	000000	深沢三丁目	0	0	1	KM_Office	368
139.6628863	35.6211153	000000	深沢二丁目	0	0	1	KM_Office	368
139.6624437	35.6169137	000000	深沢一丁目	0	0	1	KM_Office	616
139.6575339	35.6246081	000000	駒沢五丁目	0	0	1	KM_Office	852
139.6544413	35.6283918	000000	駒沢四丁目	0	0	1	KM_Office	549
139.6531418	35.6320860	000000	駒沢三丁目	0	0	1	KM_Office	773
139.6583520	35.6347401	000000	駒沢二丁目	0	0	1	KM_Office	1911
139.6595617	35.6305610	000000	駒沢一丁目	0	0	1	KM_Office	2845
139.6659064	35.6416547	000000	三軒茶屋二丁目	0	0	1	KM_Office	5454
139.6719789	35.6412590	000000	三軒茶屋一丁目	0	0	1	KM_Office	4362
139.6578893	35.6399501	000000	上馬五丁目	0	0	1	KM_Office	673
139.6611643	35.6366334	000000	上馬四丁目	0	0	1	KM_Office	1351
139.6634643	35.6335270	000000	上馬三丁目	0	0	1	KM_Office	609
139.6646163	35.6377342	000000	上馬二丁目	0	0	1	KM_Office	1386
139.6681541	35.6372024	000000	上馬一丁目	0	0	1	KM_Office	571
139.6672381	35.6324642	000000	野沢四丁目	0	0	1	KM_Office	673
139.6747416	35.6306057	000000	野沢三丁目	0	0	1	KM_Office	737
139.6682788	35.6339826	000000	野沢二丁目	0	0	1	KM_Office	596
139.6711890	35.6361440	000000	野沢一丁目	0	0	1	KM_Office	412
139.6795575	35.6297119	000000	下馬六丁目	0	0	1	KM_Office	727
139.6830967	35.6362813	000000	下馬五丁目	0	0	1	KM_Office	306
139.6787220	35.6358475	000000	下馬四丁目	0	0	1	KM_Office	328
139.6743084	35.6352491	000000	下馬三丁目	0	0	1	KM_Office	621
139.6762383	35.6410628	000000	下馬二丁目	0	0	1	KM_Office	940
139.6831879	35.6397310	000000	下馬一丁目	0	0	1	KM_Office	914
139.6617758	35.6250180	000000	駒沢公園	0	0	1	KM_Office	132
139.6249880	35.6356099	000000	上用賀六丁目	0	0	1	KM_Office	1515
139.6275777	35.6298296	000000	上用賀五丁目	0	0	1	KM_Office	789
139.6291977	35.6363587	000000	上用賀四丁目	0	0	1	KM_Office	395
139.6310082	35.6321601	000000	上用賀三丁目	0	0	1	KM_Office	283
