lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6756865	35.6691581	000000	大山町	0	0	1	KM_Office	884 
139.6974957	35.6620752	000000	宇田川町	0	0	1	KM_Office	21430 
139.7050733	35.6618126	000000	渋谷一丁目	0	0	1	KM_Office	24919 
139.6858165	35.6718115	000000	元代々木町	0	0	1	KM_Office	2906 
139.6905009	35.6672759	000000	富ヶ谷一丁目	0	0	1	KM_Office	4681 
139.6859962	35.6646980	000000	富ヶ谷二丁目	0	0	1	KM_Office	1587 
139.6973795	35.6664577	000000	神南二丁目	0	0	1	KM_Office	7608 
139.7008824	35.6630604	000000	神南一丁目	0	0	1	KM_Office	10043 
139.6914062	35.6638493	000000	神山町	0	0	1	KM_Office	5811 
139.6900517	35.6599964	000000	松濤二丁目	0	0	1	KM_Office	2466 
139.6934527	35.6609095	000000	松濤一丁目	0	0	1	KM_Office	1913 
139.6987796	35.6593786	000000	道玄坂二丁目	0	0	1	KM_Office	18457 
139.6987943	35.6572608	000000	道玄坂一丁目	0	0	1	KM_Office	24460 
139.6950285	35.6576798	000000	円山町	0	0	1	KM_Office	6373 
139.6984228	35.6514728	000000	鉢山町	0	0	1	KM_Office	797 
139.6961617	35.6538092	000000	南平台町	0	0	1	KM_Office	15805 
139.7009039	35.6556312	000000	桜丘町	0	0	1	KM_Office	16293 
139.7017702	35.6527467	000000	鶯谷町	0	0	1	KM_Office	2162 
139.7011319	35.6501019	000000	猿楽町	0	0	1	KM_Office	3756 
139.7046751	35.6507318	000000	代官山町	0	0	1	KM_Office	2749 
139.7070850	35.6501390	000000	恵比寿西二丁目	0	0	1	KM_Office	3519 
139.7061852	35.6477196	000000	恵比寿西一丁目	0	0	1	KM_Office	8154 
139.7063246	35.6447924	000000	恵比寿南三丁目	0	0	1	KM_Office	2987 
139.7091785	35.6438573	000000	恵比寿南二丁目	0	0	1	KM_Office	2446 
139.7104955	35.6448970	000000	恵比寿南一丁目	0	0	1	KM_Office	10432 
139.7139662	35.6449777	000000	恵比寿四丁目	0	0	1	KM_Office	21253 
139.7185126	35.6435892	000000	恵比寿三丁目	0	0	1	KM_Office	1429 
139.7206342	35.6464337	000000	恵比寿二丁目	0	0	1	KM_Office	2554 
139.7142801	35.6470941	000000	恵比寿一丁目	0	0	1	KM_Office	16847 
139.7203794	35.6499406	000000	広尾五丁目	0	0	1	KM_Office	4709 
139.7200575	35.6537624	000000	広尾四丁目	0	0	1	KM_Office	3609 
139.7157446	35.6548096	000000	広尾三丁目	0	0	1	KM_Office	622 
139.7156936	35.6515458	000000	広尾二丁目	0	0	1	KM_Office	562 
139.7133172	35.6496279	000000	広尾一丁目	0	0	1	KM_Office	6711 
139.7103426	35.6503722	000000	東三丁目	0	0	1	KM_Office	6325 
139.7098155	35.6533232	000000	東二丁目	0	0	1	KM_Office	2547 
139.7084784	35.6553806	000000	東一丁目	0	0	1	KM_Office	6235 
139.7126198	35.6555876	000000	東四丁目	0	0	1	KM_Office	1524 
139.7113055	35.6601838	000000	渋谷四丁目	0	0	1	KM_Office	4204 
139.7055294	35.6559908	000000	渋谷三丁目	0	0	1	KM_Office	29492 
139.7062670	35.6596837	000000	渋谷二丁目	0	0	1	KM_Office	37766 
139.7041199	35.6661069	000000	神宮前六丁目	0	0	1	KM_Office	12883 
139.7063528	35.6645074	000000	神宮前五丁目	0	0	1	KM_Office	9701 
139.7098397	35.6682031	000000	神宮前四丁目	0	0	1	KM_Office	6301 
139.7107597	35.6704333	000000	神宮前三丁目	0	0	1	KM_Office	6489 
139.7124763	35.6738205	000000	神宮前二丁目	0	0	1	KM_Office	7905 
139.7057319	35.6715130	000000	神宮前一丁目	0	0	1	KM_Office	10179 
139.7067538	35.6844266	000000	千駄ヶ谷六丁目	0	0	1	KM_Office	-
139.7038168	35.6853003	000000	千駄ヶ谷五丁目	0	0	1	KM_Office	25594 
139.7064427	35.6804288	000000	千駄ヶ谷四丁目	0	0	1	KM_Office	11095 
139.7065137	35.6758403	000000	千駄ヶ谷三丁目	0	0	1	KM_Office	9653 
139.7111781	35.6760963	000000	千駄ヶ谷二丁目	0	0	1	KM_Office	2867 
139.7113377	35.6792567	000000	千駄ヶ谷一丁目	0	0	1	KM_Office	4603 
139.6901053	35.6736920	000000	代々木五丁目	0	0	1	KM_Office	1781 
139.6914116	35.6807099	000000	代々木四丁目	0	0	1	KM_Office	4749 
139.6943057	35.6832066	000000	代々木三丁目	0	0	1	KM_Office	11344 
139.6990827	35.6855225	000000	代々木二丁目	0	0	1	KM_Office	35512 
139.7004533	35.6818994	000000	代々木一丁目	0	0	1	KM_Office	14190 
139.6983075	35.6744110	000000	代々木神園町	0	0	1	KM_Office	1324 
139.6685672	35.6776879	000000	笹塚三丁目	0	0	1	KM_Office	1832 
139.6673173	35.6751474	000000	笹塚二丁目	0	0	1	KM_Office	2982 
139.6684438	35.6735852	000000	笹塚一丁目	0	0	1	KM_Office	9537 
139.6731564	35.6804310	000000	幡ヶ谷三丁目	0	0	1	KM_Office	753 
139.6754497	35.6778666	000000	幡ヶ谷二丁目	0	0	1	KM_Office	3992 
139.6736473	35.6749818	000000	幡ヶ谷一丁目	0	0	1	KM_Office	3145 
139.6788052	35.6821783	000000	本町六丁目	0	0	1	KM_Office	770 
139.6764904	35.6839757	000000	本町五丁目	0	0	1	KM_Office	378 
139.6804024	35.6868754	000000	本町四丁目	0	0	1	KM_Office	1067 
139.6819702	35.6889569	000000	本町三丁目	0	0	1	KM_Office	5679 
139.6828620	35.6838308	000000	本町二丁目	0	0	1	KM_Office	1207 
139.6834105	35.6809898	000000	本町一丁目	0	0	1	KM_Office	5865 
139.6860820	35.6758948	000000	初台二丁目	0	0	1	KM_Office	1144 
139.6866238	35.6798471	000000	初台一丁目	0	0	1	KM_Office	7311 
139.6801396	35.6708670	000000	西原三丁目	0	0	1	KM_Office	2078 
139.6782325	35.6737432	000000	西原二丁目	0	0	1	KM_Office	1741 
139.6815893	35.6754350	000000	西原一丁目	0	0	1	KM_Office	1203 
139.6771435	35.6660142	000000	上原三丁目	0	0	1	KM_Office	1569 
139.6820158	35.6654553	000000	上原二丁目	0	0	1	KM_Office	632 
139.6843225	35.6690181	000000	上原一丁目	0	0	1	KM_Office	2092 
