lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7089198	35.6900255	000000	新宿二丁目	0	0	1	KM_Office	14348
139.7164392	35.6771672	000000	霞ヶ丘町	0	0	1	KM_Office	1933
139.7117937	35.6856663	000000	内藤町	0	0	1	KM_Office	1469
139.7171366	35.6838591	000000	大京町	0	0	1	KM_Office	1285
139.7211599	35.6879407	000000	四谷三丁目	0	0	1	KM_Office	2605
139.7165425	35.6885463	000000	四谷四丁目	0	0	1	KM_Office	5080
139.7259490	35.6870932	000000	四谷二丁目	0	0	1	KM_Office	3505
139.7291261	35.6847251	000000	四谷一丁目	0	0	1	KM_Office	11660
139.7206986	35.6859124	000000	左門町	0	0	1	KM_Office	2937
139.7222261	35.6852197	000000	須賀町	0	0	1	KM_Office	310
139.7200911	35.6821925	000000	信濃町	0	0	1	KM_Office	9721
139.7240889	35.6807273	000000	南元町	0	0	1	KM_Office	1402
139.7436583	35.7008582	000000	神楽河岸	0	0	1	KM_Office	1116
139.6918595	35.7067368	000000	北新宿四丁目	0	0	1	KM_Office	3059
139.6915001	35.7038073	000000	北新宿三丁目	0	0	1	KM_Office	969
139.6898881	35.6985362	000000	北新宿二丁目	0	0	1	KM_Office	6174
139.6943499	35.6994903	000000	北新宿一丁目	0	0	1	KM_Office	2907
139.7017233	35.6953799	000000	歌舞伎町一丁目	0	0	1	KM_Office	10826
139.7043747	35.6965540	000000	歌舞伎町二丁目	0	0	1	KM_Office	10346
139.6930571	35.6957829	000000	西新宿八丁目	0	0	1	KM_Office	22288
139.6977013	35.6955705	000000	西新宿七丁目	0	0	1	KM_Office	32672
139.6912801	35.6934303	000000	西新宿六丁目	0	0	1	KM_Office	48595
139.6858688	35.6928803	000000	西新宿五丁目	0	0	1	KM_Office	1174
139.6878764	35.6875376	000000	西新宿四丁目	0	0	1	KM_Office	6554
139.6897003	35.6844245	000000	西新宿三丁目	0	0	1	KM_Office	35424
139.6924308	35.6895854	000000	西新宿二丁目	0	0	1	KM_Office	77758
139.6979240	35.6903697	000000	西新宿一丁目	0	0	1	KM_Office	76765
139.7230616	35.6997723	000000	原町三丁目	0	0	1	KM_Office	542
139.7240052	35.7004719	000000	原町二丁目	0	0	1	KM_Office	329
139.7258458	35.7003321	000000	原町一丁目	0	0	1	KM_Office	244
139.7176301	35.7001758	000000	若松町	0	0	1	KM_Office	4427
139.7160422	35.6962861	000000	余丁町	0	0	1	KM_Office	643
139.7196954	35.6967217	000000	河田町	0	0	1	KM_Office	5402
139.7247434	35.6923019	000000	片町	0	0	1	KM_Office	845
139.7217393	35.6930186	000000	住吉町	0	0	1	KM_Office	3004
139.7188626	35.6936558	000000	市谷台町	0	0	1	KM_Office	1290
139.7151840	35.6935610	000000	富久町	0	0	1	KM_Office	4759
139.7112311	35.6995926	000000	新宿七丁目	0	0	1	KM_Office	1816
139.7102138	35.6953385	000000	新宿六丁目	0	0	1	KM_Office	17376
139.7081096	35.6931613	000000	新宿五丁目	0	0	1	KM_Office	13446
139.7041534	35.6887772	000000	新宿四丁目	0	0	1	KM_Office	10360
139.7038262	35.6912290	000000	新宿三丁目	0	0	1	KM_Office	29579
139.7130248	35.6895408	000000	新宿一丁目	0	0	1	KM_Office	20484
139.7252047	35.6849430	000000	若葉二丁目	0	0	1	KM_Office	440
139.7268328	35.6842545	000000	若葉一丁目	0	0	1	KM_Office	1141
139.7194058	35.6899754	000000	愛住町	0	0	1	KM_Office	1157
139.7213919	35.6900255	000000	舟町	0	0	1	KM_Office	821
139.7232722	35.6904492	000000	荒木町	0	0	1	KM_Office	3007
139.7259504	35.6887162	000000	四谷三栄町	0	0	1	KM_Office	3043
139.7274390	35.6906289	000000	四谷坂町	0	0	1	KM_Office	2468
139.7301896	35.6890430	000000	四谷本塩町	0	0	1	KM_Office	4237
139.7292924	35.6968938	000000	市谷加賀町二丁目	0	0	1	KM_Office	224
139.7315964	35.6965126	000000	市谷加賀町一丁目	0	0	1	KM_Office	3212
139.7255105	35.6968056	000000	市谷薬王寺町	0	0	1	KM_Office	368
139.7232722	35.6947438	000000	市谷仲之町	0	0	1	KM_Office	452
139.7299737	35.6925023	000000	市谷本村町	0	0	1	KM_Office	17783
139.7349894	35.6921712	000000	市谷八幡町	0	0	1	KM_Office	2066
139.7372554	35.6973033	000000	市谷砂土原町三丁目	0	0	1	KM_Office	529
139.7356197	35.6956472	000000	市谷砂土原町二丁目	0	0	1	KM_Office	1133
139.7351549	35.6948070	000000	市谷砂土原町一丁目	0	0	1	KM_Office	949
