lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7962210	35.6938960	000000	両国四丁目	0	0	1	KM_Office	3577
139.7939990	35.6937990	000000	両国三丁目	0	0	1	KM_Office	2252
139.7898580	35.6941070	000000	両国一丁目	0	0	1	KM_Office	2766
139.7921080	35.6938860	000000	両国二丁目	0	0	1	KM_Office	4665
139.8173080	35.7074000	000000	業平五丁目	0	0	1	KM_Office	547
139.8149380	35.7075740	000000	業平四丁目	0	0	1	KM_Office	1244
139.8133060	35.7074870	000000	業平三丁目	0	0	1	KM_Office	1184
139.8119240	35.7075380	000000	業平二丁目	0	0	1	KM_Office	550
139.8094940	35.7079340	000000	業平一丁目	0	0	1	KM_Office	1149
139.8175460	35.7043980	000000	横川五丁目	0	0	1	KM_Office	356
139.8152600	35.7041940	000000	横川四丁目	0	0	1	KM_Office	1122
139.8136520	35.7041300	000000	横川三丁目	0	0	1	KM_Office	719
139.8121690	35.7044330	000000	横川二丁目	0	0	1	KM_Office	336
139.8097450	35.7045130	000000	横川一丁目	0	0	1	KM_Office	890
139.8169120	35.7014410	000000	太平四丁目	0	0	1	KM_Office	6906
139.8140820	35.7009180	000000	太平三丁目	0	0	1	KM_Office	1589
139.8124150	35.7010790	000000	太平二丁目	0	0	1	KM_Office	981
139.8100010	35.7009400	000000	太平一丁目	0	0	1	KM_Office	2409
139.8171740	35.6986020	000000	錦糸四丁目	0	0	1	KM_Office	1202
139.8126370	35.6983880	000000	錦糸二丁目	0	0	1	KM_Office	2913
139.8102290	35.6979110	000000	錦糸一丁目	0	0	1	KM_Office	9911
139.8103940	35.6907230	000000	江東橋五丁目	0	0	1	KM_Office	957
139.8173720	35.6950110	000000	江東橋四丁目	0	0	1	KM_Office	7622
139.8140800	35.6946490	000000	江東橋三丁目	0	0	1	KM_Office	5322
139.8121020	35.6948330	000000	江東橋二丁目	0	0	1	KM_Office	3605
139.8099920	35.6945750	000000	江東橋一丁目	0	0	1	KM_Office	1586
139.8077600	35.6885370	000000	菊川三丁目	0	0	1	KM_Office	1850
139.8051140	35.6889630	000000	菊川二丁目	0	0	1	KM_Office	981
139.8015960	35.6892850	000000	菊川一丁目	0	0	1	KM_Office	794
139.8074350	35.6914840	000000	立川四丁目	0	0	1	KM_Office	593
139.8044770	35.6912910	000000	立川三丁目	0	0	1	KM_Office	916
139.8018500	35.6913120	000000	立川二丁目	0	0	1	KM_Office	741
139.7992590	35.6908080	000000	立川一丁目	0	0	1	KM_Office	522
139.8071870	35.6944860	000000	緑四丁目	0	0	1	KM_Office	2177
