lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.7743684	35.7018928	000000	秋葉原	0	0	1	KM_Office	2258
139.7798051	35.7158370	000000	上野七丁目	0	0	1	KM_Office	6897
139.7758287	35.7051436	000000	上野五丁目	0	0	1	KM_Office	10278
139.7758327	35.7092137	000000	上野六丁目	0	0	1	KM_Office	6021
139.7742663	35.7093732	000000	上野四丁目	0	0	1	KM_Office	2859
139.7733376	35.7054109	000000	上野三丁目	0	0	1	KM_Office	7463
139.7723553	35.7090563	000000	上野二丁目	0	0	1	KM_Office	3210
139.7715506	35.7066556	000000	上野一丁目	0	0	1	KM_Office	6643
139.7890802	35.7044575	000000	蔵前四丁目	0	0	1	KM_Office	2151
139.7915693	35.7043856	000000	蔵前三丁目	0	0	1	KM_Office	2223
139.7927535	35.7030395	000000	蔵前二丁目	0	0	1	KM_Office	3311
139.7908813	35.7001394	000000	蔵前一丁目	0	0	1	KM_Office	1336
139.7867239	35.7054899	000000	三筋二丁目	0	0	1	KM_Office	1116
139.7835119	35.7059353	000000	小島二丁目	0	0	1	KM_Office	1863
139.7860989	35.7036854	000000	三筋一丁目	0	0	1	KM_Office	1114
139.7865991	35.7024319	000000	鳥越二丁目	0	0	1	KM_Office	866
139.7832893	35.7042816	000000	小島一丁目	0	0	1	KM_Office	474
139.7795315	35.7065865	000000	台東四丁目	0	0	1	KM_Office	6407
139.7791560	35.7048147	000000	台東三丁目	0	0	1	KM_Office	2917
139.7787644	35.7032552	000000	台東二丁目	0	0	1	KM_Office	5853
139.7787228	35.7013831	000000	台東一丁目	0	0	1	KM_Office	9682
139.7826496	35.7005031	000000	浅草橋五丁目	0	0	1	KM_Office	6874
139.7818516	35.6985014	000000	浅草橋四丁目	0	0	1	KM_Office	1907
139.7866072	35.7008592	000000	浅草橋三丁目	0	0	1	KM_Office	2684
139.7859178	35.6996035	000000	浅草橋二丁目	0	0	1	KM_Office	1757
139.7849717	35.6974694	000000	浅草橋一丁目	0	0	1	KM_Office	4921
139.7896756	35.6986832	000000	柳橋二丁目	0	0	1	KM_Office	3261
139.7883157	35.6964887	000000	柳橋一丁目	0	0	1	KM_Office	3925
139.8076209	35.7270244	000000	橋場二丁目	0	0	1	KM_Office	411
139.8029673	35.7276558	000000	清川二丁目	0	0	1	KM_Office	934
139.8073742	35.7242437	000000	橋場一丁目	0	0	1	KM_Office	988
139.8030961	35.7246705	000000	清川一丁目	0	0	1	KM_Office	930
139.7974044	35.7277821	000000	日本堤二丁目	0	0	1	KM_Office	816
139.7988890	35.7258246	000000	日本堤一丁目	0	0	1	KM_Office	768
139.7998720	35.7246292	000000	東浅草二丁目	0	0	1	KM_Office	516
139.8013057	35.7211353	000000	東浅草一丁目	0	0	1	KM_Office	532
139.8055771	35.7212213	000000	今戸二丁目	0	0	1	KM_Office	1466
139.8055315	35.7185123	000000	今戸一丁目	0	0	1	KM_Office	883
139.7936855	35.7295142	000000	三ノ輪二丁目	0	0	1	KM_Office	318
139.7931826	35.7280118	000000	三ノ輪一丁目	0	0	1	KM_Office	829
139.7931249	35.7253946	000000	竜泉三丁目	0	0	1	KM_Office	1120
139.7901611	35.7265573	000000	竜泉二丁目	0	0	1	KM_Office	883
139.7893551	35.7234577	000000	竜泉一丁目	0	0	1	KM_Office	659
139.7958595	35.7240641	000000	千束四丁目	0	0	1	KM_Office	1600
139.7925241	35.7218463	000000	千束三丁目	0	0	1	KM_Office	1421
139.7904253	35.7209676	000000	千束二丁目	0	0	1	KM_Office	535
139.7915719	35.7185880	000000	千束一丁目	0	0	1	KM_Office	578
139.7887154	35.7203688	000000	入谷二丁目	0	0	1	KM_Office	829
139.7862263	35.7205441	000000	入谷一丁目	0	0	1	KM_Office	1652
139.7880287	35.7179352	000000	松が谷四丁目	0	0	1	KM_Office	735
139.7878048	35.7160080	000000	松が谷三丁目	0	0	1	KM_Office	735
139.7871262	35.7138443	000000	松が谷二丁目	0	0	1	KM_Office	836
139.7869652	35.7115511	000000	松が谷一丁目	0	0	1	KM_Office	2175
139.7880489	35.7256515	000000	下谷三丁目	0	0	1	KM_Office	1269
139.7841677	35.7220586	000000	下谷二丁目	0	0	1	KM_Office	858
139.7820783	35.7188586	000000	下谷一丁目	0	0	1	KM_Office	1546
139.7879308	35.7276079	000000	根岸五丁目	0	0	1	KM_Office	1766
139.7845432	35.7255807	000000	根岸四丁目	0	0	1	KM_Office	528
139.7816223	35.7227042	000000	根岸三丁目	0	0	1	KM_Office	1146
139.7762284	35.7248578	000000	根岸二丁目	0	0	1	KM_Office	1211
139.7794859	35.7215664	000000	根岸一丁目	0	0	1	KM_Office	1768
139.7741456	35.7229917	000000	上野桜木二丁目	0	0	1	KM_Office	304
139.7753191	35.7213541	000000	上野桜木一丁目	0	0	1	KM_Office	714
139.7714782	35.7251953	000000	谷中七丁目	0	0	1	KM_Office	336
139.7698393	35.7222165	000000	谷中六丁目	0	0	1	KM_Office	208
139.7676802	35.7255960	000000	谷中五丁目	0	0	1	KM_Office	305
139.7673958	35.7225932	000000	谷中四丁目	0	0	1	KM_Office	97
139.7658348	35.7268350	000000	谷中三丁目	0	0	1	KM_Office	888
139.7648451	35.7222535	000000	谷中二丁目	0	0	1	KM_Office	381
139.7675870	35.7201227	000000	谷中一丁目	0	0	1	KM_Office	267
139.7686659	35.7184448	000000	池之端四丁目	0	0	1	KM_Office	388
139.7694652	35.7159013	000000	池之端三丁目	0	0	1	KM_Office	196
139.7671531	35.7149190	000000	池之端二丁目	0	0	1	KM_Office	1803
139.7681750	35.7098251	000000	池之端一丁目	0	0	1	KM_Office	2978
139.7738278	35.7152915	000000	上野公園	0	0	1	KM_Office	3885
139.8009959	35.7143409	000000	花川戸二丁目	0	0	1	KM_Office	707
139.7997218	35.7121554	000000	花川戸一丁目	0	0	1	KM_Office	1773
139.8033321	35.7165753	000000	浅草七丁目	0	0	1	KM_Office	493
139.8009570	35.7179178	000000	浅草六丁目	0	0	1	KM_Office	1702
139.7976485	35.7210602	000000	浅草五丁目	0	0	1	KM_Office	1647
139.7965783	35.7188390	000000	浅草四丁目	0	0	1	KM_Office	1394
139.7961143	35.7173102	000000	浅草三丁目	0	0	1	KM_Office	1093
139.7957367	35.7149550	000000	浅草二丁目	0	0	1	KM_Office	3073
139.7952171	35.7123144	000000	浅草一丁目	0	0	1	KM_Office	5116
139.7913305	35.7159557	000000	西浅草三丁目	0	0	1	KM_Office	2251
139.7904320	35.7129286	000000	西浅草二丁目	0	0	1	KM_Office	1079
139.7905185	35.7109331	000000	西浅草一丁目	0	0	1	KM_Office	1103
139.7968680	35.7097641	000000	雷門二丁目	0	0	1	KM_Office	2907
139.7933449	35.7102857	000000	雷門一丁目	0	0	1	KM_Office	1357
139.7954920	35.7066562	000000	駒形二丁目	0	0	1	KM_Office	1884
139.7947946	35.7071266	000000	駒形一丁目	0	0	1	KM_Office	3378
139.7932068	35.7086392	000000	寿四丁目	0	0	1	KM_Office	1064
139.7924383	35.7069480	000000	寿三丁目	0	0	1	KM_Office	1582
139.7899827	35.7091881	000000	寿二丁目	0	0	1	KM_Office	1672
139.7896682	35.7073836	000000	寿一丁目	0	0	1	KM_Office	1441
139.7871490	35.7098218	000000	元浅草四丁目	0	0	1	KM_Office	1072
139.7867239	35.7076722	000000	元浅草三丁目	0	0	1	KM_Office	1646
139.7842944	35.7101317	000000	元浅草二丁目	0	0	1	KM_Office	1557
139.7837010	35.7080686	000000	元浅草一丁目	0	0	1	KM_Office	1723
139.7847685	35.7176369	000000	北上野二丁目	0	0	1	KM_Office	2235
139.7825639	35.7175329	000000	北上野一丁目	0	0	1	KM_Office	1917
139.7795456	35.7079929	000000	東上野一丁目	0	0	1	KM_Office	7675
139.7791842	35.7097924	000000	東上野二丁目	0	0	1	KM_Office	8803
139.7805400	35.7107997	000000	東上野三丁目	0	0	1	KM_Office	7966
139.7823733	35.7134676	000000	東上野五丁目	0	0	1	KM_Office	3823
139.7845660	35.7132857	000000	東上野六丁目	0	0	1	KM_Office	3027
139.7809356	35.7139304	000000	東上野四丁目	0	0	1	KM_Office	6089
139.7831011	35.7024647	000000	鳥越一丁目	0	0	1	KM_Office	601
