lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6975860	35.7409000	000000	高松三丁目	0	0	1	KM_Office	200 
139.6986589	35.7381819	000000	高松二丁目	0	0	1	KM_Office	358 
139.7006839	35.7359057	000000	高松一丁目	0	0	1	KM_Office	1082 
139.6924576	35.7414987	000000	千川二丁目	0	0	1	KM_Office	197 
139.6930504	35.7385618	000000	千川一丁目	0	0	1	KM_Office	80 
139.6891934	35.7386707	000000	要町三丁目	0	0	1	KM_Office	2034 
139.6939208	35.7350674	000000	要町二丁目	0	0	1	KM_Office	691 
139.6964917	35.7348247	000000	要町一丁目	0	0	1	KM_Office	1749 
139.6841441	35.7379130	000000	千早四丁目	0	0	1	KM_Office	447 
139.6869671	35.7346396	000000	千早三丁目	0	0	1	KM_Office	364 
139.6910132	35.7335847	000000	千早二丁目	0	0	1	KM_Office	724 
139.6960900	35.7313579	000000	千早一丁目	0	0	1	KM_Office	911 
139.7163883	35.7431032	000000	池袋本町四丁目	0	0	1	KM_Office	851 
139.7129001	35.7436463	000000	池袋本町三丁目	0	0	1	KM_Office	589 
139.7105920	35.7416576	000000	池袋本町二丁目	0	0	1	KM_Office	803 
139.7143974	35.7393151	000000	池袋本町一丁目	0	0	1	KM_Office	1189 
139.7209467	35.7409903	000000	上池袋四丁目	0	0	1	KM_Office	720 
139.7201796	35.7390179	000000	上池袋三丁目	0	0	1	KM_Office	524 
139.7176348	35.7363563	000000	上池袋二丁目	0	0	1	KM_Office	935 
139.7224313	35.7360145	000000	上池袋一丁目	0	0	1	KM_Office	824 
139.7093468	35.7384050	000000	池袋四丁目	0	0	1	KM_Office	1384 
139.7052678	35.7355312	000000	池袋三丁目	0	0	1	KM_Office	1634 
139.7088419	35.7340006	000000	池袋二丁目	0	0	1	KM_Office	14879 
139.7129470	35.7353418	000000	池袋一丁目	0	0	1	KM_Office	2565 
139.6803863	35.7304592	000000	南長崎六丁目	0	0	1	KM_Office	680 
139.6825777	35.7279150	000000	南長崎五丁目	0	0	1	KM_Office	1317 
139.6849501	35.7256711	000000	南長崎四丁目	0	0	1	KM_Office	1000 
139.6878161	35.7251420	000000	南長崎三丁目	0	0	1	KM_Office	801 
139.6908510	35.7248208	000000	南長崎二丁目	0	0	1	KM_Office	392 
139.6936405	35.7246150	000000	南長崎一丁目	0	0	1	KM_Office	660 
139.6815397	35.7352144	000000	長崎六丁目	0	0	1	KM_Office	294 
139.6827748	35.7328140	000000	長崎五丁目	0	0	1	KM_Office	1283 
139.6855590	35.7304048	000000	長崎四丁目	0	0	1	KM_Office	781 
139.6887977	35.7297004	000000	長崎三丁目	0	0	1	KM_Office	360 
139.6920338	35.7290124	000000	長崎二丁目	0	0	1	KM_Office	677 
139.6952243	35.7282742	000000	長崎一丁目	0	0	1	KM_Office	1045 
139.7031757	35.7316774	000000	西池袋五丁目	0	0	1	KM_Office	5986 
139.6994837	35.7281762	000000	西池袋四丁目	0	0	1	KM_Office	1199 
139.7044431	35.7291561	000000	西池袋三丁目	0	0	1	KM_Office	8184 
139.7062321	35.7263755	000000	西池袋二丁目	0	0	1	KM_Office	2281 
139.7093850	35.7301653	000000	西池袋一丁目	0	0	1	KM_Office	24248 
139.6961188	35.7239585	000000	目白五丁目	0	0	1	KM_Office	592 
139.7005177	35.7242437	000000	目白四丁目	0	0	1	KM_Office	380 
139.7060403	35.7230984	000000	目白三丁目	0	0	1	KM_Office	2103 
139.7098652	35.7217091	000000	目白二丁目	0	0	1	KM_Office	2401 
139.7102433	35.7186887	000000	目白一丁目	0	0	1	KM_Office	3336 
139.7085871	35.7153067	000000	高田三丁目	0	0	1	KM_Office	9518 
139.7140038	35.7160319	000000	高田二丁目	0	0	1	KM_Office	1512 
139.7164339	35.7151706	000000	高田一丁目	0	0	1	KM_Office	741 
139.7145127	35.7208963	000000	雑司が谷三丁目	0	0	1	KM_Office	626 
139.7162890	35.7191090	000000	雑司が谷二丁目	0	0	1	KM_Office	535 
139.7212860	35.7203622	000000	雑司が谷一丁目	0	0	1	KM_Office	382 
139.7205484	35.7228109	000000	南池袋四丁目	0	0	1	KM_Office	524 
139.7151974	35.7242481	000000	南池袋三丁目	0	0	1	KM_Office	3242 
139.7157472	35.7265922	000000	南池袋二丁目	0	0	1	KM_Office	17334 
139.7118299	35.7272367	000000	南池袋一丁目	0	0	1	KM_Office	17306 
139.7235605	35.7260358	000000	東池袋五丁目	0	0	1	KM_Office	5042 
139.7227934	35.7276646	000000	東池袋四丁目	0	0	1	KM_Office	6625 
139.7195587	35.7305365	000000	東池袋三丁目	0	0	1	KM_Office	30891 
139.7231974	35.7318405	000000	東池袋二丁目	0	0	1	KM_Office	6057 
139.7160181	35.7313824	000000	東池袋一丁目	0	0	1	KM_Office	32387 
139.7274953	35.7290603	000000	南大塚三丁目	0	0	1	KM_Office	8690 
139.7314261	35.7278932	000000	南大塚二丁目	0	0	1	KM_Office	6754 
139.7351242	35.7284141	000000	南大塚一丁目	0	0	1	KM_Office	1434 
139.7245100	35.7339969	000000	北大塚三丁目	0	0	1	KM_Office	1263 
139.7283429	35.7335129	000000	北大塚二丁目	0	0	1	KM_Office	3648 
139.7321865	35.7329708	000000	北大塚一丁目	0	0	1	KM_Office	5399 
139.7306469	35.7431706	000000	西巣鴨四丁目	0	0	1	KM_Office	653 
