lat	lon	text
35.6932147	139.7656475	神田美土代町
35.6934640	139.7675230	神田司町二丁目
35.6938560	139.7691890	神田多町二丁目
35.6909796	139.7744060	神田美倉町
35.6913340	139.7742440	神田西福田町
35.6924550	139.7738970	神田北乗物町
35.6920036	139.7741043	神田紺屋町
35.6936145	139.7734213	神田富山町
35.6944834	139.7736525	神田東松下町
35.6957381	139.7749901	神田岩本町
35.6929901	139.7746461	神田東紺屋町
35.6854030	139.7527380	千代田
35.6799440	139.7584660	皇居外苑
35.6970480	139.7777980	神田佐久間河岸
35.6980360	139.7756530	神田平河町
35.6997040	139.7779070	神田和泉町
35.7003100	139.7752930	神田松永町
35.6738890	139.7561910	日比谷公園
35.6813120	139.7434010	隼町
35.6814110	139.7349500	紀尾井町
35.6718250	139.7469880	霞が関三丁目
35.6750500	139.7412280	永田町二丁目
35.6758950	139.7463060	永田町一丁目
35.6755510	139.7504130	霞が関二丁目
35.6739440	139.7525580	霞が関一丁目
35.6708120	139.7541820	内幸町二丁目
35.6708390	139.7581190	内幸町一丁目
35.6738880	139.7628100	有楽町二丁目
35.6744830	139.7605500	有楽町一丁目
35.6769520	139.7634760	丸の内三丁目
35.6800220	139.7634470	丸の内二丁目
35.6815600	139.7672010	丸の内一丁目
35.6863010	139.7680870	大手町二丁目
35.6880690	139.7639290	大手町一丁目
35.6838864	139.7458738	半蔵門
35.6803760	139.7400970	平河町二丁目
35.6825770	139.7399830	平河町一丁目
35.6849110	139.7319360	麹町六丁目
35.6836770	139.7341900	麹町五丁目
35.6836390	139.7366930	麹町四丁目
35.6845120	139.7384340	麹町三丁目
35.6844870	139.7405050	麹町二丁目
35.6844470	139.7429190	麹町一丁目
35.6874930	139.7333990	六番町
35.6896850	139.7339890	五番町
35.6890560	139.7378470	四番町
35.6905570	139.7435910	三番町
35.6861850	139.7361260	二番町
35.6873500	139.7415090	一番町
35.6931550	139.7390470	九段北四丁目
35.6941710	139.7426810	九段北三丁目
35.6952580	139.7463560	九段北二丁目
35.6966560	139.7506570	九段北一丁目
35.6912490	139.7386770	九段南四丁目
35.6924310	139.7422930	九段南三丁目
35.6931430	139.7456940	九段南二丁目
35.6939720	139.7532650	九段南一丁目
35.6923240	139.7607220	神田錦町三丁目
35.6919850	139.7630460	神田錦町二丁目
35.6917440	139.7641550	神田錦町一丁目
35.6931710	139.7573460	一ツ橋二丁目
35.6911890	139.7571190	一ツ橋一丁目
35.6915550	139.7516390	北の丸公園
35.6985940	139.7658490	神田駿河台四丁目
35.6967320	139.7647210	神田駿河台三丁目
35.7000680	139.7620110	神田駿河台二丁目
35.6980030	139.7624350	神田駿河台一丁目
35.6975190	139.7678380	神田淡路町二丁目
35.6957590	139.7670310	神田淡路町一丁目
35.6954020	139.7624060	神田小川町三丁目
35.6946960	139.7644520	神田小川町二丁目
35.6947240	139.7664120	神田小川町一丁目
35.6962230	139.7698410	神田須田町一丁目
35.6958150	139.7730590	神田須田町二丁目
35.6936130	139.7709760	神田鍛冶町三丁目
35.6925830	139.7720230	鍛冶町二丁目
35.6901980	139.7715400	鍛冶町一丁目
35.6910050	139.7696580	内神田三丁目
35.6906010	139.7680270	内神田二丁目
35.6905800	139.7656040	内神田一丁目
35.6956360	139.7769310	岩本町三丁目
35.6935260	139.7769330	岩本町二丁目
35.6923460	139.7776350	岩本町一丁目
35.6973640	139.7813650	東神田三丁目
35.6961890	139.7801460	東神田二丁目
35.6943280	139.7804970	東神田一丁目
35.7040660	139.7709710	外神田六丁目
35.7040210	139.7723660	外神田五丁目
35.7014300	139.7723700	外神田四丁目
35.7012750	139.7704960	外神田三丁目
35.7006750	139.7685520	外神田二丁目
35.6984060	139.7708850	外神田一丁目
35.6988020	139.7739710	神田花岡町
35.6995240	139.7736020	神田相生町
35.7007100	139.7740370	神田練塀町
35.6976580	139.7798370	神田佐久間町四丁目
35.6979830	139.7779360	神田佐久間町三丁目
35.6980090	139.7763680	神田佐久間町二丁目
35.6979790	139.7742220	神田佐久間町一丁目
35.6981260	139.7430570	富士見二丁目
35.6978710	139.7469780	富士見一丁目
35.7008870	139.7467080	飯田橋四丁目
35.7013920	139.7486280	飯田橋三丁目
35.6992060	139.7505640	飯田橋二丁目
35.6984700	139.7494140	飯田橋一丁目
35.7005420	139.7522630	神田三崎町三丁目
35.7007600	139.7543530	神田三崎町二丁目
35.7006000	139.7564310	神田三崎町一丁目
35.6980210	139.7533190	西神田三丁目
35.6988020	139.7552670	西神田二丁目
35.6994100	139.7571500	西神田一丁目
35.6999845	139.7584850	神田猿楽町二丁目
35.6981650	139.7599554	神田猿楽町一丁目
35.6953650	139.7542750	神田神保町三丁目
35.6966370	139.7564540	神田神保町二丁目
35.6964910	139.7590730	神田神保町一丁目
