text	population
丸の内一丁目	103028
丸の内二丁目	65717
丸の内三丁目	29630
大手町一丁目	90884
大手町二丁目	36810
内幸町一丁目	17934
内幸町二丁目	14590
有楽町一丁目	33499
有楽町二丁目	6632
霞が関一丁目	27780
霞が関二丁目	24582
霞が関三丁目	42582
永田町一丁目	8911
永田町二丁目	25998
隼町	2758
平河町一丁目	4295
平河町二丁目	13098
麹町一丁目	8031
麹町二丁目	5368
麹町三丁目	5501
麹町四丁目	5764
麹町五丁目	8718
麹町六丁目	3057
紀尾井町	26275
一番町	9197
二番町	18763
三番町	9656
四番町	5143
五番町	6491
六番町	4723
皇居外苑	100
日比谷公園	686
千代田	1485
北の丸公園	902
九段南一丁目	8771
九段南二丁目	6476
九段南三丁目	3850
九段南四丁目	6339
九段北一丁目	12868
九段北二丁目	433
九段北三丁目	1477
九段北四丁目	10020
富士見一丁目	3701
富士見二丁目	17127
飯田橋一丁目	4167
飯田橋二丁目	8376
飯田橋三丁目	14965
飯田橋四丁目	4773
一ツ橋一丁目	7660
一ツ橋二丁目	7656
神田神保町一丁目	13658
神田神保町二丁目	10001
神田神保町三丁目	6453
神田三崎町一丁目	2793
神田三崎町二丁目	9241
神田三崎町三丁目	5486
西神田一丁目	1770
西神田二丁目	1512
西神田三丁目	4383
神田猿楽町一丁目	2401
神田猿楽町二丁目	6964
神田駿河台一丁目	5721
神田駿河台二丁目	14447
神田駿河台三丁目	11384
神田駿河台四丁目	11111
神田錦町一丁目	8425
神田錦町二丁目	4743
神田錦町三丁目	16555
神田小川町一丁目	4199
神田小川町二丁目	4932
神田小川町三丁目	6725
神田美土代町	6072
内神田一丁目	8955
内神田二丁目	10668
内神田三丁目	5945
神田司町二丁目	7681
神田多町二丁目	3056
神田淡路町一丁目	2652
神田淡路町二丁目	9350
神田須田町一丁目	13551
神田須田町二丁目	9293
外神田一丁目	22009
外神田二丁目	13180
外神田三丁目	8429
外神田四丁目	17225
外神田五丁目	2272
外神田六丁目	4983
鍛冶町一丁目	6584
鍛冶町二丁目	7003
神田鍛冶町三丁目	3331
神田紺屋町	2500
神田北乗物町	930
神田富山町	1248
神田美倉町	1157
岩本町一丁目	5358
岩本町二丁目	9827
岩本町三丁目	10550
神田西福田町	531
神田東松下町	3177
神田東紺屋町	341
神田岩本町	2242
東神田一丁目	2770
東神田二丁目	5803
東神田三丁目	1004
神田和泉町	9561
神田佐久間町一丁目	3549
神田佐久間町二丁目	3949
神田佐久間町三丁目	3249
神田佐久間町四丁目	786
神田平河町	493
神田松永町	3127
神田花岡町	1104
神田佐久間河岸	1675
神田練塀町	20875
神田相生町	917
