name,population
八重洲一丁目,13707
八重洲二丁目,10522
京橋一丁目,13363
京橋二丁目,25745
京橋三丁目,13831
銀座一丁目,24489
銀座二丁目,14148
銀座三丁目,14372
銀座四丁目,18638
銀座五丁目,13326
銀座６丁目,15492
銀座７丁目,15834
銀座８丁目,40402
新富一丁目,5386
新富二丁目,3635
入船一丁目,1355
入船二丁目,2070
入船三丁目,3445
湊一丁目,1422
湊二丁目,793
湊三丁目,1560
明石町,15002
築地一丁目,9887
築地二丁目,7850
築地三丁目,4038
築地四丁目,5533
築地五丁目,20935
築地６丁目,4803
築地７丁目,4204
浜離宮庭園,26
八丁堀一丁目,3797
八丁堀二丁目,16006
八丁堀三丁目,6572
八丁堀四丁目,9563
新川一丁目,22371
新川二丁目,11318
日本橋本石町一丁目,1553
日本橋本石町二丁目,2704
日本橋本石町三丁目,2108
日本橋本石町四丁目,2432
日本橋室町一丁目,8793
日本橋室町二丁目,12059
日本橋室町三丁目,4298
日本橋室町四丁目,8591
日本橋本町一丁目,8185
日本橋本町二丁目,8804
日本橋本町三丁目,8348
日本橋本町四丁目,9385
日本橋小舟町,6410
日本橋小伝馬町,10037
日本橋大伝馬町,7528
日本橋堀留町一丁目,8264
日本橋堀留町二丁目,3863
日本橋富沢町,5717
日本橋人形町一丁目,5965
日本橋人形町二丁目,6064
日本橋人形町三丁目,6247
日本橋小網町,11846
日本橋蛎殻町一丁目,8353
日本橋蛎殻町二丁目,3994
日本橋箱崎町,25337
日本橋馬喰町一丁目,3760
日本橋馬喰町二丁目,3235
日本橋横山町,2523
東日本橋一丁目,3596
東日本橋二丁目,5657
東日本橋三丁目,4802
日本橋久松町,2523
日本橋浜町一丁目,2819
日本橋浜町二丁目,10805
日本橋浜町三丁目,7272
日本橋中洲,446
日本橋一丁目,17123
日本橋二丁目,28611
日本橋三丁目,20324
日本橋茅場町一丁目,12620
日本橋茅場町二丁目,6434
日本橋茅場町三丁目,2914
日本橋兜町,8909
佃一丁目,641
佃二丁目,3232
佃三丁目,270
月島一丁目,2832
月島二丁目,1123
月島三丁目,2391
月島四丁目,1730
勝どき一丁目,3254
勝どき二丁目,1520
勝どき三丁目,5530
勝どき四丁目,364
勝どき五丁目,676
勝どき６丁目,2214
豊海町,1905
晴海一丁目,20566
晴海二丁目,3257
晴海三丁目,2986
晴海四丁目,1285
晴海五丁目,267
