lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5019331	35.5503730	000000	桂台２丁目	0	0	1	KM_Office	760 
139.5053317	35.5496685	000000	桂台１丁目	0	0	1	KM_Office	364 
139.4885190	35.5428902	000000	あかね台１丁目	0	0	1	KM_Office	240 
139.4845695	35.5419196	000000	あかね台２丁目	0	0	1	KM_Office	157 
139.5054966	35.5388164	000000	田奈町	0	0	1	KM_Office	1227 
139.4961145	35.5445546	000000	恩田町	0	0	1	KM_Office	944 
139.5068555	35.5454518	000000	松風台	0	0	1	KM_Office	445 
139.5085825	35.5407278	000000	榎が丘	0	0	1	KM_Office	1113 
139.5062986	35.5537833	000000	若草台	0	0	1	KM_Office	341 
139.4931627	35.5535380	000000	すみよし台	0	0	1	KM_Office	227 
139.4851654	35.5555679	000000	奈良１丁目	0	0	1	KM_Office	762 
139.5041393	35.5621984	000000	鴨志田町	0	0	1	KM_Office	3443 
139.5058715	35.5690765	000000	寺家町	0	0	1	KM_Office	484 
139.4818497	35.5689321	000000	緑山	0	0	1	KM_Office	423 
139.5239255	35.5648638	000000	鉄町	0	0	1	KM_Office	3250 
139.4824938	35.5591476	000000	奈良５丁目	0	0	1	KM_Office	282 
139.4845366	35.5503694	000000	奈良３丁目	0	0	1	KM_Office	143 
139.4878671	35.5512871	000000	奈良２丁目	0	0	1	KM_Office	170 
139.5138439	35.5363353	000000	しらとり台	0	0	1	KM_Office	1453 
139.5201775	35.5393170	000000	つつじが丘	0	0	1	KM_Office	752 
139.5137407	35.5454672	000000	青葉台２丁目	0	0	1	KM_Office	4918 
139.5181655	35.5455735	000000	青葉台１丁目	0	0	1	KM_Office	3025 
139.5149653	35.5569835	000000	たちばな台１丁目	0	0	1	KM_Office	225 
139.5120159	35.5564023	000000	たちばな台２丁目	0	0	1	KM_Office	620 
139.5146401	35.5511352	000000	桜台	0	0	1	KM_Office	1004 
139.5213729	35.5541893	000000	みたけ台	0	0	1	KM_Office	798 
139.5229075	35.5479133	000000	もえぎ野	0	0	1	KM_Office	813 
139.5285428	35.5498185	000000	柿の木台	0	0	1	KM_Office	570 
139.5247937	35.5362661	000000	梅が丘	0	0	1	KM_Office	615 
139.5302163	35.5466671	000000	藤が丘１丁目	0	0	1	KM_Office	3685 
139.5263202	35.5413985	000000	藤が丘２丁目	0	0	1	KM_Office	1824 
139.5204249	35.5318374	000000	さつきが丘	0	0	1	KM_Office	950 
139.4845316	35.5620069	000000	奈良町	0	0	1	KM_Office	1652 
139.5477585	35.5596544	000000	荏田北３丁目	0	0	1	KM_Office	556 
139.5427729	35.5574685	000000	荏田北２丁目	0	0	1	KM_Office	119 
139.5476277	35.5571210	000000	荏田北１丁目	0	0	1	KM_Office	444 
139.5475345	35.5533017	000000	荏田西１丁目	0	0	1	KM_Office	2349 
139.5496474	35.5444733	000000	荏田西５丁目	0	0	1	KM_Office	272 
139.5503689	35.5478636	000000	荏田西４丁目	0	0	1	KM_Office	181 
139.5508584	35.5502630	000000	荏田西３丁目	0	0	1	KM_Office	109 
139.5527548	35.5546607	000000	荏田西２丁目	0	0	1	KM_Office	1079 
139.5582922	35.5601606	000000	荏田町	0	0	1	KM_Office	2926 
139.4830030	35.5544811	000000	奈良４丁目	0	0	1	KM_Office	380 
139.5248945	35.5729408	000000	もみの木台	0	0	1	KM_Office	114 
139.5292810	35.5804150	000000	すすき野３丁目	0	0	1	KM_Office	433 
139.5259900	35.5757450	000000	すすき野２丁目	0	0	1	KM_Office	566 
139.5308170	35.5745989	000000	すすき野１丁目	0	0	1	KM_Office	212 
139.5319120	35.5679300	000000	黒須田	0	0	1	KM_Office	311 
139.5355732	35.5653118	000000	大場町	0	0	1	KM_Office	1162 
139.5430690	35.5482460	000000	市ケ尾町	0	0	1	KM_Office	6585 
139.5267460	35.5566380	000000	上谷本町	0	0	1	KM_Office	400 
139.5442858	35.5734624	000000	あざみ野４丁目	0	0	1	KM_Office	297 
139.5410280	35.5674250	000000	あざみ野３丁目	0	0	1	KM_Office	231 
139.5489440	35.5671586	000000	あざみ野２丁目	0	0	1	KM_Office	2363 
139.5489210	35.5711580	000000	あざみ野１丁目	0	0	1	KM_Office	2247 
139.5346610	35.5755260	000000	荏子田３丁目	0	0	1	KM_Office	368 
139.5358065	35.5803605	000000	荏子田２丁目	0	0	1	KM_Office	250 
139.5426150	35.5791990	000000	荏子田１丁目	0	0	1	KM_Office	51 
139.5402850	35.5617030	000000	みすずが丘	0	0	1	KM_Office	154 
139.5654938	35.5725070	000000	新石川４丁目	0	0	1	KM_Office	270 
139.5620250	35.5727740	000000	新石川３丁目	0	0	1	KM_Office	1182 
139.5575840	35.5726811	000000	新石川２丁目	0	0	1	KM_Office	1460 
139.5578549	35.5679743	000000	新石川１丁目	0	0	1	KM_Office	909 
139.5376212	35.5436082	000000	下谷本町	0	0	1	KM_Office	168 
139.5332973	35.5387682	000000	千草台	0	0	1	KM_Office	495 
139.5104090	35.5642540	000000	成合町	0	0	1	KM_Office	18 
139.5439780	35.5625090	000000	あざみ野南４丁目	0	0	1	KM_Office	53 
139.5479479	35.5624046	000000	あざみ野南３丁目	0	0	1	KM_Office	131 
139.5512050	35.5630530	000000	あざみ野南２丁目	0	0	1	KM_Office	1063 
139.5548633	35.5624107	000000	あざみ野南１丁目	0	0	1	KM_Office	681 
139.5323515	35.5851434	000000	美しが丘西３丁目	0	0	1	KM_Office	608 
139.5329254	35.5896482	000000	美しが丘西２丁目	0	0	1	KM_Office	521 
139.5412470	35.5894500	000000	美しが丘西１丁目	0	0	1	KM_Office	234 
139.5524810	35.5747985	000000	美しが丘５丁目	0	0	1	KM_Office	1345 
139.5488200	35.5819100	000000	美しが丘４丁目	0	0	1	KM_Office	922 
139.5488730	35.5864700	000000	美しが丘３丁目	0	0	1	KM_Office	183 
139.5586875	35.5830657	000000	美しが丘２丁目	0	0	1	KM_Office	2671 
139.5553790	35.5799730	000000	美しが丘１丁目	0	0	1	KM_Office	5000 
139.5461870	35.5800790	000000	元石川町	0	0	1	KM_Office	1233 
