lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6163840	35.4222330	000000	滝頭１丁目	0	0	1	KM_Office	827 
139.6275120	35.4219850	000000	馬場町	0	0	1	KM_Office	189 
139.6260650	35.4251200	000000	上町	0	0	1	KM_Office	155 
139.6121460	35.4118410	000000	岡村７丁目	0	0	1	KM_Office	312 
139.6087240	35.4096190	000000	岡村８丁目	0	0	1	KM_Office	222 
139.6135040	35.3981340	000000	森２丁目	0	0	1	KM_Office	464 
139.6063390	35.3954130	000000	森４丁目	0	0	1	KM_Office	152 
139.6101340	35.4043230	000000	汐見台１丁目	0	0	1	KM_Office	924 
139.6057210	35.4007130	000000	汐見台３丁目	0	0	1	KM_Office	123 
139.6074740	35.4142560	000000	岡村５丁目	0	0	1	KM_Office	322 
139.6106070	35.4150370	000000	岡村６丁目	0	0	1	KM_Office	314 
139.6141180	35.4160730	000000	岡村２丁目	0	0	1	KM_Office	168 
139.6145030	35.4096600	000000	磯子６丁目	0	0	1	KM_Office	259 
139.6150820	35.4078600	000000	磯子５丁目	0	0	1	KM_Office	77 
139.6148040	35.4035790	000000	磯子台	0	0	1	KM_Office	114 
139.6173210	35.4157100	000000	岡村１丁目	0	0	1	KM_Office	282 
139.6179260	35.4118900	000000	磯子７丁目	0	0	1	KM_Office	50 
139.6174370	35.4068360	000000	磯子４丁目	0	0	1	KM_Office	42 
139.6198540	35.4157260	000000	磯子８丁目	0	0	1	KM_Office	26 
139.6099630	35.4007970	000000	汐見台２丁目	0	0	1	KM_Office	220 
139.5966380	35.3814010	000000	洋光台３丁目	0	0	1	KM_Office	1500 
139.5919770	35.3836840	000000	洋光台２丁目	0	0	1	KM_Office	264 
139.5984050	35.3856420	000000	洋光台１丁目	0	0	1	KM_Office	364 
139.6023960	35.3999900	000000	森が丘１丁目	0	0	1	KM_Office	86 
139.6005020	35.3986730	000000	森が丘２丁目	0	0	1	KM_Office	56 
139.6161670	35.3982600	000000	森１丁目	0	0	1	KM_Office	1789 
139.6135240	35.3933700	000000	森３丁目	0	0	1	KM_Office	1326 
139.5936050	35.3752340	000000	洋光台５丁目	0	0	1	KM_Office	696 
139.5997920	35.3718930	000000	洋光台６丁目	0	0	1	KM_Office	877 
139.6014920	35.3826500	000000	田中２丁目	0	0	1	KM_Office	216 
139.6054970	35.3852020	000000	田中１丁目	0	0	1	KM_Office	83 
139.6163540	35.3874160	000000	中原２丁目	0	0	1	KM_Office	628 
139.6174800	35.3845380	000000	杉田１丁目	0	0	1	KM_Office	2159 
139.6074350	35.3757180	000000	栗木３丁目	0	0	1	KM_Office	210 
139.5999960	35.3773950	000000	洋光台４丁目	0	0	1	KM_Office	910 
139.6066600	35.3919360	000000	森５丁目	0	0	1	KM_Office	512 
139.6123160	35.3884570	000000	中原３丁目	0	0	1	KM_Office	182 
139.6094860	35.3897020	000000	森６丁目	0	0	1	KM_Office	133 
139.6126540	35.3854010	000000	中原４丁目	0	0	1	KM_Office	173 
139.6148680	35.3903390	000000	中原１丁目	0	0	1	KM_Office	1102 
139.6143000	35.3798850	000000	杉田３丁目	0	0	1	KM_Office	353 
139.6097280	35.3810500	000000	杉田２丁目	0	0	1	KM_Office	224 
139.6065820	35.3819900	000000	栗木１丁目	0	0	1	KM_Office	178 
139.5991370	35.3657230	000000	峰町	0	0	1	KM_Office	409 
139.6046960	35.3802390	000000	栗木２丁目	0	0	1	KM_Office	176 
139.6032850	35.3605850	000000	氷取沢町	0	0	1	KM_Office	912 
139.6082740	35.3707800	000000	上中里町	0	0	1	KM_Office	759 
139.6182230	35.3761580	000000	杉田６丁目	0	0	1	KM_Office	143 
139.6174260	35.3737930	000000	杉田７丁目	0	0	1	KM_Office	89 
139.6152410	35.3724930	000000	杉田８丁目	0	0	1	KM_Office	68 
139.6161850	35.3684550	000000	杉田９丁目	0	0	1	KM_Office	62 
139.6134850	35.3768590	000000	杉田坪呑	0	0	1	KM_Office	44 
139.6295470	35.4185540	000000	下町	0	0	1	KM_Office	104 
139.6323380	35.4166390	000000	西町	0	0	1	KM_Office	1154 
139.6294220	35.4136270	000000	原町	0	0	1	KM_Office	427 
139.6255720	35.4153170	000000	中浜町	0	0	1	KM_Office	132 
139.6271570	35.4119900	000000	磯子１丁目	0	0	1	KM_Office	1377 
139.6363250	35.4173270	000000	東町	0	0	1	KM_Office	1184 
139.6361930	35.4124120	000000	鳳町	0	0	1	KM_Office	1012 
139.6100150	35.4201130	000000	岡村４丁目	0	0	1	KM_Office	258 
139.6134200	35.4205120	000000	岡村３丁目	0	0	1	KM_Office	126 
139.6226510	35.4219650	000000	丸山２丁目	0	0	1	KM_Office	634 
139.6198190	35.4243400	000000	丸山１丁目	0	0	1	KM_Office	586 
139.6248090	35.4190120	000000	滝頭３丁目	0	0	1	KM_Office	374 
139.6287810	35.4198200	000000	坂下町	0	0	1	KM_Office	203 
139.6228140	35.4136570	000000	久木町	0	0	1	KM_Office	395 
139.6335290	35.4045890	000000	新磯子町	0	0	1	KM_Office	3259 
139.6205000	35.3979210	000000	新森町	0	0	1	KM_Office	1073 
139.6199290	35.3926130	000000	新中原町	0	0	1	KM_Office	2450 
139.6224350	35.4181010	000000	広地町	0	0	1	KM_Office	247 
139.6192770	35.4036670	000000	磯子３丁目	0	0	1	KM_Office	2391 
139.6277990	35.3896840	000000	新杉田町	0	0	1	KM_Office	6109 
139.6179100	35.3821800	000000	杉田４丁目	0	0	1	KM_Office	690 
139.6228780	35.4091360	000000	磯子２丁目	0	0	1	KM_Office	1365 
139.6222330	35.3808960	000000	杉田５丁目	0	0	1	KM_Office	2479 
139.6202820	35.4204630	000000	滝頭２丁目	0	0	1	KM_Office	511 
