lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5220310	35.4273755	000000	岡津町	0	0	1	KM_Office	1995 
139.4923780	35.4279399	000000	和泉町	0	0	1	KM_Office	5759 
139.5042247	35.4207569	000000	中田町	0	0	1	KM_Office	564 
139.4809783	35.3989701	000000	下飯田町	0	0	1	KM_Office	709 
139.4792375	35.4289977	000000	上飯田町	0	0	1	KM_Office	5474 
139.5149494	35.4249355	000000	桂坂	0	0	1	KM_Office	64 
139.5059949	35.4271397	000000	弥生台	0	0	1	KM_Office	1689 
139.5123358	35.4359291	000000	新橋町	0	0	1	KM_Office	1888 
139.5177805	35.4456073	000000	池の谷	0	0	1	KM_Office	342 
139.5028688	35.4072930	000000	中田西３丁目	0	0	1	KM_Office	270 
139.5106877	35.4076730	000000	中田南２丁目	0	0	1	KM_Office	343 
139.5224805	35.4196464	000000	領家３丁目	0	0	1	KM_Office	163 
139.4931790	35.4225070	000000	和泉中央北６丁目	0	0	1	KM_Office	201 
139.4870756	35.4186446	000000	和泉中央北５丁目	0	0	1	KM_Office	864 
139.4920578	35.4191475	000000	和泉中央北４丁目	0	0	1	KM_Office	228 
139.4947916	35.4183285	000000	和泉中央北３丁目	0	0	1	KM_Office	130 
139.4982070	35.4179220	000000	和泉中央北２丁目	0	0	1	KM_Office	525 
139.4975623	35.4219644	000000	和泉中央北１丁目	0	0	1	KM_Office	837 
139.5270200	35.4473050	000000	緑園７丁目	0	0	1	KM_Office	184 
139.5239193	35.4460721	000000	緑園６丁目	0	0	1	KM_Office	213 
139.5288840	35.4418800	000000	緑園５丁目	0	0	1	KM_Office	551 
139.5240017	35.4394331	000000	緑園４丁目	0	0	1	KM_Office	1331 
139.5198541	35.4411809	000000	緑園３丁目	0	0	1	KM_Office	438 
139.5188277	35.4369026	000000	緑園２丁目	0	0	1	KM_Office	353 
139.5228820	35.4369270	000000	緑園１丁目	0	0	1	KM_Office	294 
139.5170540	35.4170250	000000	白百合３丁目	0	0	1	KM_Office	31 
139.5170970	35.4144500	000000	白百合２丁目	0	0	1	KM_Office	22 
139.5192936	35.4140297	000000	白百合１丁目	0	0	1	KM_Office	36 
139.5037014	35.4029625	000000	中田西４丁目	0	0	1	KM_Office	231 
139.5044720	35.4090860	000000	中田西２丁目	0	0	1	KM_Office	408 
139.5015260	35.4107800	000000	中田西１丁目	0	0	1	KM_Office	1693 
139.5079220	35.4017960	000000	中田南５丁目	0	0	1	KM_Office	434 
139.5067426	35.4081039	000000	中田南４丁目	0	0	1	KM_Office	368 
139.5091450	35.4085919	000000	中田南３丁目	0	0	1	KM_Office	743 
139.5142830	35.4063690	000000	中田南１丁目	0	0	1	KM_Office	243 
139.5210068	35.4161402	000000	領家４丁目	0	0	1	KM_Office	274 
139.5241480	35.4191220	000000	領家２丁目	0	0	1	KM_Office	290 
139.5229998	35.4214667	000000	領家１丁目	0	0	1	KM_Office	88 
139.5124410	35.4171340	000000	中田東４丁目	0	0	1	KM_Office	300 
139.5101643	35.4128211	000000	中田東３丁目	0	0	1	KM_Office	584 
139.5141983	35.4139286	000000	中田東２丁目	0	0	1	KM_Office	86 
139.5164203	35.4092661	000000	中田東１丁目	0	0	1	KM_Office	668 
139.5153493	35.4208094	000000	西が岡３丁目	0	0	1	KM_Office	156 
139.5170750	35.4218211	000000	西が岡２丁目	0	0	1	KM_Office	141 
139.5113225	35.4245545	000000	西が岡１丁目	0	0	1	KM_Office	1251 
139.5098090	35.4194920	000000	中田北３丁目	0	0	1	KM_Office	321 
139.5064520	35.4147993	000000	中田北２丁目	0	0	1	KM_Office	358 
139.5020830	35.4161040	000000	中田北１丁目	0	0	1	KM_Office	408 
139.4903349	35.3974862	000000	下和泉５丁目	0	0	1	KM_Office	74 
139.4937821	35.3979443	000000	下和泉４丁目	0	0	1	KM_Office	56 
139.4944640	35.3957340	000000	下和泉３丁目	0	0	1	KM_Office	121 
139.4917376	35.3938972	000000	下和泉２丁目	0	0	1	KM_Office	108 
139.4916220	35.3910520	000000	下和泉１丁目	0	0	1	KM_Office	163 
139.4931760	35.4059420	000000	和泉が丘３丁目	0	0	1	KM_Office	192 
139.4954310	35.4047830	000000	和泉が丘２丁目	0	0	1	KM_Office	241 
139.4984190	35.4031520	000000	和泉が丘１丁目	0	0	1	KM_Office	270 
139.4858361	35.4136049	000000	和泉中央南５丁目	0	0	1	KM_Office	1279 
139.4893540	35.4144430	000000	和泉中央南４丁目	0	0	1	KM_Office	400 
139.4933949	35.4128990	000000	和泉中央南３丁目	0	0	1	KM_Office	275 
139.4967130	35.4119870	000000	和泉中央南２丁目	0	0	1	KM_Office	297 
139.4991122	35.4088247	000000	和泉中央南１丁目	0	0	1	KM_Office	488 
