lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5838885	35.4974926	000000	菅田町	0	0	1	KM_Office	4651 
139.5835925	35.4846354	000000	羽沢町	0	0	1	KM_Office	3537 
139.6639488	35.4809911	000000	宝町	0	0	1	KM_Office	2158 
139.6616985	35.4865098	000000	守屋町４丁目	0	0	1	KM_Office	95 
139.5958780	35.4893590	000000	三枚町	0	0	1	KM_Office	1782 
139.5845530	35.4762170	000000	羽沢南１丁目	0	0	1	KM_Office	155 
139.6056940	35.4938520	000000	片倉４丁目	0	0	1	KM_Office	232 
139.6177360	35.4896650	000000	六角橋５丁目	0	0	1	KM_Office	303 
139.6100580	35.4918470	000000	片倉５丁目	0	0	1	KM_Office	590 
139.6049090	35.4910500	000000	片倉３丁目	0	0	1	KM_Office	122 
139.6126530	35.4894920	000000	神大寺４丁目	0	0	1	KM_Office	327 
139.6147380	35.4840790	000000	神大寺１丁目	0	0	1	KM_Office	199 
139.6110550	35.4845120	000000	神大寺２丁目	0	0	1	KM_Office	615 
139.6065940	35.4843570	000000	神大寺３丁目	0	0	1	KM_Office	843 
139.6176290	35.4931590	000000	六角橋６丁目	0	0	1	KM_Office	464 
139.5802070	35.4778890	000000	羽沢南３丁目	0	0	1	KM_Office	116 
139.6008040	35.4849740	000000	片倉２丁目	0	0	1	KM_Office	777 
139.6103420	35.4784210	000000	三ツ沢中町	0	0	1	KM_Office	680 
139.6054350	35.4855040	000000	片倉１丁目	0	0	1	KM_Office	1084 
139.6048740	35.4784860	000000	三ツ沢上町	0	0	1	KM_Office	732 
139.6132780	35.4742310	000000	三ツ沢東町	0	0	1	KM_Office	62 
139.6086720	35.4732440	000000	三ツ沢南町	0	0	1	KM_Office	313 
139.6036940	35.4719860	000000	三ツ沢西町	0	0	1	KM_Office	1914 
139.6182480	35.4689930	000000	鶴屋町３丁目	0	0	1	KM_Office	6238 
139.6156870	35.4783300	000000	三ツ沢下町	0	0	1	KM_Office	514 
139.6196620	35.4771200	000000	松本町４丁目	0	0	1	KM_Office	221 
139.6166320	35.4717080	000000	沢渡	0	0	1	KM_Office	1987 
139.6175307	35.4841452	000000	六角橋４丁目	0	0	1	KM_Office	333 
139.6168200	35.4763020	000000	松本町６丁目	0	0	1	KM_Office	103 
139.6188610	35.4748000	000000	松ケ丘	0	0	1	KM_Office	140 
139.6179930	35.4772520	000000	松本町５丁目	0	0	1	KM_Office	195 
139.5803920	35.4802840	000000	羽沢南４丁目	0	0	1	KM_Office	38 
139.5828990	35.4770190	000000	羽沢南２丁目	0	0	1	KM_Office	108 
139.6392220	35.4978000	000000	松見町２丁目	0	0	1	KM_Office	266 
139.6368730	35.4890150	000000	白幡仲町	0	0	1	KM_Office	132 
