lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6203120	35.5400580	000000	新吉田東５丁目	0	0	1	KM_Office	377 
139.6318050	35.5077440	000000	錦が丘	0	0	1	KM_Office	245 
139.6431380	35.5412820	000000	綱島東４丁目	0	0	1	KM_Office	1286 
139.6146890	35.5510210	000000	高田西１丁目	0	0	1	KM_Office	721 
139.6223490	35.5240310	000000	大倉山５丁目	0	0	1	KM_Office	664 
139.6349300	35.4954020	000000	仲手原１丁目	0	0	1	KM_Office	54 
139.6280430	35.5385610	000000	綱島西３丁目	0	0	1	KM_Office	865 
139.6249810	35.5365590	000000	綱島上町	0	0	1	KM_Office	192 
139.6337470	35.5021800	000000	菊名１丁目	0	0	1	KM_Office	826 
139.6463500	35.5563780	000000	日吉２丁目	0	0	1	KM_Office	2077 
139.6420120	35.5371210	000000	綱島東３丁目	0	0	1	KM_Office	391 
139.6189930	35.5025340	000000	篠原町	0	0	1	KM_Office	2721 
139.6385130	35.5579550	000000	下田町２丁目	0	0	1	KM_Office	126 
139.6433610	35.5311760	000000	樽町３丁目	0	0	1	KM_Office	1710 
139.6260440	35.5464820	000000	高田東１丁目	0	0	1	KM_Office	452 
139.6098858	35.5046988	000000	新横浜１丁目	0	0	1	KM_Office	7186 
139.6312500	35.5201560	000000	大倉山１丁目	0	0	1	KM_Office	1343 
139.6547820	35.5549100	000000	日吉３丁目	0	0	1	KM_Office	1415 
139.6225530	35.5469440	000000	高田東４丁目	0	0	1	KM_Office	472 
139.6269670	35.5210960	000000	大倉山３丁目	0	0	1	KM_Office	1529 
139.6387390	35.5389470	000000	綱島東２丁目	0	0	1	KM_Office	745 
139.6129810	35.4976510	000000	岸根町	0	0	1	KM_Office	795 
139.6140980	35.5154060	000000	北新横浜２丁目	0	0	1	KM_Office	656 
139.6179860	35.5342510	000000	新吉田東７丁目	0	0	1	KM_Office	253 
139.6275770	35.5416850	000000	綱島西４丁目	0	0	1	KM_Office	333 
139.6175740	35.5459180	000000	新吉田東３丁目	0	0	1	KM_Office	1033 
139.6271610	35.5019020	000000	篠原東３丁目	0	0	1	KM_Office	213 
139.6181350	35.5513570	000000	高田西２丁目	0	0	1	KM_Office	430 
139.6312670	35.5303840	000000	大曽根２丁目	0	0	1	KM_Office	403 
