lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5605908	35.3861319	000000	上永谷町	0	0	1	KM_Office	66 
139.5697617	35.3889937	000000	野庭町	0	0	1	KM_Office	2499 
139.5779321	35.4130871	000000	東芹が谷	0	0	1	KM_Office	225 
139.5905241	35.4007802	000000	港南中央通	0	0	1	KM_Office	1342 
139.5800825	35.3763124	000000	港南台３丁目	0	0	1	KM_Office	5876 
139.5811941	35.3814718	000000	港南台１丁目	0	0	1	KM_Office	361 
139.5811099	35.3785270	000000	港南台２丁目	0	0	1	KM_Office	544 
139.5743119	35.3751612	000000	港南台４丁目	0	0	1	KM_Office	2133 
139.5840725	35.3855151	000000	日野中央２丁目	0	0	1	KM_Office	745 
139.5842824	35.3679472	000000	港南台６丁目	0	0	1	KM_Office	861 
139.5887776	35.3662168	000000	港南台８丁目	0	0	1	KM_Office	447 
139.5801094	35.3706755	000000	港南台５丁目	0	0	1	KM_Office	1270 
139.5717958	35.3717951	000000	港南台９丁目	0	0	1	KM_Office	722 
139.5901550	35.3706345	000000	港南台７丁目	0	0	1	KM_Office	1088 
139.5729002	35.3800080	000000	日野南２丁目	0	0	1	KM_Office	172 
139.5764265	35.3821306	000000	日野南１丁目	0	0	1	KM_Office	346 
139.5716770	35.3776936	000000	日野南３丁目	0	0	1	KM_Office	625 
139.5779375	35.3855264	000000	日野８丁目	0	0	1	KM_Office	587 
139.5888424	35.3809461	000000	日野中央３丁目	0	0	1	KM_Office	222 
139.5665830	35.4023570	000000	上永谷５丁目	0	0	1	KM_Office	159 
139.5608900	35.4008080	000000	日限山１丁目	0	0	1	KM_Office	533 
139.5706570	35.4137200	000000	芹が谷４丁目	0	0	1	KM_Office	266 
139.5742680	35.4142920	000000	芹が谷３丁目	0	0	1	KM_Office	303 
139.5686090	35.4085440	000000	上永谷４丁目	0	0	1	KM_Office	207 
139.5659880	35.4152700	000000	芹が谷５丁目	0	0	1	KM_Office	658 
139.5656400	35.4102680	000000	下永谷２丁目	0	0	1	KM_Office	281 
139.5845540	35.4093650	000000	大久保３丁目	0	0	1	KM_Office	271 
139.5650470	35.4042780	000000	上永谷６丁目	0	0	1	KM_Office	111 
139.5773450	35.4104200	000000	東永谷３丁目	0	0	1	KM_Office	95 
139.5736310	35.4039140	000000	上永谷２丁目	0	0	1	KM_Office	402 
139.5772800	35.4067750	000000	東永谷２丁目	0	0	1	KM_Office	201 
139.5856790	35.4036140	000000	港南２丁目	0	0	1	KM_Office	285 
139.5726440	35.4079700	000000	上永谷３丁目	0	0	1	KM_Office	178 
