lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.4900297	35.5330975	000000	長津田町	0	0	1	KM_Office	3952 
139.5276716	35.5296821	000000	西八朔町	0	0	1	KM_Office	719 
139.5379436	35.5294323	000000	北八朔町	0	0	1	KM_Office	1775 
139.5122480	35.5231280	000000	十日市場町	0	0	1	KM_Office	7075 
139.5236957	35.5205258	000000	新治町	0	0	1	KM_Office	295 
139.5178098	35.5045807	000000	三保町	0	0	1	KM_Office	2542 
139.4935209	35.5342955	000000	長津田４丁目	0	0	1	KM_Office	1125 
139.5040995	35.5330164	000000	長津田１丁目	0	0	1	KM_Office	114 
139.4956801	35.5366047	000000	長津田３丁目	0	0	1	KM_Office	174 
139.4991937	35.5335773	000000	長津田２丁目	0	0	1	KM_Office	605 
139.4940036	35.5278606	000000	長津田７丁目	0	0	1	KM_Office	176 
139.4987941	35.5289237	000000	長津田６丁目	0	0	1	KM_Office	440 
139.4982550	35.5307463	000000	長津田５丁目	0	0	1	KM_Office	919 
139.5439603	35.5115141	000000	中山４丁目	0	0	1	KM_Office	1121 
139.5454800	35.5140080	000000	中山３丁目	0	0	1	KM_Office	657 
139.5474890	35.5149710	000000	中山２丁目	0	0	1	KM_Office	1241 
139.5398880	35.5160110	000000	中山１丁目	0	0	1	KM_Office	2755 
139.5072719	35.5301595	000000	いぶき野	0	0	1	KM_Office	541 
139.5349621	35.5220627	000000	小山町	0	0	1	KM_Office	660 
139.5463267	35.5193174	000000	青砥町	0	0	1	KM_Office	1492 
139.5766760	35.5139590	000000	東本郷町	0	0	1	KM_Office	-
139.4989480	35.5122260	000000	霧が丘６丁目	0	0	1	KM_Office	331 
139.5024740	35.5144770	000000	霧が丘５丁目	0	0	1	KM_Office	394 
139.5062910	35.5116050	000000	霧が丘４丁目	0	0	1	KM_Office	273 
139.5060350	35.5167620	000000	霧が丘３丁目	0	0	1	KM_Office	606 
139.5015160	35.5170510	000000	霧が丘２丁目	0	0	1	KM_Office	546 
139.5091257	35.5174130	000000	霧が丘１丁目	0	0	1	KM_Office	210 
139.5807260	35.5113500	000000	東本郷６丁目	0	0	1	KM_Office	155 
139.5833160	35.5072010	000000	東本郷５丁目	0	0	1	KM_Office	386 
139.5799770	35.5088412	000000	東本郷４丁目	0	0	1	KM_Office	230 
139.5763793	35.5050477	000000	東本郷３丁目	0	0	1	KM_Office	63 
139.5736520	35.5076540	000000	東本郷２丁目	0	0	1	KM_Office	19 
139.5753917	35.5095703	000000	東本郷１丁目	0	0	1	KM_Office	447 
139.5330222	35.5093526	000000	森の台	0	0	1	KM_Office	191 
139.5047070	35.5252620	000000	長津田みなみ台７丁目	0	0	1	KM_Office	45 
139.5029040	35.5227820	000000	長津田みなみ台６丁目	0	0	1	KM_Office	52 
139.4996570	35.5241210	000000	長津田みなみ台５丁目	0	0	1	KM_Office	520 
139.4991692	35.5194704	000000	長津田みなみ台４丁目	0	0	1	KM_Office	1198 
139.4952820	35.5180170	000000	長津田みなみ台３丁目	0	0	1	KM_Office	-
139.4932348	35.5203063	000000	長津田みなみ台２丁目	0	0	1	KM_Office	102 
139.4964450	35.5239040	000000	長津田みなみ台１丁目	0	0	1	KM_Office	482 
139.5395097	35.5060870	000000	寺山町	0	0	1	KM_Office	2226 
139.5614541	35.4941585	000000	竹山４丁目	0	0	1	KM_Office	25 
139.5604930	35.4970160	000000	竹山３丁目	0	0	1	KM_Office	460 
139.5624920	35.4989740	000000	竹山２丁目	0	0	1	KM_Office	29 
139.5602750	35.4998370	000000	竹山１丁目	0	0	1	KM_Office	151 
139.5556360	35.4990120	000000	鴨居７丁目	0	0	1	KM_Office	243 
139.5592720	35.5031460	000000	鴨居６丁目	0	0	1	KM_Office	545 
139.5623629	35.5064406	000000	鴨居５丁目	0	0	1	KM_Office	496 
139.5660530	35.5055490	000000	鴨居４丁目	0	0	1	KM_Office	615 
139.5692910	35.5068310	000000	鴨居３丁目	0	0	1	KM_Office	763 
139.5711670	35.5087710	000000	鴨居２丁目	0	0	1	KM_Office	598 
139.5679190	35.5114640	000000	鴨居１丁目	0	0	1	KM_Office	1867 
139.5297427	35.5098859	000000	台村町	0	0	1	KM_Office	1837 
139.5675160	35.4982840	000000	鴨居町	0	0	1	KM_Office	351 
139.5528718	35.5012643	000000	白山４丁目	0	0	1	KM_Office	249 
139.5523392	35.5046062	000000	白山３丁目	0	0	1	KM_Office	61 
139.5566760	35.5064370	000000	白山２丁目	0	0	1	KM_Office	248 
139.5568840	35.5090110	000000	白山１丁目	0	0	1	KM_Office	2957 
139.5481875	35.5018380	000000	上山３丁目	0	0	1	KM_Office	147 
139.5484385	35.5061721	000000	上山２丁目	0	0	1	KM_Office	333 
139.5509890	35.5106880	000000	上山１丁目	0	0	1	KM_Office	1891 
139.5457113	35.5056905	000000	中山６丁目	0	0	1	KM_Office	121 
139.5423076	35.5097757	000000	中山５丁目	0	0	1	KM_Office	238 
