lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5856086	35.4172749	000000	別所中里台	0	0	1	KM_Office	138 
139.5890637	35.4281698	000000	永田山王台	0	0	1	KM_Office	217 
139.5874976	35.4313511	000000	永田みなみ台	0	0	1	KM_Office	276 
139.5843739	35.4333764	000000	永田台	0	0	1	KM_Office	324 
139.6225548	35.4393593	000000	白金町１丁目	0	0	1	KM_Office	191 
139.6186634	35.4382121	000000	白金町２丁目	0	0	1	KM_Office	59 
139.6136219	35.4432994	000000	伏見町	0	0	1	KM_Office	31 
139.6174553	35.4415571	000000	三春台	0	0	1	KM_Office	523 
139.6128473	35.4409516	000000	庚台	0	0	1	KM_Office	184 
139.6195011	35.4390851	000000	前里町３丁目	0	0	1	KM_Office	183 
139.5864254	35.4382371	000000	永田北３丁目	0	0	1	KM_Office	300 
139.5898535	35.4362787	000000	永田北２丁目	0	0	1	KM_Office	401 
139.5932320	35.4397810	000000	永田北１丁目	0	0	1	KM_Office	155 
139.5981145	35.4381904	000000	永田東３丁目	0	0	1	KM_Office	256 
139.5945534	35.4350895	000000	永田東２丁目	0	0	1	KM_Office	334 
139.5973870	35.4335250	000000	永田東１丁目	0	0	1	KM_Office	545 
139.6079024	35.4397340	000000	清水ケ丘	0	0	1	KM_Office	614 
139.5976259	35.4245340	000000	弘明寺町	0	0	1	KM_Office	915 
139.5914729	35.4301103	000000	永田南２丁目	0	0	1	KM_Office	130 
139.5959020	35.4290720	000000	永田南１丁目	0	0	1	KM_Office	473 
139.6021620	35.4309250	000000	井土ケ谷中町	0	0	1	KM_Office	1184 
139.6056934	35.4318084	000000	井土ケ谷下町	0	0	1	KM_Office	1787 
139.6014740	35.4365920	000000	南太田４丁目	0	0	1	KM_Office	331 
139.6049190	35.4348570	000000	南太田３丁目	0	0	1	KM_Office	226 
139.6087338	35.4349580	000000	南太田２丁目	0	0	1	KM_Office	475 
139.6124960	35.4368350	000000	南太田１丁目	0	0	1	KM_Office	1498 
139.6116060	35.4259185	000000	蒔田町	0	0	1	KM_Office	361 
139.6080460	35.4297220	000000	宿町４丁目	0	0	1	KM_Office	99 
139.6090997	35.4303996	000000	宿町３丁目	0	0	1	KM_Office	173 
139.6110555	35.4317811	000000	宿町２丁目	0	0	1	KM_Office	682 
139.6135880	35.4337280	000000	宿町１丁目	0	0	1	KM_Office	53 
139.6017450	35.4245091	000000	中島町４丁目	0	0	1	KM_Office	173 
139.6029466	35.4264506	000000	中島町３丁目	0	0	1	KM_Office	49 
139.6046702	35.4276718	000000	中島町２丁目	0	0	1	KM_Office	113 
139.6066464	35.4289762	000000	中島町１丁目	0	0	1	KM_Office	52 
139.6108560	35.4294700	000000	共進町３丁目	0	0	1	KM_Office	95 
139.6121516	35.4304860	000000	共進町２丁目	0	0	1	KM_Office	98 
139.6152202	35.4326260	000000	共進町１丁目	0	0	1	KM_Office	174 
139.6084636	35.4309269	000000	花之木町３丁目	0	0	1	KM_Office	260 
139.6099242	35.4327164	000000	花之木町２丁目	0	0	1	KM_Office	575 
139.6124102	35.4340905	000000	花之木町１丁目	0	0	1	KM_Office	145 
139.5984940	35.4305050	000000	井土ケ谷上町	0	0	1	KM_Office	731 
139.6159173	35.4317505	000000	東蒔田町	0	0	1	KM_Office	336 
139.6085330	35.4286130	000000	宮元町４丁目	0	0	1	KM_Office	646 
139.6098860	35.4299240	000000	宮元町３丁目	0	0	1	KM_Office	251 
139.6116691	35.4311585	000000	宮元町２丁目	0	0	1	KM_Office	298 
139.6140720	35.4330590	000000	宮元町１丁目	0	0	1	KM_Office	254 
139.5980380	35.4214800	000000	中里町	0	0	1	KM_Office	10 
139.6038920	35.4242820	000000	若宮町４丁目	0	0	1	KM_Office	54 
139.6045422	35.4254376	000000	若宮町３丁目	0	0	1	KM_Office	26 
139.6060299	35.4265926	000000	若宮町２丁目	0	0	1	KM_Office	25 
139.6071393	35.4273102	000000	若宮町１丁目	0	0	1	KM_Office	-
139.6027331	35.4243146	000000	通町４丁目	0	0	1	KM_Office	1522 
139.6037020	35.4259830	000000	通町３丁目	0	0	1	KM_Office	78 
139.6053130	35.4270830	000000	通町２丁目	0	0	1	KM_Office	125 
139.6069490	35.4283363	000000	通町１丁目	0	0	1	KM_Office	89 
139.6008130	35.4248410	000000	大橋町３丁目	0	0	1	KM_Office	181 
139.6017430	35.4268550	000000	大橋町２丁目	0	0	1	KM_Office	84 
139.6042127	35.4282000	000000	大橋町１丁目	0	0	1	KM_Office	48 
139.6132637	35.4296759	000000	榎町２丁目	0	0	1	KM_Office	277 
139.6140564	35.4310594	000000	榎町１丁目	0	0	1	KM_Office	119 
139.6304662	35.4388079	000000	永楽町２丁目	0	0	1	KM_Office	278 
139.6313675	35.4374046	000000	永楽町１丁目	0	0	1	KM_Office	215 
139.6237400	35.4359920	000000	高根町４丁目	0	0	1	KM_Office	132 
139.6249120	35.4366696	000000	高根町３丁目	0	0	1	KM_Office	878 
139.6260530	35.4369901	000000	高根町２丁目	0	0	1	KM_Office	191 
139.6272150	35.4374930	000000	高根町１丁目	0	0	1	KM_Office	168 
139.6231557	35.4346020	000000	白妙町５丁目	0	0	1	KM_Office	73 
139.6243207	35.4349080	000000	白妙町４丁目	0	0	1	KM_Office	58 
139.6256130	35.4353190	000000	白妙町３丁目	0	0	1	KM_Office	80 
139.6268354	35.4356523	000000	白妙町２丁目	0	0	1	KM_Office	63 
139.6280820	35.4362962	000000	白妙町１丁目	0	0	1	KM_Office	105 
139.6287640	35.4380890	000000	真金町２丁目	0	0	1	KM_Office	713 
139.6299074	35.4364070	000000	真金町１丁目	0	0	1	KM_Office	427 
139.6228340	35.4334717	000000	浦舟町５丁目	0	0	1	KM_Office	198 
139.6245515	35.4337821	000000	浦舟町４丁目	0	0	1	KM_Office	2536 
139.6263590	35.4341960	000000	浦舟町３丁目	0	0	1	KM_Office	1146 
139.6276220	35.4346000	000000	浦舟町２丁目	0	0	1	KM_Office	906 
139.6288791	35.4351820	000000	浦舟町１丁目	0	0	1	KM_Office	179 
139.6257677	35.4294307	000000	山谷	0	0	1	KM_Office	215 
139.6331038	35.4300279	000000	平楽	0	0	1	KM_Office	179 
139.6300903	35.4311477	000000	八幡町	0	0	1	KM_Office	41 
139.6306234	35.4353070	000000	万世町２丁目	0	0	1	KM_Office	127 
139.6322690	35.4362110	000000	万世町１丁目	0	0	1	KM_Office	119 
139.6358580	35.4319560	000000	唐沢	0	0	1	KM_Office	256 
139.6183800	35.4339380	000000	二葉町４丁目	0	0	1	KM_Office	36 
139.6194848	35.4343865	000000	二葉町３丁目	0	0	1	KM_Office	52 
139.6208100	35.4346900	000000	二葉町２丁目	0	0	1	KM_Office	78 
139.6220860	35.4350510	000000	二葉町１丁目	0	0	1	KM_Office	42 
139.6186130	35.4332134	000000	高砂町３丁目	0	0	1	KM_Office	51 
139.6199227	35.4334866	000000	高砂町２丁目	0	0	1	KM_Office	141 
139.6214127	35.4335687	000000	高砂町１丁目	0	0	1	KM_Office	201 
139.6160360	35.4353380	000000	山王町５丁目	0	0	1	KM_Office	67 
139.6176154	35.4358236	000000	山王町４丁目	0	0	1	KM_Office	117 
139.6188098	35.4360833	000000	山王町３丁目	0	0	1	KM_Office	261 
139.6200562	35.4364287	000000	山王町２丁目	0	0	1	KM_Office	46 
139.6215248	35.4368603	000000	山王町１丁目	0	0	1	KM_Office	13 
139.6194740	35.4290510	000000	睦町２丁目	0	0	1	KM_Office	276 
139.6192990	35.4313700	000000	睦町１丁目	0	0	1	KM_Office	689 
139.5737210	35.4237750	000000	六ツ川４丁目	0	0	1	KM_Office	471 
139.5803890	35.4289940	000000	六ツ川３丁目	0	0	1	KM_Office	1366 
