lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6743135	35.4132334	000000	かもめ町	0	0	1	KM_Office	2048 
139.6669467	35.4319100	000000	本牧十二天	0	0	1	KM_Office	271 
139.6646515	35.4279800	000000	本牧宮原	0	0	1	KM_Office	418 
139.6684719	35.4246482	000000	本牧原	0	0	1	KM_Office	2119 
139.6641128	35.4334726	000000	小港町１丁目	0	0	1	KM_Office	365 
139.6655073	35.4303290	000000	小港町２丁目	0	0	1	KM_Office	143 
139.6638079	35.4304681	000000	小港町３丁目	0	0	1	KM_Office	152 
139.6735682	35.4197170	000000	錦町	0	0	1	KM_Office	3286 
139.6588604	35.4337333	000000	北方町１丁目	0	0	1	KM_Office	20 
139.6620469	35.4315915	000000	北方町２丁目	0	0	1	KM_Office	22 
139.6590116	35.4295048	000000	本牧町１丁目	0	0	1	KM_Office	966 
139.6609481	35.4282197	000000	本牧町２丁目	0	0	1	KM_Office	646 
139.6342654	35.4448811	000000	末広町１丁目	0	0	1	KM_Office	87 
139.6331684	35.4440901	000000	末広町２丁目	0	0	1	KM_Office	73 
139.6321277	35.4433603	000000	末広町３丁目	0	0	1	KM_Office	152 
139.6678780	35.4176452	000000	本牧元町	0	0	1	KM_Office	507 
139.6679915	35.4116146	000000	豊浦町	0	0	1	KM_Office	922 
139.6490825	35.4162297	000000	千鳥町	0	0	1	KM_Office	584 
139.6490360	35.4206687	000000	池袋	0	0	1	KM_Office	114 
139.6484167	35.4237667	000000	矢口台	0	0	1	KM_Office	49 
139.6455390	35.4230193	000000	豆口台	0	0	1	KM_Office	67 
139.6452689	35.4201776	000000	根岸加曽台	0	0	1	KM_Office	10 
139.6419770	35.4221734	000000	滝之上	0	0	1	KM_Office	192 
139.6540543	35.4220837	000000	本牧荒井	0	0	1	KM_Office	34 
139.6541810	35.4190153	000000	本牧間門	0	0	1	KM_Office	707 
139.6614290	35.4227541	000000	本牧和田	0	0	1	KM_Office	497 
139.6601650	35.4179716	000000	本牧三之谷	0	0	1	KM_Office	677 
139.6630047	35.4162463	000000	本牧大里町	0	0	1	KM_Office	140 
139.6630934	35.4252610	000000	和田山	0	0	1	KM_Office	7 
139.6517211	35.4242621	000000	本牧緑ケ丘	0	0	1	KM_Office	133 
139.6548002	35.4251665	000000	本牧満坂	0	0	1	KM_Office	91 
139.6549846	35.4324553	000000	本郷町１丁目	0	0	1	KM_Office	134 
139.6565456	35.4322718	000000	本郷町２丁目	0	0	1	KM_Office	389 
139.6551401	35.4290678	000000	本郷町３丁目	0	0	1	KM_Office	85 
