lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.4926807	35.4627596	000000	宮沢１丁目	0	0	1	KM_Office	105 
139.4895827	35.4639633	000000	南台１丁目	0	0	1	KM_Office	535 
139.4883999	35.4605937	000000	南台２丁目	0	0	1	KM_Office	205 
139.4923855	35.4567908	000000	宮沢２丁目	0	0	1	KM_Office	186 
139.4899768	35.4517656	000000	宮沢３丁目	0	0	1	KM_Office	352 
139.4901699	35.4461414	000000	宮沢４丁目	0	0	1	KM_Office	232 
139.4866938	35.4527401	000000	南瀬谷１丁目	0	0	1	KM_Office	310 
139.4849719	35.4464473	000000	南瀬谷２丁目	0	0	1	KM_Office	248 
139.4839312	35.4535441	000000	下瀬谷１丁目	0	0	1	KM_Office	208 
139.4816942	35.4564369	000000	下瀬谷２丁目	0	0	1	KM_Office	591 
139.4783414	35.4541428	000000	下瀬谷３丁目	0	0	1	KM_Office	334 
139.4968201	35.4690585	000000	二ツ橋町	0	0	1	KM_Office	2788 
139.5025756	35.4659407	000000	三ツ境	0	0	1	KM_Office	3957 
139.4978248	35.4575494	000000	阿久和西１丁目	0	0	1	KM_Office	561 
139.4958379	35.4520632	000000	阿久和西３丁目	0	0	1	KM_Office	585 
139.4999953	35.4530989	000000	阿久和西２丁目	0	0	1	KM_Office	250 
139.4960721	35.4471248	000000	阿久和西４丁目	0	0	1	KM_Office	439 
139.4846716	35.4632715	000000	橋戸１丁目	0	0	1	KM_Office	454 
139.4806161	35.4623802	000000	橋戸２丁目	0	0	1	KM_Office	1183 
139.4744202	35.4631360	000000	橋戸３丁目	0	0	1	KM_Office	407 
139.4983683	35.4766079	000000	東野台	0	0	1	KM_Office	207 
139.4934920	35.4754939	000000	東野	0	0	1	KM_Office	193 
139.4920353	35.4684467	000000	瀬谷１丁目	0	0	1	KM_Office	523 
139.4892243	35.4689185	000000	瀬谷２丁目	0	0	1	KM_Office	130 
139.4862846	35.4686739	000000	瀬谷３丁目	0	0	1	KM_Office	381 
139.4827226	35.4682370	000000	瀬谷４丁目	0	0	1	KM_Office	2007 
139.4784525	35.4676603	000000	瀬谷５丁目	0	0	1	KM_Office	367 
139.4752983	35.4674156	000000	瀬谷６丁目	0	0	1	KM_Office	312 
139.4818737	35.4736733	000000	中央	0	0	1	KM_Office	1288 
139.4839337	35.4747043	000000	相沢４丁目	0	0	1	KM_Office	148 
139.4869806	35.4718821	000000	相沢１丁目	0	0	1	KM_Office	169 
139.4869055	35.4747130	000000	相沢３丁目	0	0	1	KM_Office	96 
139.4897379	35.4735160	000000	相沢２丁目	0	0	1	KM_Office	242 
139.4813802	35.4783826	000000	本郷４丁目	0	0	1	KM_Office	123 
139.4818040	35.4833537	000000	中屋敷３丁目	0	0	1	KM_Office	140 
139.4837352	35.4789330	000000	相沢５丁目	0	0	1	KM_Office	29 
139.4873991	35.4793393	000000	相沢６丁目	0	0	1	KM_Office	232 
139.4892149	35.4779414	000000	相沢７丁目	0	0	1	KM_Office	288 
139.4829745	35.4881681	000000	瀬谷町	0	0	1	KM_Office	371 
139.4808169	35.5009555	000000	北町	0	0	1	KM_Office	1205 
139.4858702	35.5003397	000000	卸本町	0	0	1	KM_Office	1902 
139.4725772	35.4996628	000000	五貫目町	0	0	1	KM_Office	1442 
139.4695849	35.4975302	000000	目黒町	0	0	1	KM_Office	1850 
139.4727220	35.4876082	000000	竹村町	0	0	1	KM_Office	376 
139.4737842	35.4830916	000000	中屋敷１丁目	0	0	1	KM_Office	193 
139.4769599	35.4828295	000000	中屋敷２丁目	0	0	1	KM_Office	486 
139.4728561	35.4765129	000000	本郷１丁目	0	0	1	KM_Office	323 
139.4781079	35.4773997	000000	本郷２丁目	0	0	1	KM_Office	752 
139.4770618	35.4714802	000000	本郷３丁目	0	0	1	KM_Office	420 
139.4738500	35.4930520	000000	上瀬谷町	0	0	1	KM_Office	308 
139.4769890	35.4582910	000000	北新	0	0	1	KM_Office	272 
139.5015209	35.4482515	000000	阿久和東４丁目	0	0	1	KM_Office	219 
139.5061986	35.4500478	000000	阿久和東３丁目	0	0	1	KM_Office	274 
139.5039580	35.4534770	000000	阿久和東２丁目	0	0	1	KM_Office	179 
139.5034010	35.4565810	000000	阿久和東１丁目	0	0	1	KM_Office	149 
139.4985350	35.4404880	000000	阿久和南４丁目	0	0	1	KM_Office	703 
139.5048120	35.4387830	000000	阿久和南３丁目	0	0	1	KM_Office	701 
139.5029170	35.4446130	000000	阿久和南２丁目	0	0	1	KM_Office	807 
139.5091670	35.4430590	000000	阿久和南１丁目	0	0	1	KM_Office	601 
