lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5274512	35.3911540	000000	戸塚町	0	0	1	KM_Office	16669 
139.5404553	35.4061185	000000	吉田町	0	0	1	KM_Office	8572 
139.5428412	35.3831982	000000	下倉田町	0	0	1	KM_Office	1977 
139.5490524	35.3988859	000000	舞岡町	0	0	1	KM_Office	3459 
139.5129029	35.3881626	000000	汲沢町	0	0	1	KM_Office	2399 
139.5407148	35.3952403	000000	上倉田町	0	0	1	KM_Office	4449 
139.5464769	35.4147559	000000	柏尾町	0	0	1	KM_Office	3152 
139.5546379	35.4189117	000000	上柏尾町	0	0	1	KM_Office	1469 
139.5010896	35.3868502	000000	深谷町	0	0	1	KM_Office	2179 
139.4925633	35.3828707	000000	俣野町	0	0	1	KM_Office	940 
139.5116858	35.3716804	000000	小雀町	0	0	1	KM_Office	1499 
139.4978506	35.3631397	000000	影取町	0	0	1	KM_Office	461 
139.4942180	35.3673761	000000	東俣野町	0	0	1	KM_Office	1790 
139.5282343	35.4067987	000000	矢部町	0	0	1	KM_Office	1615 
139.5232894	35.4126287	000000	鳥が丘	0	0	1	KM_Office	376 
139.5322229	35.4198897	000000	上矢部町	0	0	1	KM_Office	6123 
139.5374928	35.4333593	000000	名瀬町	0	0	1	KM_Office	2795 
139.5455423	35.4220762	000000	秋葉町	0	0	1	KM_Office	1368 
139.5473932	35.4335509	000000	川上町	0	0	1	KM_Office	5892 
139.5495196	35.4364923	000000	上品濃	0	0	1	KM_Office	1626 
139.5513743	35.4243646	000000	前田町	0	0	1	KM_Office	1060 
139.5573748	35.4355888	000000	品濃町	0	0	1	KM_Office	10669 
139.5627756	35.4215731	000000	平戸町	0	0	1	KM_Office	1922 
139.5676130	35.4276560	000000	平戸５丁目	0	0	1	KM_Office	158 
139.5661586	35.4315433	000000	平戸４丁目	0	0	1	KM_Office	26 
139.5695570	35.4341170	000000	平戸３丁目	0	0	1	KM_Office	313 
139.5715168	35.4302024	000000	平戸２丁目	0	0	1	KM_Office	344 
139.5732148	35.4275505	000000	平戸１丁目	0	0	1	KM_Office	449 
139.5156087	35.4021476	000000	汲沢８丁目	0	0	1	KM_Office	324 
139.5128190	35.4028670	000000	汲沢７丁目	0	0	1	KM_Office	73 
139.5100440	35.3998760	000000	汲沢６丁目	0	0	1	KM_Office	29 
139.5124919	35.3979310	000000	汲沢５丁目	0	0	1	KM_Office	25 
139.5125652	35.3927400	000000	汲沢４丁目	0	0	1	KM_Office	72 
139.5140471	35.3963595	000000	汲沢３丁目	0	0	1	KM_Office	85 
139.5187246	35.4017598	000000	汲沢２丁目	0	0	1	KM_Office	425 
139.5201320	35.3997640	000000	汲沢１丁目	0	0	1	KM_Office	414 
139.5538690	35.3914404	000000	南舞岡４丁目	0	0	1	KM_Office	104 
139.5544742	35.3958669	000000	南舞岡３丁目	0	0	1	KM_Office	199 
139.5569690	35.3914930	000000	南舞岡２丁目	0	0	1	KM_Office	71 
139.5583169	35.3966289	000000	南舞岡１丁目	0	0	1	KM_Office	132 
139.5043148	35.3734974	000000	原宿５丁目	0	0	1	KM_Office	286 
139.5015010	35.3750090	000000	原宿４丁目	0	0	1	KM_Office	1443 
139.5074230	35.3807320	000000	原宿３丁目	0	0	1	KM_Office	1582 
139.5173910	35.3798517	000000	原宿１丁目	0	0	1	KM_Office	61 
