lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.6649716	35.4910454	000000	生麦１丁目	0	0	1	KM_Office	1359 
139.6736890	35.5354322	000000	江ケ崎町	0	0	1	KM_Office	3100 
139.6593440	35.5284979	000000	梶山２丁目	0	0	1	KM_Office	331 
139.6630054	35.5272995	000000	梶山１丁目	0	0	1	KM_Office	335 
139.6783518	35.5386622	000000	矢向６丁目	0	0	1	KM_Office	1981 
139.6828771	35.5380694	000000	矢向５丁目	0	0	1	KM_Office	759 
139.6820290	35.5332422	000000	矢向４丁目	0	0	1	KM_Office	728 
139.6791733	35.5343729	000000	矢向３丁目	0	0	1	KM_Office	655 
139.6801100	35.5280320	000000	矢向２丁目	0	0	1	KM_Office	354 
139.6764101	35.5279133	000000	矢向１丁目	0	0	1	KM_Office	2641 
139.6398940	35.5140590	000000	上の宮２丁目	0	0	1	KM_Office	33 
139.6394680	35.5110883	000000	上の宮１丁目	0	0	1	KM_Office	122 
139.6438300	35.5192000	000000	獅子ケ谷３丁目	0	0	1	KM_Office	338 
139.6467600	35.5206810	000000	獅子ケ谷２丁目	0	0	1	KM_Office	809 
139.6527941	35.5186717	000000	獅子ケ谷１丁目	0	0	1	KM_Office	593 
139.6622474	35.5239933	000000	三ツ池公園	0	0	1	KM_Office	22 
139.6436282	35.5136978	000000	北寺尾７丁目	0	0	1	KM_Office	269 
139.6480236	35.5138546	000000	北寺尾６丁目	0	0	1	KM_Office	215 
139.6533183	35.5140913	000000	北寺尾５丁目	0	0	1	KM_Office	153 
139.6574000	35.5160440	000000	北寺尾４丁目	0	0	1	KM_Office	534 
139.6589150	35.5185720	000000	北寺尾３丁目	0	0	1	KM_Office	317 
139.6635574	35.5157523	000000	北寺尾２丁目	0	0	1	KM_Office	600 
139.6614778	35.5137751	000000	北寺尾１丁目	0	0	1	KM_Office	284 
139.6745325	35.5147091	000000	佃野町	0	0	1	KM_Office	1047 
139.6647760	35.5121620	000000	東寺尾北台	0	0	1	KM_Office	190 
139.6688227	35.5159265	000000	諏訪坂	0	0	1	KM_Office	198 
139.6741361	35.5091462	000000	豊岡町	0	0	1	KM_Office	5468 
139.6704646	35.5131878	000000	寺谷２丁目	0	0	1	KM_Office	242 
139.6685016	35.5113387	000000	寺谷１丁目	0	0	1	KM_Office	212 
139.6635970	35.5334170	000000	上末吉５丁目	0	0	1	KM_Office	703 
139.6660466	35.5291479	000000	上末吉４丁目	0	0	1	KM_Office	127 
139.6697991	35.5297322	000000	上末吉３丁目	0	0	1	KM_Office	191 
139.6719851	35.5269425	000000	上末吉２丁目	0	0	1	KM_Office	479 
139.6679506	35.5254562	000000	上末吉１丁目	0	0	1	KM_Office	332 
139.6790750	35.5200632	000000	元宮２丁目	0	0	1	KM_Office	816 
139.6827030	35.5214716	000000	元宮１丁目	0	0	1	KM_Office	929 
139.6845221	35.5173833	000000	市場西中町	0	0	1	KM_Office	280 
139.6815640	35.5162233	000000	市場下町	0	0	1	KM_Office	491 
139.6870533	35.5209553	000000	市場上町	0	0	1	KM_Office	232 
139.6826200	35.5280228	000000	尻手３丁目	0	0	1	KM_Office	669 
139.6844150	35.5271940	000000	尻手２丁目	0	0	1	KM_Office	793 
139.6863710	35.5246280	000000	尻手１丁目	0	0	1	KM_Office	334 
139.6646500	35.5208420	000000	下末吉６丁目	0	0	1	KM_Office	444 
139.6665293	35.5187915	000000	下末吉５丁目	0	0	1	KM_Office	264 
139.6707364	35.5221806	000000	下末吉４丁目	0	0	1	KM_Office	327 
139.6741030	35.5238320	000000	下末吉３丁目	0	0	1	KM_Office	2457 
139.6744600	35.5200160	000000	下末吉２丁目	0	0	1	KM_Office	925 
139.6710160	35.5188314	000000	下末吉１丁目	0	0	1	KM_Office	695 
139.6875691	35.5177868	000000	市場大和町	0	0	1	KM_Office	730 
139.6857990	35.5186530	000000	市場東中町	0	0	1	KM_Office	371 
139.6868757	35.5139124	000000	菅沢町	0	0	1	KM_Office	632 
139.6888150	35.5168110	000000	市場富士見町	0	0	1	KM_Office	270 
139.6935654	35.5098820	000000	平安町２丁目	0	0	1	KM_Office	2314 
139.6914317	35.5163436	000000	平安町１丁目	0	0	1	KM_Office	623 
139.6893373	35.5129699	000000	栄町通４丁目	0	0	1	KM_Office	175 
139.6896700	35.5110800	000000	栄町通３丁目	0	0	1	KM_Office	194 
139.6902218	35.5092950	000000	栄町通２丁目	0	0	1	KM_Office	219 
139.6902299	35.5075875	000000	栄町通１丁目	0	0	1	KM_Office	251 
139.6645947	35.5080467	000000	東寺尾中台	0	0	1	KM_Office	585 
139.6924721	35.5054993	000000	向井町４丁目	0	0	1	KM_Office	238 
139.6903174	35.5054219	000000	向井町３丁目	0	0	1	KM_Office	257 
139.6882091	35.5055543	000000	向井町２丁目	0	0	1	KM_Office	148 
139.6856658	35.5056689	000000	向井町１丁目	0	0	1	KM_Office	143 
139.6510700	35.5350610	000000	駒岡５丁目	0	0	1	KM_Office	1895 
139.6573450	35.5350140	000000	駒岡４丁目	0	0	1	KM_Office	927 
139.6552850	35.5296470	000000	駒岡３丁目	0	0	1	KM_Office	703 
139.6496260	35.5282420	000000	駒岡２丁目	0	0	1	KM_Office	2764 
139.6522240	35.5222700	000000	駒岡１丁目	0	0	1	KM_Office	1203 
139.6920053	35.4977521	000000	弁天町	0	0	1	KM_Office	1003 
139.6815757	35.4970768	000000	小野町	0	0	1	KM_Office	1275 
139.6743700	35.4996720	000000	生麦５丁目	0	0	1	KM_Office	682 
139.6719830	35.4966548	000000	生麦４丁目	0	0	1	KM_Office	558 
139.6687847	35.4947045	000000	生麦３丁目	0	0	1	KM_Office	1393 
139.6741350	35.4928200	000000	生麦２丁目	0	0	1	KM_Office	1706 
139.6905846	35.4995420	000000	汐入町３丁目	0	0	1	KM_Office	64 
139.6883240	35.4992590	000000	汐入町２丁目	0	0	1	KM_Office	167 
139.6861900	35.4982890	000000	汐入町１丁目	0	0	1	KM_Office	198 
139.6840706	35.4986627	000000	下野谷町４丁目	0	0	1	KM_Office	739 
139.6817700	35.4986590	000000	下野谷町３丁目	0	0	1	KM_Office	196 
139.6809339	35.4995612	000000	下野谷町２丁目	0	0	1	KM_Office	157 
