lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5805719	35.5572547	000000	牛久保西１丁目	0	0	1	KM_Office	410 
139.5745797	35.5588177	000000	牛久保西２丁目	0	0	1	KM_Office	485 
139.5763093	35.5607562	000000	牛久保西３丁目	0	0	1	KM_Office	242 
139.5722873	35.5635335	000000	牛久保西４丁目	0	0	1	KM_Office	37 
139.5765448	35.5494104	000000	中川中央２丁目	0	0	1	KM_Office	2752 
139.5786318	35.5532544	000000	中川中央１丁目	0	0	1	KM_Office	8760 
139.5696329	35.5676608	000000	牛久保町	0	0	1	KM_Office	262 
139.5666168	35.5686799	000000	あゆみが丘	0	0	1	KM_Office	490 
139.5806590	35.5666910	000000	すみれが丘	0	0	1	KM_Office	512 
139.5730833	35.5469221	000000	茅ケ崎中央	0	0	1	KM_Office	13275 
139.5820526	35.5479787	000000	茅ケ崎町	0	0	1	KM_Office	-
139.5804053	35.5508819	000000	大棚西	0	0	1	KM_Office	276 
139.5699475	35.5636081	000000	中川１丁目	0	0	1	KM_Office	3124 
139.5678547	35.5639236	000000	中川２丁目	0	0	1	KM_Office	147 
139.5632049	35.5621521	000000	中川３丁目	0	0	1	KM_Office	201 
139.5672253	35.5594247	000000	中川４丁目	0	0	1	KM_Office	161 
139.5706635	35.5558945	000000	中川５丁目	0	0	1	KM_Office	127 
139.5758581	35.5559323	000000	中川６丁目	0	0	1	KM_Office	76 
139.5728096	35.5535284	000000	中川７丁目	0	0	1	KM_Office	179 
139.5738784	35.5515007	000000	中川８丁目	0	0	1	KM_Office	252 
139.5814792	35.5612291	000000	牛久保１丁目	0	0	1	KM_Office	266 
139.5770665	35.5634407	000000	牛久保２丁目	0	0	1	KM_Office	245 
139.5740314	35.5680766	000000	牛久保３丁目	0	0	1	KM_Office	1956 
139.5672320	35.5542997	000000	荏田東町	0	0	1	KM_Office	93 
139.5643184	35.5546217	000000	荏田南町	0	0	1	KM_Office	235 
139.5991320	35.5432524	000000	早渕１丁目	0	0	1	KM_Office	1147 
139.5984990	35.5457414	000000	早渕２丁目	0	0	1	KM_Office	436 
139.6026249	35.5495474	000000	早渕３丁目	0	0	1	KM_Office	608 
139.5673259	35.5487196	000000	荏田東４丁目	0	0	1	KM_Office	463 
