lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5838885	35.4974926	000000	菅田町	0	0	1	KM_Office	4651
139.5835925	35.4846354	000000	羽沢町	0	0	1	KM_Office	3537
139.6639488	35.4809911	000000	宝町	0	0	1	KM_Office	2158
139.653281375	35.483566700000004	000000	守屋町	0	0	1	KM_Office	6618
139.595878	35.489359	000000	三枚町	0	0	1	KM_Office	1782
139.58201275	35.47785225	000000	羽沢南	0	0	1	KM_Office	417
139.60538000000003	35.4894454	000000	片倉	0	0	1	KM_Office	2805
139.62016695	35.48837153333333	000000	六角橋	0	0	1	KM_Office	4794
139.61126	35.485609999999994	000000	神大寺	0	0	1	KM_Office	1984
139.610342	35.478421	000000	三ツ沢中町	0	0	1	KM_Office	680
139.604874	35.478486	000000	三ツ沢上町	0	0	1	KM_Office	732
139.613278	35.474231	000000	三ツ沢東町	0	0	1	KM_Office	62
139.608672	35.473244	000000	三ツ沢南町	0	0	1	KM_Office	313
139.603694	35.471986	000000	三ツ沢西町	0	0	1	KM_Office	1914
139.62132966666664	35.46894833333334	000000	鶴屋町	0	0	1	KM_Office	17890
139.615687	35.47833	000000	三ツ沢下町	0	0	1	KM_Office	514
139.62067283333334	35.47636516666666	000000	松本町	0	0	1	KM_Office	1220
139.616632	35.471708	000000	沢渡	0	0	1	KM_Office	1987
139.618861	35.4748	000000	松ケ丘	0	0	1	KM_Office	140
139.640432	35.4996825	000000	松見町	0	0	1	KM_Office	1089
139.636873	35.489015	000000	白幡仲町	0	0	1	KM_Office	132
139.636571	35.485881	000000	白幡南町	0	0	1	KM_Office	258
139.647606	35.494497	000000	神之木町	0	0	1	KM_Office	1120
139.645316	35.491001	000000	大口通	0	0	1	KM_Office	1655
139.63491	35.491822	000000	白幡向町	0	0	1	KM_Office	190
139.62884	35.491957	000000	白幡町	0	0	1	KM_Office	223
139.638727	35.492504	000000	西大口	0	0	1	KM_Office	327
139.65247966666666	35.48589833333333	000000	子安通	0	0	1	KM_Office	2363
139.639963	35.482774	000000	亀住町	0	0	1	KM_Office	459
139.640519	35.484376	000000	浦島丘	0	0	1	KM_Office	289
139.633133	35.48253	000000	鳥越	0	0	1	KM_Office	167
139.629902	35.486156	000000	白楽	0	0	1	KM_Office	913
139.6493695	35.498859749999994	000000	西寺尾	0	0	1	KM_Office	1433
139.641311	35.492786	000000	大口仲町	0	0	1	KM_Office	314
139.643439	35.487046	000000	七島町	0	0	1	KM_Office	458
139.630639	35.49006	000000	白幡上町	0	0	1	KM_Office	248
139.640022	35.486476	000000	白幡東町	0	0	1	KM_Office	107
139.633192	35.485113	000000	白幡西町	0	0	1	KM_Office	35
139.65787	35.4930625	000000	子安台	0	0	1	KM_Office	328
139.652335	35.493511	000000	神之木台	0	0	1	KM_Office	196
139.64889449999998	35.4893375	000000	入江	0	0	1	KM_Office	1713
139.653417	35.490268	000000	新子安	0	0	1	KM_Office	3492
139.625798	35.478081	000000	旭ケ丘	0	0	1	KM_Office	84
139.625798	35.481029	000000	二本榎	0	0	1	KM_Office	18
139.628224	35.481877	000000	平川町	0	0	1	KM_Office	936
139.636418	35.482806	000000	立町	0	0	1	KM_Office	268
139.628759	35.477191	000000	広台太田町	0	0	1	KM_Office	1149
139.633881	35.48049	000000	富家町	0	0	1	KM_Office	2840
139.6349095	35.4783835	000000	東神奈川	0	0	1	KM_Office	3052
139.630049	35.473578	000000	幸ケ谷	0	0	1	KM_Office	256
139.63837633333333	35.469901	000000	橋本町	0	0	1	KM_Office	1418
139.6344485	35.4724865	000000	神奈川	0	0	1	KM_Office	1701
139.62739475	35.475850750000006	000000	反町	0	0	1	KM_Office	2318
139.623614	35.473788	000000	上反町	0	0	1	KM_Office	238
139.62905666666666	35.483457	000000	西神奈川	0	0	1	KM_Office	4905
139.632367	35.475005	000000	神奈川本町	0	0	1	KM_Office	645
139.630039	35.478118	000000	二ツ谷町	0	0	1	KM_Office	796
139.639662	35.480161	000000	新町	0	0	1	KM_Office	578
139.64286	35.482307	000000	浦島町	0	0	1	KM_Office	318
139.635112	35.467013	000000	山内町	0	0	1	KM_Office	2200
139.630973	35.469908	000000	栄町	0	0	1	KM_Office	9764
139.626032	35.468295	000000	金港町	0	0	1	KM_Office	14547
139.626973	35.473514	000000	桐畑	0	0	1	KM_Office	339
139.629007	35.471299	000000	青木町	0	0	1	KM_Office	518
139.630023	35.467325	000000	大野町	0	0	1	KM_Office	411
139.642018	35.476211666666664	000000	千若町	0	0	1	KM_Office	1125
139.643077	35.4798055	000000	新浦島町	0	0	1	KM_Office	4084
139.635872	35.472813	000000	星野町	0	0	1	KM_Office	244
139.649043	35.477922	000000	出田町	0	0	1	KM_Office	306
139.648625	35.468506	000000	瑞穂町	0	0	1	KM_Office	1
139.65106	35.470987	000000	鈴繁町	0	0	1	KM_Office	255
139.656381	35.479586	000000	恵比須町	0	0	1	KM_Office	724
139.623004	35.471965	000000	高島台	0	0	1	KM_Office	168
139.620906	35.481906	000000	中丸	0	0	1	KM_Office	155
139.62014	35.479076	000000	栗田谷	0	0	1	KM_Office	187
139.620721	35.473937	000000	泉町	0	0	1	KM_Office	333
139.623634	35.470391	000000	台町	0	0	1	KM_Office	1954
139.625026	35.483002	000000	斎藤分町	0	0	1	KM_Office	214
