lon	lat	color	text	font_size	max_lod	transparent	demand	population
139.5274512	35.391154	000000	戸塚町	0	0	1	KM_Office	16669
139.5404553	35.4061185	000000	吉田町	0	0	1	KM_Office	8572
139.5428412	35.3831982	000000	下倉田町	0	0	1	KM_Office	1977
139.5490524	35.3988859	000000	舞岡町	0	0	1	KM_Office	3459
139.5129029	35.3881626	000000	汲沢町	0	0	1	KM_Office	2399
139.5407148	35.3952403	000000	上倉田町	0	0	1	KM_Office	4449
139.5464769	35.4147559	000000	柏尾町	0	0	1	KM_Office	3152
139.5546379	35.4189117	000000	上柏尾町	0	0	1	KM_Office	1469
139.5010896	35.3868502	000000	深谷町	0	0	1	KM_Office	2179
139.4925633	35.3828707	000000	俣野町	0	0	1	KM_Office	940
139.5116858	35.3716804	000000	小雀町	0	0	1	KM_Office	1499
139.4978506	35.3631397	000000	影取町	0	0	1	KM_Office	461
139.494218	35.3673761	000000	東俣野町	0	0	1	KM_Office	1790
139.5282343	35.4067987	000000	矢部町	0	0	1	KM_Office	1615
139.5232894	35.4126287	000000	鳥が丘	0	0	1	KM_Office	376
139.5322229	35.4198897	000000	上矢部町	0	0	1	KM_Office	6123
139.5374928	35.4333593	000000	名瀬町	0	0	1	KM_Office	2795
139.5455423	35.4220762	000000	秋葉町	0	0	1	KM_Office	1368
139.5473932	35.4335509	000000	川上町	0	0	1	KM_Office	5892
139.5495196	35.4364923	000000	上品濃	0	0	1	KM_Office	1626
139.5513743	35.4243646	000000	前田町	0	0	1	KM_Office	1060
139.5573748	35.4355888	000000	品濃町	0	0	1	KM_Office	10669
139.5627756	35.4215731	000000	平戸町	0	0	1	KM_Office	1922
139.56961203999998	35.43021384	000000	平戸	0	0	1	KM_Office	1290
139.5145540625	35.3991806125	000000	汲沢	0	0	1	KM_Office	1447
139.555907275	35.3938573	000000	南舞岡	0	0	1	KM_Office	506
139.50765744999998	35.377272524999995	000000	原宿	0	0	1	KM_Office	3372
