二俣川１丁目,3483 
二俣川２丁目,3926 
三反田町,84 
四季美台,572 
さちが丘,1188 
下川井町,1621 
桐が作,186 
金が谷,636 
金が谷１丁目,101 
金が谷２丁目,124 
今宿１丁目,308 
今宿２丁目,139 
今宿西町,1206 
今宿町,194 
今宿東町,993 
今宿南町,438 
今川町,415 
左近山,745 
笹野台１丁目,696 
笹野台２丁目,111 
笹野台３丁目,51 
笹野台４丁目,289 
市沢町,2406 
若葉台１丁目,109 
若葉台２丁目,529 
若葉台３丁目,628 
若葉台４丁目,2282 
小高町,236 
上川井町,3468 
上白根１丁目,291 
上白根２丁目,918 
上白根３丁目,1020 
上白根町,3219 
西川島町,599 
川井宿町,742 
川井本町,1427 
川島町,820 
善部町,479 
大池町,347 
中希望が丘,2073 
中沢１丁目,206 
中沢２丁目,94 
中沢３丁目,174 
中白根１丁目,266 
中白根２丁目,427 
中白根３丁目,166 
中白根４丁目,179 
中尾１丁目,903 
中尾２丁目,1362 
鶴ケ峰１丁目,2032 
鶴ケ峰２丁目,2118 
鶴ケ峰本町１丁目,1342 
鶴ケ峰本町２丁目,270 
鶴ケ峰本町３丁目,140 
都岡町,863 
東希望が丘,2005 
南希望が丘,495 
南本宿町,1640 
柏町,856 
白根１丁目,320 
白根２丁目,384 
白根３丁目,204 
白根４丁目,302 
白根５丁目,427 
白根６丁目,113 
白根７丁目,854 
白根８丁目,133 
白根町,591 
本宿町,1229 
本村町,1417 
万騎が原,534 
矢指町,1954 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
